track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Best Friend's Ass (Dimitri Vegas & Ariel Vromen Radio Remix),4pGqgBoijsxPIziGoz4AON,2019-06-14T21:56:15Z,Best Friend's Ass (Dimitri Vegas & Ariel Vromen Remix),2019-06-14,194520,28,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2437669,77,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.7,0.983,7,-3.977,1,0.0566,0.0141,0.000408,0.42700000000000005,0.7659999999999999,124.978,4
Different for Us,4iDtwZRmjyXMSnmWr5U1O6,2019-06-14T10:14:19Z,Sticker on My Suitcase,2019-06-14,185080,48,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,215867,74,"deep euro house,german dance,tropical house",0.6920000000000001,0.7170000000000001,7,-6.237,1,0.109,0.0802,0.0,0.165,0.48700000000000004,121.696,4
We Can Get High,0Vct1PkjAYGH2X4iwNVR71,2019-06-14T10:26:04Z,We Can Get High,2019-06-14,156839,59,Galantis,4sTQVOfp9vEMCemLw50sbu,2589839,80,"big room,dance pop,edm,electro house,pop,tropical house",0.6559999999999999,0.782,4,-5.178999999999999,0,0.0496,0.0668,0.0,0.303,0.349,150.078,4
Rescue Me,7DP18u679fMurjsUxuxMHu,2019-06-14T10:24:14Z,Rescue Me,2019-06-14,187382,41,DubVision,3XINWZaloea97SIRiyTJxX,187959,63,"big room,deep big room,edm,electro house,pop edm,progressive electro house,progressive house,tropical house",0.494,0.7390000000000001,6,-4.61,0,0.0427,0.069,0.000368,0.0664,0.235,128.007,4
Stay (Don't Go Away) [feat. Raye] - David Guetta & R3HAB Remix,1CshSPWFrIZTXrAXHMc4jG,2019-06-14T10:21:18Z,Stay (Don't Go Away) [feat. Raye] [David Guetta & R3HAB Remix],2019-06-14,200314,58,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18913602,90,"dance pop,edm,pop",0.594,0.883,9,-4.91,0,0.0845,0.039,9.14e-06,0.0902,0.188,127.09200000000001,4
The King (with Dzeko),40UbcJWyWPqOWFvv4Dpvfc,2019-06-14T10:32:15Z,The King (with Dzeko),2019-06-14,209493,43,Dimitri Vangelis & Wyman,10hGPIDZi33LRaYRIq3Bh4,344554,62,"big room,deep big room,edm,electro house,progressive electro house,progressive house",0.655,0.726,9,-4.614,0,0.0324,0.0587,0.0031100000000000004,0.145,0.292,128.001,4
Way We Used 2,6rKd9TkHUMvy05iPSeuIrV,2019-06-14T10:29:16Z,Way We Used 2,2019-06-14,162533,42,Showtek,3gk0OYeLFWYupGFRHqLSR7,402069,71,"big room,deep big room,edm,electro house,hardstyle,progressive electro house,progressive house",0.72,0.8029999999999999,5,-4.74,0,0.0388,0.307,2.22e-05,0.157,0.747,124.08,4
Will You,3CGQ0QaflZbLPGO5kQSgab,2019-06-14T12:43:35Z,Will You,2019-06-10,211449,32,Maor Miller,0ewFcI4uSjCul2FIERjQeF,19,22,,0.40399999999999997,0.569,10,-5.935,1,0.0466,0.237,0.0,0.11599999999999999,0.205,115.006,4
Long Way Home,1zZPjx3m2M604sI7GpI2ZR,2019-06-14T12:40:02Z,Long Way Home,2019-06-13,169781,50,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,227333,72,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.589,0.6459999999999999,6,-6.782,0,0.0611,0.0512,0.0,0.0924,0.528,126.303,4
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-06-12T14:08:55Z,Wish You Well,2019-05-24,205653,76,Sigala,1IueXOQyABrMOprrzwQJWN,825927,79,"dance pop,edm,pop,tropical house,uk dance",0.669,0.895,5,-3.787,0,0.0575,0.128,0.0,0.297,0.5760000000000001,124.964,4
