track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
So Am I - Steve Void Remix,7GLWtwtQICFEKNYLZEQKXL,2019-06-06T18:35:02Z,So Am I (Steve Void Remix),2019-06-06,187142,38,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,370868,85,"dance pop,pop,post-teen pop",0.687,0.7070000000000001,6,-4.9239999999999995,1,0.0414,0.158,0.0,0.11900000000000001,0.805,126.081,4
Somebody,7dMkq3poFJtz6299Jsr08S,2019-06-06T13:32:48Z,Somebody,2019-06-07,165552,29,Nick Peters,4Rm7UAexBAJqL3LHAUepbw,1191,43,new french touch,0.8190000000000001,0.815,1,-4.63,1,0.0414,0.0279,0.0142,0.223,0.244,123.969,4
Bad Love,06m9IzcE90sFufzRwCxEmI,2019-06-06T13:32:48Z,Bad Love,2019-06-07,146378,30,Rich James,35KtMJ3zEIvITK6xssqTWq,2745,45,funk,0.7609999999999999,0.715,0,-5.231,1,0.035,0.11800000000000001,4.28e-06,0.0668,0.65,123.087,4
Aleya,51pG3akIzO8TH7JokTVHhm,2019-06-06T13:32:48Z,Aleya,2019-06-07,153692,23,Vijay & Sofia Zlatko,23BtKJexFLn0Ri6s7BEC4d,12957,55,"deep house,deep tropical house,groove room,new french touch,tropical house",0.7959999999999999,0.564,11,-5.932,1,0.0393,0.527,0.192,0.0866,0.632,121.97200000000001,4
Oh Baby,4oaL7lqXd0woQ0MvxbQaYr,2019-06-06T13:32:48Z,Oh Baby,2019-06-07,176288,22,Blaze U,2qY02HUpBMVIy3oGX8URf1,3869,36,future house,0.5920000000000001,0.887,6,-4.423,1,0.0384,0.0249,1.23e-05,0.35,0.0687,128.025,4
Count on You,3FpbxMTKI2F5NKBrAsNDew,2019-06-06T13:32:48Z,Count on You,2019-06-07,159909,22,Biray,3o2uwz1okOwbHseFmQ5xt1,2143,22,,0.765,0.873,6,-3.847,0,0.10400000000000001,0.0228,8.41e-05,0.0788,0.44299999999999995,128.137,4
Just Good,32reOkoz0M4nzBYiVj9tdq,2019-06-06T13:32:48Z,Just Good,2019-06-07,170645,25,Panoptiqum,02GVvm5IjTDMoFqE4ThqCk,6,14,,0.745,0.8740000000000001,1,-4.629,1,0.205,0.0544,0.000322,0.139,0.451,128.243,4
U I Need [tofû & nelle Remix],3H0Zc9pMmV8uULNL2NBqpp,2019-06-06T13:32:48Z,U I Need [tofû & nelle Remix],2019-06-07,185600,22,Aspyer,3LaBw0YCv8D35w9AvePFtF,625,55,,0.461,0.7120000000000001,4,-6.131,1,0.0362,0.0137,2.53e-06,0.342,0.19,149.953,4
Heartbeat [Thomas Nan & Luxe Agoris Remix],4YexgfrIhmSRhaWpgqoEKP,2019-06-06T13:32:48Z,Heartbeat [Remix Pack Vol.1],2019-04-26,163253,26,MorganJ,5irwemCIBdwWYTZrcxX2UW,3558,45,,0.706,0.7020000000000001,6,-5.933,1,0.0363,0.0238,2.7600000000000003e-05,0.325,0.465,125.065,4
Together (with Norman Doray),0KyLL2qLZLB7BAx8hoBKfF,2019-06-06T13:32:48Z,Together (with Norman Doray),2019-01-25,192818,56,Arno Cost,0BMhfbeiOrNMBzjELzbyNg,16659,53,"big room,edm,electro house,progressive electro house,progressive house",0.532,0.883,11,-4.31,0,0.0729,0.0306,0.156,0.39299999999999996,0.516,123.99,4
Say It,2RXc9oKjAMxsEL0WSpgSLe,2019-06-06T13:32:48Z,Say It,2019-04-16,219362,27,Apollo Rising,5woDd4xAgHuBWbp5NuY1n2,1694,32,,0.563,0.797,2,-6.537999999999999,0,0.0419,0.0838,0.0104,0.11199999999999999,0.429,149.968,4
