track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
MONSTER,65gMGMpxxFuw8OzXNEJPko,2019-07-25T13:58:34Z,MONSTER,2019-06-28,233271,49,JESSIE BERG,13cDXlWzXfaG3G0ItYyWHb,598,39,,0.816,0.514,0,-8.749,1,0.0344,0.0239,0.0161,0.14300000000000002,0.535,108.03200000000001,4
Together (with Norman Doray),0KyLL2qLZLB7BAx8hoBKfF,2019-07-25T13:58:34Z,Together (with Norman Doray),2019-01-25,192818,56,Arno Cost,0BMhfbeiOrNMBzjELzbyNg,17464,50,"big room,edm,electro house,progressive electro house,progressive house",0.532,0.883,11,-4.31,0,0.0729,0.0306,0.156,0.39299999999999996,0.516,123.99,4
Thunder,2ZGPT8VISBUcxJqdiboa5h,2019-07-25T13:58:34Z,Thunder,2019-06-18,211677,38,LEXIM,6d3Ln06qXCe5Mt85yEFxE6,84,28,,0.431,0.792,2,-7.107,1,0.0734,0.10400000000000001,4.4e-06,0.0601,0.225,80.595,4
You're the Reason,1ydaKxb5ZmPUWZ39buR0tp,2019-07-25T13:58:34Z,You're the Reason,2019-06-15,198367,44,INTERSECTION,5yzLjgtXt52UUcOO0y88ma,7573,41,,0.613,0.7020000000000001,2,-5.462999999999999,1,0.0292,0.0197,0.0,0.0906,0.127,96.00200000000001,4
There for You,5VjapMNo7lsittss7uzIkT,2019-07-25T13:58:34Z,There for You,2019-03-22,165604,43,Pharien,1o5EqlNmXaRRsT6imRMm3i,972,40,pop edm,0.5529999999999999,0.958,10,-2.539,0,0.0527,0.0406,0.00107,0.21899999999999997,0.564,125.90899999999999,4
Somebody New,5ucs9A7lqYAZ25gKEBgtC2,2019-07-25T13:58:34Z,Somebody New,2019-03-22,201653,42,Antoine Cara,4sHxN0TiHnkwK3YNIdTkMm,48,33,,0.763,0.705,7,-3.965,1,0.0314,0.364,0.00018600000000000002,0.114,0.5379999999999999,122.02600000000001,4
First Time,2NS7KYPtZUm9BWgjGndkda,2019-07-25T13:58:34Z,First Time,2019-05-10,174000,35,Jake & Alvar,2VFRPddijRdHZWITDHYZkZ,86,26,,0.615,0.9329999999999999,10,-4.683,0,0.113,0.00713,3.34e-06,0.166,0.281,127.949,4
Be There,3TiAw64NTaThOrfvwnNLAl,2019-07-25T13:58:34Z,Be There,2019-04-05,158054,36,Delta Jack,5qFj5cdUuvWmzYx03PsDjY,1215,34,pop edm,0.862,0.629,1,-6.547000000000001,0,0.0665,0.0719,0.000717,0.349,0.14800000000000002,125.04,4
There For You,5E4cxSwx7t1WQej3CxAKaf,2019-07-25T13:58:34Z,There For You,2019-05-17,172750,36,Refeci,1NTljmDof9yJq0kaRsAucp,3841,37,"danish electronic,melbourne bounce international",0.604,0.595,1,-8.721,1,0.0549,0.332,0.01,0.141,0.10800000000000001,99.98299999999999,4
With Me,35cvrxWksHpvVVz537juYV,2019-07-25T13:58:34Z,With Me,2019-05-03,181935,34,Feb,6lc0muqqPZVQsaTsNCyuRa,415,29,,0.705,0.597,1,-6.266,1,0.0331,0.0986,0.0012699999999999999,0.11900000000000001,0.35700000000000004,124.01100000000001,4
