track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Takeaway,6wo37KVqFJhtuxPTpLCcfe,2019-08-02T09:29:27Z,World War Joy...Takeaway,2019-07-24,209893,82,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13215088,90,"electropop,pop,tropical house",0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.35700000000000004,85.33200000000001,1
Ritual,3M9Apu4OZfylLTFKvgEtKa,2019-08-02T09:29:27Z,Ritual,2019-05-31,198995,85,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4512843,84,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.647,0.726,3,-4.388999999999999,0,0.0552,0.157,0.0,0.0844,0.767,114.99600000000001,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-08-02T09:29:27Z,Magnets EP,2019-05-24,174444,85,Sam Feldt,20gsENnposVs2I4rQ5kvrf,382376,80,"deep tropical house,edm,electro house,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.6509999999999999,107.35600000000001,4
Drowning,1GPnYjrkZEI0ysGvch8I8e,2019-08-02T09:29:27Z,Drowning,2019-08-02,156393,43,Franklin,4bU685oayr3KvaP4qdoYdu,113,43,,0.6609999999999999,0.858,0,-4.34,0,0.0414,0.00828,1.43e-06,0.28300000000000003,0.396,122.01899999999999,4
Dance Monkey,421leiR6jKlH5KDdwLYrOs,2019-08-02T09:29:27Z,Dance Monkey,2019-05-10,209754,81,Tones and I,2NjfBq1NflQcKSeiDooVjY,31279,75,australian pop,0.8240000000000001,0.5920000000000001,6,-6.4,0,0.0969,0.693,0.00015800000000000002,0.17800000000000002,0.54,98.074,4
Ride It,2tnVG71enUj33Ic2nFN6kZ,2019-08-02T09:29:27Z,Ride It,2019-07-26,157605,61,Regard,4ofCBoyEiGSePFAG500xev,2241,52,,0.893,0.748,7,-4.2989999999999995,0,0.0821,0.272,1.62e-05,0.09300000000000001,0.867,117.958,4
Broken Love,1RlSFqZQA3fN1CgQELVDfJ,2019-08-02T09:29:27Z,Broken Love,2019-04-12,202000,43,Lacosh,4y9qH7IVzokjn5N2Y2kQVi,3320,47,brazilian edm,0.705,0.77,7,-6.031000000000001,0,0.0654,0.0641,2.01e-05,0.13,0.525,120.031,4
Lost,7Lw5FXm8nhQPvezIpA6jK5,2019-08-02T09:29:27Z,Lost,2019-07-26,217493,65,End of the World,0b59cVa1STVENq3i7wkcHV,11191,56,,0.713,0.7290000000000001,7,-6.027,1,0.0308,0.00935,0.000106,0.0804,0.7340000000000001,121.975,4
I Feel It,5FzuDFYmUFcvjraadJXv28,2019-08-02T09:29:27Z,I Feel It,2019-06-21,155250,60,Leftwing : Kody,7eYXtOjJGhrM16cK2hRmnR,8849,54,"deep groove house,house,uk tech house",0.5660000000000001,0.9540000000000001,6,-4.678,1,0.0376,0.00411,0.0257,0.0943,0.887,125.96700000000001,4
Going On (feat. Soran),33AfYCpyXYCNxhboztDv47,2019-08-02T09:29:27Z,Going On (feat. Soran),2019-07-12,178775,55,Henri PFR,6n9XmMc3mX18mrTHYOCPIq,18368,54,"belgian edm,belgian pop",0.74,0.71,5,-6.854,0,0.0495,0.4,0.0,0.14,0.546,98.01899999999999,4
Gringa (feat. Fito Blanko) - Radio,4IC2NYMi7XvpIeElCdeLhl,2019-08-02T09:29:27Z,Gringa (feat. Fito Blanko),2019-06-14,163809,29,Bright Lights,2AoeqcUs8DySgZRJ9yV4Ou,10056,55,,0.867,0.878,2,-4.163,1,0.0656,0.0131,0.0,0.0819,0.759,126.009,4
Alone,2WlAbJAhvApwJGo0wq3lhy,2019-08-02T09:29:27Z,Alone,2019-07-26,173190,43,Trial & Error,6W4qhJWqjWK8x6oo4oKMwK,1623,40,,0.534,0.8220000000000001,9,-5.922999999999999,0,0.0671,0.0864,1.4000000000000001e-05,0.45,0.259,124.102,4
No Goodbye,5gwLIRjGFf3hXuHoKEsWLg,2019-08-02T09:29:27Z,No Goodbye,2019-07-26,168546,57,Paul Kalkbrenner,0rasA5Z5h1ITtHelCpfu9R,692058,67,"german techno,leipzig electronic,minimal techno,tech house,tropical house",0.945,0.584,6,-7.649,0,0.044000000000000004,0.0955,0.341,0.147,0.626,124.99600000000001,4
