track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
These Are The Times (feat. JRM),5YN0zHycJ0Yxz31A5QsVov,2019-07-18T23:03:57Z,These Are The Times (feat. JRM),2019-07-18,188656,62,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10778150,88,"big room,edm,pop,progressive house,tropical house",0.687,0.7070000000000001,4,-6.19,1,0.0328,0.0536,9.290000000000001e-05,0.16,0.607,127.03299999999999,4
Love (Goodbyes Reprise) - Conducta Remix,3ephDj6oyipEAQqoQk9uZb,2019-07-18T22:34:41Z,Love (Goodbyes Reprise),2019-07-01,194500,50,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,991123,76,"pop,r&b,uk contemporary r&b",0.8740000000000001,0.5529999999999999,9,-11.329,0,0.10099999999999999,0.12,0.16699999999999998,0.10800000000000001,0.621,123.984,4
Love Again,6lkrELNdhECWjyyzJwmUgl,2019-07-18T22:34:41Z,Love Again,2019-07-12,177465,43,Beowülf,4H1rPQHJFk09XbKGYszUe2,28711,60,brazilian edm,0.7609999999999999,0.871,11,-3.997,0,0.1,0.261,0.00015800000000000002,0.115,0.46299999999999997,124.00399999999999,4
"My Life Is Going On / La Casa de Papel - Alok, JetLag Music, HOT-Q e WADD Remix",51MuxTQJudvUASe91tzR4C,2019-07-18T22:34:41Z,"My Life Is Going On / La Casa de Papel (Alok, JetLag Music, HOT-Q e WADD Remix)",2018-04-06,232205,59,Alok,0NGAZxHanS9e0iNHpR8f2W,5891711,80,"brazilian edm,electro house,pop nacional",0.561,0.861,9,-5.088,1,0.0412,0.007859999999999999,5.39e-06,0.11699999999999999,0.23399999999999999,123.009,4
Back to Beginning,41eaKf8b9CVYOaBMOZ5GDX,2019-07-18T22:34:41Z,Back to Beginning,2019-07-05,195483,44,Breno Miranda,1BEwyy7IePkvyJpA1WSw1n,26258,61,brazilian edm,0.7509999999999999,0.7490000000000001,0,-6.221,1,0.151,0.159,8.75e-06,0.0961,0.531,124.01299999999999,4
Push The Feeling On,0NWkVDrjlHYHGWWQdShmos,2019-07-18T23:32:49Z,Push The Feeling On,2019-07-19,158709,20,Brannco,27TqtA3DJFLCXv7o8h0GgL,1582,46,,0.7959999999999999,0.8320000000000001,6,-6.3229999999999995,1,0.048,0.018000000000000002,0.48200000000000004,0.262,0.32299999999999995,124.064,4
Missing Love,00QTUrS8ZU0SUzc7SyifAR,2019-07-18T23:41:09Z,Missing Love,2019-07-12,154838,37,Toby Smash,76UeymW9wdqAqWHyXVNB6J,7,27,,0.688,0.7090000000000001,3,-6.638,0,0.0605,0.0193,0.0,0.0519,0.225,124.02799999999999,4
Viva a Vida,6OVxcLOt0wZKXAHYR9Apkx,2019-07-18T23:55:14Z,Viva a Vida,2019-05-10,199354,33,Blackout,6VN4DY2DHy8LuJapmtI0HA,1435,36,,0.675,0.9159999999999999,11,-4.625,0,0.043,0.379,0.000288,0.245,0.39399999999999996,123.95100000000001,4
California Xo,2G0WRheYQK30xj7PppaZ5I,2019-07-18T22:43:48Z,California Xo,2019-07-12,180613,27,Karate Squid,2bRsxo4V7zfxOcKKg4mQ4Y,123,19,,0.565,0.762,6,-8.446,0,0.0496,0.0925,0.42200000000000004,0.406,0.10300000000000001,122.009,4
Burn,5cbvKZlHsq84dIW4JIFe0x,2019-07-18T22:34:41Z,Burn,2019-07-12,157879,45,Braaten & Chrit Leaf,6I3DfJduHgMduD2MSrtaBw,143,36,,0.67,0.7490000000000001,3,-8.075,1,0.0389,0.0685,0.0033799999999999998,0.261,0.23600000000000002,124.01,4
Perfect Pretenders,4bhueAnkGfvtk9IcmIOD0Z,2019-07-18T22:34:41Z,Perfect Pretenders,2019-07-12,178285,37,BRÅVO,5wbXEmUKBwInLhJS5Bmbqw,165,37,,0.778,0.555,4,-8.935,0,0.14,0.14,0.000889,0.11900000000000001,0.626,104.898,4
