track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Faucet Failure,1ThmUihH9dF8EV08ku5AXN,2019-05-17T16:01:07Z,STOKELEY,2018-11-30,145626,86,Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry,2130665,84,"miami hip hop,rap,trap music,underground hip hop",0.935,0.552,10,-9.373,0,0.335,0.111,0.0,0.0952,0.615,99.993,4
On That Sht Again (feat. Ghostface Killah & RZA),5ccAoJvXbeORGndjBprquS,2019-05-17T16:01:07Z,Of Mics and Men (Music From The Showtime Documentary Series),2019-05-17,200000,53,Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,1300515,72,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap",0.5920000000000001,0.879,7,-3.283,1,0.489,0.0413,0.0,0.0846,0.8420000000000001,159.558,4
Suge,2gwkD6igEhQbDQegRCcdoB,2019-05-17T16:01:07Z,Baby On Baby,2019-03-01,163320,87,DaBaby,4r63FhuTkUYltbVAg5TQnk,235440,82,"nc hip hop,rap,southern hip hop,trap music",0.8759999999999999,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.8440000000000001,75.445,4
Inglorious (feat. Skepta),6RjFuqzKb1gByFDiB14MvO,2019-05-17T16:01:07Z,Nothing Great About Britain,2019-05-17,188552,55,slowthai,3r1XkJ7vCs8kHBSzGvPLdP,55179,63,"grime,uk alternative hip hop,uk hip hop",0.7509999999999999,0.66,4,-7.031000000000001,1,0.327,0.0169,2.35e-05,0.11,0.408,149.929,4
Nuisance,4J40KDwJWc6Wg96KFk9o3v,2019-05-17T16:01:07Z,Nuisance,2019-05-17,129146,8,Landon Cube,04ei5kNgmDuNAydFhhIHnD,102675,74,"emo rap,underground hip hop,vapor trap",0.6509999999999999,0.769,9,-6.622000000000001,0,0.0602,0.0408,0.0,0.0876,0.163,170.976,4
Don't You Play With Me,3weMYJoTfqrwV1PA3GwuO4,2019-05-17T16:01:07Z,Blockbuster,2019-05-17,189173,43,Ramz,6ywXRaHY7m2DJ0dd7CsLAB,161618,69,"grime,uk hip hop",0.623,0.8059999999999999,4,-4.184,0,0.39799999999999996,0.21100000000000002,0.0,0.0452,0.508,106.18799999999999,4
P4DP,0Bj95h6JPGxYdZBDejnrI9,2019-05-17T16:01:07Z,Double Tap Diaries,2019-05-17,147870,49,Digga D,57n1OF36WvtOeATY6WQ6iw,26472,67,uk hip hop,0.887,0.569,8,-8.19,1,0.29600000000000004,0.0529,8.240000000000001e-05,0.114,0.447,143.06,4
Aliens Are Ghosts ($UICIDEBOY$ X TRAVIS BARKER),3xPmq4xcdWtAPm4uUO0yUo,2019-05-17T16:01:07Z,Aliens Are Ghosts,2019-05-17,133616,56,$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,1398179,84,"dark trap,new orleans rap,underground hip hop",0.76,0.623,11,-7.803,1,0.213,0.0552,0.0044,0.161,0.598,139.04399999999998,5
Places + Faces,1iTbIO32m3hmY8he7gkPiy,2019-05-17T16:01:07Z,Places + Faces,2019-05-15,161146,58,Aminé,3Gm5F95VdRxW3mqCn8RPBJ,898114,79,"hip hop,pop,pop rap,portland hip hop,rap",0.82,0.519,7,-7.544,1,0.327,0.267,0.0,0.10400000000000001,0.426,142.986,4
Hi! Bye!,1Oc4sFYyQ1CFQimlr7h8Ni,2019-05-17T16:01:07Z,Hi! Bye!,2019-05-03,175071,48,Rushy,0Mf9AMLaP102sdJQ3Xqm6J,1597,49,"uk alternative hip hop,uk hip hop",0.852,0.7,11,-6.551,0,0.318,0.29600000000000004,0.0,0.0883,0.551,155.029,4
RICKY,7K0iidDYDudSm9BoSt901M,2019-05-17T16:01:07Z,RICKY,2019-05-08,147866,73,Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,807105,77,"dark trap,drill,hip hop,miami hip hop,pop rap,rap,trap music,underground hip hop",0.7759999999999999,0.562,9,-6.901,1,0.363,0.0399,0.0,0.138,0.521,169.03,4
Misery Needs Company,4pzQ8p0jnnB0HMcwWDWeeP,2019-05-15T14:46:55Z,Blind For Love2,2019-02-14,165213,55,Kid Buu,0cIbGrllcQSKTM3AxUxHiL,42455,54,,0.733,0.58,6,-6.519,0,0.0885,0.0101,0.0,0.111,0.22899999999999998,138.055,4
