track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2019-06-21T19:08:40Z,The Best In The World Pack,2019-06-15,205426,88,Drake,3TVXtAsR1Inumwj472S9r4,37911886,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
Omertà,3kCwyvhvVTyehIzYN2I0nF,2019-06-21T19:08:40Z,The Best In The World Pack,2019-06-15,219506,80,Drake,3TVXtAsR1Inumwj472S9r4,37911886,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.646,0.899,6,-2.232,1,0.298,0.0337,0,0.232,0.685,164.119,4
MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,2019-06-21T19:08:40Z,MEGATRON,2019-06-21,190746,70,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,15483247,92,"dance pop,hip pop,pop,pop rap,post-teen pop,r&b",0.887,0.64,1,-3.128,1,0.256,0.126,9.12e-05,0.109,0.777,93.965,4
Stripper Bowl,7mv4eldXEFbf3s3ZEfbmlC,2019-06-21T19:08:40Z,Stripper Bowl,2019-06-20,202747,64,Migos,6oMuImdp5ZcFhWP0ESe6mG,8916618,88,"atl hip hop,pop,pop rap,rap,southern hip hop,trap music",0.96,0.772,1,-4.677,1,0.219,0.062,0,0.0781,0.826,132.956,4
Suge,2gwkD6igEhQbDQegRCcdoB,2019-06-21T19:08:40Z,Baby On Baby,2019-03-01,163320,91,DaBaby,4r63FhuTkUYltbVAg5TQnk,389359,87,"nc hip hop,rap,trap music",0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
Out The Mud,2wZjsbwmWfNVslgV5afl1L,2019-06-21T19:08:40Z,Out The Mud,2019-06-21,157816,63,Lil Baby,5f7VJjfbwm532GiveGC0ZK,2257907,90,"atl hip hop,atl trap,rap,trap music",0.748,0.494,1,-5.761,1,0.156,0.0101,8.77e-05,0.103,0.257,160.033,4
Go Loko,3SZqA7rQvROJsCbUu2v0xa,2019-06-21T19:08:40Z,Go Loko,2019-05-03,299226,88,YG,0A0FS04o6zMoto8OKPsDwY,1743991,90,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.88,0.67,2,-5.188,1,0.0429,0.299,5.08e-06,0.0677,0.142,100.995,4
CHopstix (with Travis Scott),01DOm09B2AbiTARAbXVI6g,2019-06-21T19:08:40Z,CHopstix (with Travis Scott),2019-04-08,181152,64,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,2572059,85,"hip hop,pop,pop rap,rap,southern hip hop,trap music,underground hip hop",0.958,0.6,9,-6.996,0,0.118,0.0391,0,0.274,0.607,127.933,4
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,2019-06-21T19:08:40Z,MIDDLE CHILD,2019-01-23,213593,90,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,8530399,93,"conscious hip hop,nc hip hop,pop rap,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
Broke Leg (with Quavo & Tyga),5WJdUrZ4ND1TCZ2AsjYK3P,2019-06-21T19:08:40Z,Broke Leg (with Quavo & Tyga),2019-05-31,165604,79,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,2342952,86,"canadian hip hop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.851,0.85,1,-3.4,1,0.0904,0.226,0,0.145,0.642,99.975,4
