track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bounce Back,5KPKjcE2trO2hBWRzkb2Mo,2019-07-12T10:35:54Z,Bounce Back,2019-06-14,160551,78,Little Mix,3e7awlrlDSwF3iM0WBjGMp,6102661,85,"dance pop,girl group,pop,post-teen pop,r&b,talent show,uk pop",0.781,0.854,10,-4.115,0,0.074,0.0263,0.000216,0.344,0.41,103.021,4
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-07-12T10:35:54Z,Wish You Well,2019-05-24,205653,79,Sigala,1IueXOQyABrMOprrzwQJWN,857830,80,"dance pop,edm,pop,tropical house,uk dance",0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-07-12T10:35:54Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,91,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10678042,90,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-07-12T10:35:54Z,"Don't Forget About Me, Demos",2018-10-16,177666,86,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,108606,79,alternative pop rock,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-07-12T10:35:54Z,Higher Love,2019-06-28,228267,86,Kygo,23fqKkggKUBHNkbKtXEls4,5132781,91,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019-07-12T10:35:54Z,Beautiful People (feat. Khalid),2019-06-28,197866,92,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,47158753,99,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-07-12T10:35:54Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,85,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,600355,86,"dance pop,pop,tropical house",0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,4
All the Time,3OTSBoYKO7HzGVj8Bu2OH9,2019-07-12T10:35:54Z,All the Time,2019-06-21,228111,79,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5411969,86,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.665,0.799,6,-2.868,0,0.0617,0.18,0,0.125,0.5,101.976,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-07-12T10:35:54Z,Never Really Over,2019-05-31,223523,92,Katy Perry,6jJ0s89eD6GaHleKKya26X,13308040,90,"dance pop,pop,post-teen pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
Now You're Gone (feat. Zara Larsson) - Radio Edit,1rfNR4mPFYtLKtoZqEo7Am,2019-07-12T10:35:54Z,Now You're Gone (feat. Zara Larsson) [Radio Edit],2019-05-31,173330,64,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,440164,79,"indie anthem-folk,pop",0.739,0.68,4,-7.774,0,0.273,0.615,2.76e-06,0.164,0.329,102.163,4
