track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-05-31T09:35:03Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,73,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,547619,83,"dance pop,pop",0.605,0.664,8,-7.162000000000001,1,0.0316,0.00548,3e-06,0.204,0.16399999999999998,103.99700000000001,4
Now You're Gone (feat. Zara Larsson) - Radio Edit,1rfNR4mPFYtLKtoZqEo7Am,2019-05-31T09:35:03Z,Now You're Gone (feat. Zara Larsson) [Radio Edit],2019-05-31,173330,40,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,402696,80,"indie anthem-folk,pop",0.7390000000000001,0.68,4,-7.774,0,0.273,0.615,2.76e-06,0.16399999999999998,0.32899999999999996,102.163,4
Toast,3VEpRXloN4rbzNRPSQzZFW,2019-05-31T09:35:03Z,Toast,2018-11-15,191502,71,Koffee,1gWjcmBsveEYMxOZ0VRi32,55042,65,"dancehall,modern reggae",0.9059999999999999,0.638,10,-7.917000000000001,0,0.256,0.0342,1.7e-05,0.0725,0.789,99.959,4
When You Know What Love Is,47RJ8UdQChHII64k9u4hBl,2019-05-31T09:35:03Z,When You Know What Love Is,2019-05-31,205073,52,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,462468,72,"british soul,dance pop,neo soul,pop,r&b,urban contemporary",0.723,0.856,11,-3.554,0,0.0507,0.131,0.0,0.1,0.6509999999999999,116.975,4
Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,2019-05-31T09:35:03Z,World War Joy,2019-05-31,217653,69,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12340125,90,"electropop,pop,tropical house",0.591,0.7020000000000001,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.00299999999999,4
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,2019-05-31T09:35:03Z,SHE IS COMING,2019-05-31,219080,72,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,8782471,85,"dance pop,pop,post-teen pop",0.6809999999999999,0.865,1,-4.132,0,0.0594,0.00464,0.0016899999999999999,0.149,0.528,91.01700000000001,4
Spicy - with Diplo & Charli XCX,7hzjWGFi2HKUGOXp1LiQ3V,2019-05-31T09:35:03Z,Spicy (with Diplo & Charli XCX),2019-05-30,157866,57,Herve Pagez,31JFnMfmvwzZGdEnXaKGek,1823,54,,0.8220000000000001,0.825,8,-4.458,0,0.052000000000000005,0.055,0.0066099999999999996,0.105,0.507,109.993,4
Pop Out feat. Lil Tjay,5AjINjwKyRvQJhSe2zpPHi,2019-05-31T09:35:03Z,Pop Out feat. Lil Tjay,2019-02-07,166640,88,Polo G,6AgTAQt8XS6jRWi4sX7w49,98487,79,chicago rap,0.861,0.621,1,-7.106,1,0.36200000000000004,0.121,0.0,0.0689,0.254,83.976,4
Greaze Mode,3nG784YlxS4VQOF0qiHKVP,2019-05-31T09:35:03Z,Ignorance is Bliss,2019-05-31,168400,58,Skepta,2p1fiYHYiXz9qi0JJyxBzN,547716,80,"birmingham grime,grime,hip hop,instrumental grime,rap",0.7809999999999999,0.72,6,-8.347000000000001,0,0.165,0.11199999999999999,4.1e-05,0.153,0.40299999999999997,150.07399999999998,4
All Day And Night - Jax Jones & Martin Solveig Present Europa,33CfD8UkDEcSdAP9j4QpUY,2019-05-31T09:35:03Z,All Day And Night,2019-03-28,169303,81,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,480744,80,"dance pop,edm,house,pop,tropical house,uk dance",0.585,0.782,1,-4.101,0,0.0897,0.26899999999999996,0.0,0.156,0.521,121.90799999999999,4
Sixteen,4PkIDTPGedm0enzdvilLNd,2019-05-31T09:35:03Z,Sixteen,2019-04-12,201072,87,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6510281,86,"dance pop,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.669,0.8009999999999999,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,4
