track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019-08-09T10:42:19Z,Beautiful People (feat. Khalid),2019-06-28,197866,92,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48801041,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,4
Phone Down,2bkafQf4LKDOQcK2qlyYU5,2019-08-09T10:42:19Z,Phone Down,2019-06-19,216973,65,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,343480,78,"dancehall,pop,r&b,uk dancehall,uk hip hop,uk pop",0.66,0.753,6,-5.946000000000001,0,0.0706,0.0221,0.0,0.175,0.5670000000000001,100.01299999999999,4
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2019-08-09T10:42:19Z,The Best In The World Pack,2019-06-15,205426,92,Drake,3TVXtAsR1Inumwj472S9r4,39463439,98,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",0.831,0.502,10,-4.045,0,0.046,0.10099999999999999,0.0,0.122,0.10099999999999999,100.541,4
No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,2019-08-09T10:42:19Z,No Guidance (feat. Drake),2019-06-08,260640,85,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,9175210,93,"dance pop,pop,pop rap,r&b,rap",0.698,0.45399999999999996,1,-6.756,0,0.151,0.12300000000000001,0.0,0.155,0.13699999999999998,92.932,4
Crown,1hxE8xAp7CrBsdpiRpiWFy,2019-08-09T10:42:19Z,Crown,2019-06-21,213463,77,Stormzy,2SrSdSvpminqmStGELCSNd,945223,82,,0.542,0.581,9,-5.687,1,0.159,0.701,1.02e-06,0.0741,0.0857,108.90899999999999,4
Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,2019-08-09T10:42:19Z,Get You The Moon (feat. Snøw),2018-10-08,179080,82,Kina,4qIVPF0s71ZYW3qzhu5GkF,135494,75,lo-fi beats,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.14400000000000002,0.0895,118.917,4
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-08-09T10:42:19Z,Old Town Road,2019-04-05,157066,90,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,798136,92,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,4
Body 2 Body,4466tjT4xLDhIdmsMymUHk,2019-08-09T10:42:19Z,Body 2 Body,2019-05-10,145573,62,MK,1yqxFtPHKcGcv6SXZNdyT9,144502,72,"deep groove house,house,pop,tropical house,uk pop",0.68,0.7709999999999999,0,-5.406000000000001,1,0.0421,0.0161,0.0,0.38799999999999996,0.67,122.023,4
Bounce Back,5KPKjcE2trO2hBWRzkb2Mo,2019-08-09T10:42:19Z,Bounce Back,2019-06-14,160551,76,Little Mix,3e7awlrlDSwF3iM0WBjGMp,6239078,83,"dance pop,girl group,pop,post-teen pop,r&b,talent show,uk pop",0.7809999999999999,0.8540000000000001,10,-4.115,0,0.07400000000000001,0.0263,0.00021600000000000002,0.344,0.41,103.021,4
Takeaway,6wo37KVqFJhtuxPTpLCcfe,2019-08-09T10:42:19Z,World War Joy...Takeaway,2019-07-24,209893,85,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13303881,90,"edm,electropop,pop,tropical house",0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.35700000000000004,85.33200000000001,1
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,2019-08-09T10:42:19Z,SHE IS COMING,2019-05-31,219080,85,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9461158,86,"dance pop,pop,post-teen pop,uk pop",0.6809999999999999,0.865,1,-4.132,0,0.0594,0.00464,0.0016899999999999999,0.149,0.528,91.01700000000001,4
