track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,2019-08-09T08:12:02Z,Something About You (with Rudimental),2019-08-09,203200,50,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,74115,69,"house,tropical house,vapor soul",0.799,0.51,9,-8.998,1,0.196,0.547,0.00091,0.221,0.586,107.065,4
Animals (feat. Rachel Chinouriri),3D9l2sYUaTtJVOPp0AUpvW,2019-08-09T08:12:02Z,Animals (feat. Rachel Chinouriri),2019-08-08,190773,35,Preditah,5qYCZ5FQuzZSjOnesvuYiD,15979,62,"bass house,bassline,birmingham grime,grime,instrumental grime",0.6940000000000001,0.7929999999999999,4,-4.905,0,0.0793,0.0267,0.0164,0.0791,0.9390000000000001,123.007,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-08-09T08:12:02Z,Higher Love,2019-06-28,228267,88,Kygo,23fqKkggKUBHNkbKtXEls4,5273983,89,"edm,pop,tropical house",0.693,0.6779999999999999,8,-7.159,1,0.0324,0.0154,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,4
Take Me Back,2HQb8gTiNfVkwCxLNkhHJO,2019-08-09T08:12:02Z,Take Me Back,2019-08-09,164224,28,Coldabank,3JOvRLynmP4mA6dvlWARoA,1104,38,uk dance,0.636,0.802,11,-6.568,0,0.0529,0.007909999999999999,0.00411,0.159,0.36200000000000004,119.977,4
Ain't Thinkin Bout You (feat. Louisa),1tjxQYoB2OS2fRZS43ODLQ,2019-08-09T08:12:02Z,Ain't Thinkin Bout You (feat. Louisa),2019-05-31,165616,63,KREAM,0DdDnziut7wOo6cAYWVZC5,62251,67,"big room,dance pop,deep tropical house,edm,electro house,house,pop,pop edm,tropical house,uk dance",0.784,0.7609999999999999,9,-4.533,1,0.0351,0.006529999999999999,0.000463,0.0984,0.525,123.971,4
Would I Lie to You,1DV5T7iCGaC6D39aNDdxTv,2019-08-09T08:12:02Z,Would I Lie to You,2019-08-02,201639,42,T. Matthias,2R7k2SovVWGhTcvPx1JbQv,1139,44,uk dance,0.7909999999999999,0.778,1,-4.968,1,0.0348,0.161,0.000178,0.0915,0.35100000000000003,121.986,4
Miracle,2lPSvn7iahl7I2L4HVtF0N,2019-08-09T08:12:02Z,Miracle,2019-08-09,205112,26,HRRTZ,6VpuPMBN4oVa62K1wS9bGS,3,16,,0.5770000000000001,0.961,11,-6.044,0,0.0508,0.0362,0.591,0.14300000000000002,0.33799999999999997,123.985,4
Somebody,7dMkq3poFJtz6299Jsr08S,2019-08-09T08:12:02Z,Somebody,2019-06-07,165552,50,Nick Peters,4Rm7UAexBAJqL3LHAUepbw,1264,46,new french touch,0.8190000000000001,0.815,1,-4.63,1,0.0414,0.0279,0.0142,0.223,0.244,123.969,4
Something About You,6SjKZJ2RkBfmWy84uPsIWH,2019-08-09T08:12:02Z,Something About You,2019-08-02,174945,44,James Carter,5344K3N7rx7kw1HjO8psuq,15214,51,pop edm,0.6990000000000001,0.885,7,-6.605,0,0.0637,0.0455,0.0199,0.257,0.248,122.012,4
Lowly,6DobA1V0AAH0su3g7gSjjC,2019-08-09T08:12:02Z,Lowly,2019-05-31,216960,44,Sagan,5JHw3zW4kgwIZlh33geR1K,13862,50,"big room,deep big room,edm,electro house,future house,house,pop edm,progressive electro house,sky room",0.667,0.925,11,-3.464,0,0.0793,0.00469,0.0,0.0823,0.429,124.95200000000001,4
