track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Flash Pose,5GsJcnO3rgpZFOrzL2EISO,2019-07-26T22:00:31Z,Flash Pose,2019-07-26,152932,64,Pabllo Vittar,6tzRZ39aZlNqlUzQlkuhDV,2419308,73,"baile pop,dance pop,funk carioca,pop,pop nacional",0.773,0.859,1,-4.516,1,0.216,0.0226,0.000251,0.342,0.432,124.017,4
"SPIRIT - From Disney's ""The Lion King""",1tC5WMSlsGDFfqnrquB1ty,2019-07-26T22:00:31Z,"SPIRIT (From Disney's ""The Lion King"")",2019-07-10,277030,76,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19452253,91,"dance pop,pop,r&b",0.448,0.435,10,-8.102,1,0.039,0.00988,0,0.0964,0.0466,80.849,4
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-07-26T22:00:31Z,Old Town Road,2019-04-05,157066,95,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,671842,92,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,2019-07-26T22:00:31Z,Calma (Remix),2018-10-05,238200,88,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,432509,80,latin pop,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,4
Con Altura,2qG5sZ7Si6sdK74qLxedYM,2019-07-26T22:00:31Z,Con Altura,2019-03-28,161626,88,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,958194,84,r&b en espanol,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,4
Panini,6fTt0CH2t0mdeB2N9XFG5r,2019-07-26T22:00:31Z,7 EP,2019-06-21,114893,91,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,671842,92,country rap,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,2019-07-26T22:00:31Z,World War Joy,2019-05-31,217653,89,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13120709,90,"edm,electropop,pop,tropical house",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,2019-07-26T22:00:31Z,SHE IS COMING,2019-05-31,219080,85,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9341079,86,"dance pop,pop,post-teen pop",0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,4
Lalala,51Fjme0JiitpyXKuyQiCDo,2019-07-26T22:00:31Z,Lalala,2019-06-28,160626,85,Y2K,6USMTwO0MNDnKte5a5h0xx,24948,78,,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-07-26T22:00:31Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,90,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10860163,88,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,2019-07-26T22:00:31Z,In My Mind,2018-06-08,184560,83,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,112116,76,edm,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,4
Favela,2JVbZEpewmqNlSzmXJTx2E,2019-07-26T22:00:31Z,Favela,2018-08-17,185104,67,Alok,0NGAZxHanS9e0iNHpR8f2W,5926950,79,"electro house,pop nacional",0.777,0.812,2,-3.206,0,0.0598,0.0125,0.00233,0.0264,0.283,103.023,4
Techno Prank,4t8ilMPQ7E7S6pB4i4Kf2I,2019-07-26T22:00:31Z,Techno Prank,2019-06-07,203406,65,Dubdogz,4cdyqaBREB68H77QKCrKP1,114132,65,brazilian edm,0.741,0.807,2,-6.562,1,0.0451,0.0563,0.747,0.351,0.118,124.062,4
Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,2019-07-26T22:00:31Z,Dancin (feat. Luvli) [Krono Remix],2014-11-07,198053,82,Aaron Smith,77qukKzmdI5BeMBR7WGUrN,114435,72,chicago house,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-07-26T22:00:31Z,Higher Love,2019-06-28,228267,87,Kygo,23fqKkggKUBHNkbKtXEls4,5208109,89,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
On A Roll,56JyMaElW79S7TDWh1Zw1m,2019-07-26T22:00:31Z,On A Roll,2019-06-14,154447,85,Ashley O,14scxEoUN7Dcx1m4EQ7oHe,47822,75,"dance pop,electropop,pop,post-teen pop",0.737,0.81,5,-6.354,1,0.0896,0.077,0,0.0523,0.387,125.005,4
One Thing Right - feat. Kane Brown,4hPpVbbakQNv8YTHYaOJP4,2019-07-26T22:00:31Z,One Thing Right (feat. Kane Brown),2019-06-21,181823,87,Marshmello,64KEffDW9EtZ1y2vBYgq8T,14467022,91,"brostep,progressive electro house",0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-07-26T22:00:31Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,84,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,614457,84,"dance pop,pop,tropical house",0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,4
Instagram,0U6bQIAh6MCGo1xjbIIx2S,2019-07-26T22:00:31Z,Instagram,2019-07-05,184558,80,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2499650,79,"belgian dance,belgian edm,big room,deep big room,edm,electro house,progressive electro house,tropical house",0.765,0.906,8,-2.097,0,0.0965,0.125,0,0.423,0.95,96.071,4
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,2019-07-26T22:00:31Z,Promises (with Sam Smith),2018-08-17,213309,82,Calvin Harris,7CajNmpbOovFoOoasH2HaY,17563276,89,"edm,electro house,house,pop,progressive house,uk dance",0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,4
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-07-26T22:00:31Z,Giant (with Rag'n'Bone Man),2019-01-11,229184,83,Calvin Harris,7CajNmpbOovFoOoasH2HaY,17563276,89,"edm,electro house,house,pop,progressive house,uk dance",0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,4
Rodeo,4ak7xjvBeBOcJGWFDX9w5n,2019-07-26T22:00:31Z,7 EP,2019-06-21,158706,86,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,671842,92,country rap,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,4
No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,2019-07-26T22:00:31Z,No Guidance (feat. Drake),2019-06-08,260640,85,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,9075296,93,"dance pop,pop,pop rap,r&b,rap",0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,4
Old Town Road,53CJANUxooaqGOtdsBTh7O,2019-07-26T22:00:31Z,Old Town Road,2019-03-14,113013,89,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,671842,92,country rap,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,4
MOOD 4 EVA,7oqftogUN82Q7VNy2TmTJW,2019-07-26T22:00:31Z,The Lion King: The Gift,2019-07-19,272068,78,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19452253,91,"dance pop,pop,r&b",0.608,0.709,7,-6.175,1,0.374,0.119,0,0.337,0.709,105.742,4
