track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-06-07T10:48:59Z,11:11,2019-05-17,175733,88,Maluma,1r4hJ1h58CWwUQe3MxPuau,15781675,94,reggaeton,0.777,0.712,10,-4.84,1,0.277,0.217,0,0.091,0.68,95.692,4
Con Altura,2qG5sZ7Si6sdK74qLxedYM,2019-06-07T10:48:59Z,Con Altura,2019-03-28,161626,90,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,732946,84,r&b en espanol,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,4
Delincuente,3TqLIW3qd4qFYkfYsBjVN6,2019-06-07T10:48:59Z,Gangalee,2019-04-26,396120,80,Farruko,329e4yvIujISKGKz1BZZbO,5600514,94,"latin,reggaeton,trap latino,tropical",0.655,0.858,0,-5.607,0,0.315,0.53,0,0.344,0.65,83.489,4
HP,31UjYv5vLsDkzchJOtUMtW,2019-06-07T10:48:59Z,HP,2019-03-01,184435,89,Maluma,1r4hJ1h58CWwUQe3MxPuau,15781675,94,reggaeton,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,4
Callaita,2TH65lNHgvLxCKXM3apjxI,2019-06-07T10:48:59Z,Callaita,2019-05-31,250533,90,Bad Bunny,4q3ewBCX7sLwd24euuV69X,13057581,96,"reggaeton,trap latino",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,4
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,2019-06-07T10:48:59Z,Te Robaré,2019-03-22,201818,91,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9342117,94,"latin,latin hip hop,pop,reggaeton,tropical",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,4
Te Soñé De Nuevo,5s8LepdwU0THzpd0M7nLsa,2019-06-07T10:48:59Z,Te Soñé De Nuevo,2019-06-06,199812,77,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,17072055,96,"reggaeton,trap latino",0.772,0.683,7,-2.867,0,0.107,0.0533,0,0.0936,0.773,168.04,4
La Respuesta,2fOjendzUzepHwR9QrVyYF,2019-06-07T10:48:59Z,La Respuesta,2019-04-19,182400,82,Becky G,4obzFoKoKRHIphyHzJ35G3,5167875,86,"latin viral pop,pop,reggaeton",0.757,0.832,4,-3.674,0,0.229,0.127,0,0.167,0.53,180.05,4
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,2019-06-07T10:48:59Z,Soltera (Remix),2019-05-10,266086,93,Lunay,47MpMsUfWtgyIIBEFOr4FE,227911,86,reggaeton flow,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,4
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,2019-06-07T10:48:59Z,Calma (Remix),2018-10-05,238200,91,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,286402,82,latin pop,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,4
La Boca,0UQwlF2pRkr1lMN6kNNUj3,2019-06-07T10:48:59Z,Para Aventuras y Curiosidades,2019-05-03,206279,83,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,1055193,83,"latin,latin pop,tropical",0.618,0.795,2,-1.8,1,0.113,0.0655,0,0.309,0.76,185.901,4
Cristina (feat. Shelow Shaq),2egI1hFZDAYrkCgtepoore,2019-06-07T10:48:59Z,Cristina (feat. Shelow Shaq),2019-03-29,186893,80,Maffio,5RzT7CM6Ot0sh0EHefMicV,2959,69,tropical,0.861,0.599,1,-4.205,1,0.246,0.183,0,0.0921,0.869,102.119,4
Aute Cuture,7dQFpbs34ufIEU745DVclf,2019-06-07T10:48:59Z,Aute Cuture,2019-05-30,147626,81,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,732946,84,r&b en espanol,0.747,0.643,7,-6.991,1,0.178,0.0756,0.00894,0.355,0.538,99.981,4
Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-06-07T10:48:59Z,Con Calma,2019-01-24,193226,95,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,11479195,95,"latin,latin hip hop,pop,reggaeton,tropical",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4
