track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
like we were the last two people on earth,5uQyLXqTIZUSztFKQny0H2,2019-08-08T21:05:06Z,like we were the last two people on earth,2019-08-09,278912,21,dj poolboi,3uL9a8QRwQ6J8Sc7NYK7oJ,431,14,,0.713,0.322,0,-12.777,1,0.0629,0.768,0.919,0.0882,0.0812,119.982,4
Leo,1SQUpaFHUAG42eIawsuSlj,2019-08-10T15:50:09Z,Floral Place,2018-05-21,110615,20,Dreamcast,1jBIK0MgVXiFHO3VgH2rd6,1616,42,,0.669,0.47,3,-6.812,1,0.0364,0.744,0.000268,0.086,0.799,73.967,4
Lying Has To Stop - Single Version,5IR7Ui6MB7MrFZfF5hsoIH,2019-08-10T15:50:09Z,Lying Has To Stop,2016-08-30,276120,49,Soft Hair,5AsILjsyA0MI31ybMkMTtz,43490,47,"experimental pop,indietronica",0.676,0.563,2,-6.966,0,0.079,0.86,0.0182,0.116,0.782,75.524,4
Walls,53pUcRicDKeHPAMyuD2tsD,2019-08-01T14:37:15Z,Walls,2019-08-02,183500,32,Tera Kòrá,29oWM4DINZdTGRS0xKihHR,801,28,,0.446,0.435,10,-12.315,0,0.124,0.135,0.00229,0.121,0.361,80.124,4
Polly Pocket,4NC08dzaMf0IgoQ8AjwGHe,2019-08-06T13:16:55Z,Polly Pocket,2019-07-31,193733,48,Daniela Andrade,0WfaItAbs4vlgIA1cuqGtJ,276093,61,viral pop,0.721,0.398,0,-7.967,1,0.0374,0.274,0.267,0.112,0.216,118.04,4
Focus,7edt9MgE07Bg96ApYPD4Pp,2019-07-30T16:04:59Z,Purity,2019-07-12,252466,39,Laxcity,4YUBqnGDhH4JphZIhi9cdB,7564,48,vapor twitch,0.475,0.69,5,-5.158,1,0.177,0.651,0.000168,0.072,0.331,127.984,4
When U Loved Me,7pADtei8K3suMQlLBxR4iw,2019-08-10T15:50:09Z,When U Loved Me,2019-07-10,191146,52,Hether,5O35zGUolf87RATk2NgSD3,2542,42,,0.738,0.325,8,-13.098,1,0.0422,0.673,0.0881,0.297,0.732,79.011,4
Last Night,4MYW1nmS6luqgtHcqHqHYA,2019-08-10T15:50:09Z,Intimate Fonk,2019-06-18,207065,34,Dabeull,7sw3xJMTpdcpfssx17hfrb,15134,48,nu disco,0.773,0.637,1,-7.397,1,0.0825,0.049,0.841,0.0435,0.748,80.02,4
You,75ZoDBdTAO9e896PtMsbnG,2019-07-30T16:04:59Z,Pronounced Mcgee,2018-05-18,310597,53,Mk.gee,7tr9pbgNEKtG0GQTKe08Tz,15778,49,,0.809,0.656,5,-6.67,1,0.297,0.524,0.00455,0.075,0.786,88.934,4
iMi,5p2vqFW6PVyE38GJlCVIHv,2019-08-09T09:10:08Z,"i,i",2019-08-09,196360,55,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,2538753,79,"chamber pop,eau claire indie,folk-pop,indie folk,indie pop,melancholia,slow core,stomp and holler",0.489,0.396,8,-11.57,1,0.053,0.889,0.00713,0.203,0.523,134.131,4
Cosmic Lines,1UugrF8Mq74QIaU9q36dAh,2019-08-10T15:50:09Z,Cassette for You,2017-11-03,247827,32,BOY DUDE,2Pn8cFHDvZqjr56UjvR62L,1211,25,bedroom pop,0.641,0.383,5,-11.733,0,0.0612,0.494,0.371,0.223,0.527,166.411,4
Pig,7lNv1uR1e9JndPOPxrx2fo,2019-08-10T15:50:09Z,Future Disc,2016-01-26,199215,38,Sasac,0ZfeJXXkQPkG21bGk3NTLt,2627,31,,0.794,0.569,5,-11.304,1,0.0854,0.592,0.872,0.0639,0.854,83.999,4
l'amour perdu,7Cf2H9i0wkvhlGG9z8Ljt9,2019-08-08T21:05:06Z,like we were the last two people on earth,2019-08-09,418354,16,dj poolboi,3uL9a8QRwQ6J8Sc7NYK7oJ,431,14,,0.762,0.83,8,-11.448,1,0.0954,0.662,0.924,0.0858,0.724,121.012,4
Impossible,71WT6kvVYlGba71B65JrH4,2019-08-02T08:59:50Z,Immunity,2019-08-02,230346,60,Clairo,3l0CmX0FuQjFxr8SK7Vqag,604450,79,"bedroom pop,boston indie,pop",0.432,0.615,0,-11.79,1,0.0494,0.255,0.00619,0.128,0.55,99.574,4
