track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Have It All (feat. Age.Sex.Location),17GRI6IQnzjMtpeANxdpch,2019-07-26T13:04:13Z,Have It All (feat. Age.Sex.Location),2019-07-19,205478,55,Cosmo's Midnight,4VivsO1n4n2Mi2Btyb5gfL,59078,60,"australian dance,australian indie,indie dream pop,vapor soul",0.669,0.6970000000000001,0,-11.104000000000001,1,0.248,0.157,1.95e-05,0.26,0.449,110.04899999999999,4
Lovestained,4cTPtlhSo6NDdOe1fXzx1N,2019-07-26T13:04:13Z,Lovestained,2019-04-03,175280,54,Hope Tala,74CcYmmNeHKe5PrZaISk8e,7081,50,"alternative r&b,indie r&b",0.7809999999999999,0.684,11,-8.083,1,0.0676,0.125,0.00277,0.122,0.585,88.96600000000001,4
Summertime In Paris,6XNANAB7sFvkfho6bMCp7o,2019-07-26T13:04:13Z,ERYS (Deluxe),2019-07-05,270960,70,Jaden,0xOeVMOz2fVg5BJY3N6akT,859639,81,"hip hop,pop,pop rap,rap",0.569,0.86,9,-4.1160000000000005,1,0.043,0.135,0.0,0.153,0.289,90.93700000000001,4
Windows,39CVVcFDM4U7zCQvx7EoBt,2019-07-26T13:04:13Z,Chaotic Good,2019-03-15,183343,36,Leo The Kind,3HmMs6CCGjQvjCBcv26hhB,412,45,,0.635,0.501,11,-5.747000000000001,1,0.0489,0.071,0.0856,0.0525,0.449,80.605,4
Frostwire - City Girl Remix,1gsc7F6V1tR3cHPWij6yLY,2019-07-26T13:04:13Z,Frostwire Remixes,2019-05-20,215248,36,Host Family,0LOxYI4hEM1ApV1NBPGA3b,50,26,,0.591,0.41600000000000004,10,-12.125,1,0.0339,0.526,0.9079999999999999,0.0907,0.39,150.042,4
balloon,7B3A7YsmIbyaJBvp6nieKr,2019-07-26T13:04:13Z,balloon,2019-04-02,181682,35,Ghost Orchard,49RJFYAmLSE8FMBQ1GjguG,1041,28,"grand rapids indie,small room",0.9440000000000001,0.675,11,-7.025,0,0.0585,0.125,0.759,0.0629,0.68,108.976,4
The Night's Our Town,1iKit9CD5lmN9vrd6VoG6w,2019-07-26T13:04:13Z,The Night's Our Town,2019-06-28,174511,41,TRAILS,4CSX0R9KLs9HkyqLfiraPQ,3331,41,traprun,0.539,0.7090000000000001,11,-6.9670000000000005,1,0.237,0.17300000000000001,6.26e-05,0.368,0.777,167.93400000000003,4
we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,2019-07-26T13:04:13Z,we fell in love in october / forget her,2018-11-21,184153,65,girl in red,3uwAm6vQy7kWPS2bciKWx9,290042,69,"bedroom pop,norwegian indie,pop",0.5660000000000001,0.366,7,-12.808,1,0.027999999999999997,0.113,0.18100000000000002,0.155,0.237,129.959,4
To the Moon,6farZxFCtvBb1M41ViPCzU,2019-07-26T13:04:13Z,Little Death - EP,2018-03-09,246575,36,olli,0992VRpOtjqDFNoSHneK6L,3036,34,,0.804,0.667,0,-7.6770000000000005,1,0.35200000000000004,0.0743,3.11e-06,0.0458,0.5,145.905,4
Lucky,1epgCQIhFCBZFlZcguOoVf,2019-07-26T13:04:13Z,Lucky,2019-02-08,200880,35,Marius,0dXCvd6lpLfZBKTFjUF1R3,1762,33,,0.7170000000000001,0.637,7,-9.302,1,0.106,0.00185,0.002,0.16899999999999998,0.191,91.995,4
tacenda,43VCtpQTm728IeG7TcSr6e,2019-07-26T13:04:13Z,tacenda,2019-03-27,221543,35,JVLY,52flspAUwzY59cow3QC53f,688,28,australian electropop,0.6829999999999999,0.226,0,-13.600999999999999,0,0.0977,0.848,0.00365,0.13699999999999998,0.35200000000000004,72.039,4
Late Night Feelings (feat. Lykke Li),7aQeWViSfRWSEwtJD86Eq0,2019-07-26T13:04:13Z,Late Night Feelings (feat. Lykke Li),2019-04-12,251028,73,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,614457,84,"dance pop,pop,tropical house",0.688,0.7290000000000001,4,-6.56,0,0.0573,0.43700000000000006,0.0036899999999999997,0.0928,0.469,110.055,4
Water,6RZ7IBeGbdqrwGo3un6UPg,2019-07-26T13:04:13Z,Water,2017-12-01,166658,33,BLYNE,3B6ECroeS4yEP8xKx5zyDD,1654,32,,0.596,0.519,4,-6.987,0,0.0685,0.674,0.000462,0.302,0.0762,75.051,4
Gold - DRKTMS Remix,6IdmT28TwLWrRQPS1IZMEZ,2019-07-26T13:04:13Z,Gold: Remixes,2016-07-15,212044,30,Cabu,44hPDOKyTwkFxOL08UzNQE,21525,54,vapor soul,0.726,0.19399999999999998,10,-13.389000000000001,0,0.45,0.8190000000000001,0.000518,0.105,0.18,102.973,4
Going Down Slow,1IUZh86P1U3w8i245mhzJi,2019-07-26T13:04:13Z,Part I,2017-11-03,260000,39,Exmag,3ubv8WIA649ar6dwEH6ATm,13786,40,,0.61,0.6609999999999999,2,-4.8919999999999995,1,0.0423,0.00281,0.0222,0.12300000000000001,0.276,119.99,4
