track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
All Day And Night - Jax Jones & Martin Solveig Present Europa / Axwell Remix,4gMC0JNQITGa8wfTFsPu3f,2019-06-28T13:16:39Z,All Day And Night (Jax Jones & Martin Solveig Present Europa / Axwell Remix),2019-06-28,200000,50,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,504521,82,"dance pop,edm,house,pop,tropical house,uk dance",0.664,0.862,6.0,-5.517,1.0,0.0399,0.0046,0.318,0.0571,0.249,125.00399999999999,4.0
Rave,7eJ8kuzJ2KyA6ahMhNnNCZ,2019-06-28T13:16:39Z,Rave,2019-06-28,171428,29,TV Noise,32Aw9aJJoXXC1Vn3zqzJbQ,27862,53,"big room,deep big room,edm,electro house,pop edm,progressive electro house,sky room",0.789,0.9259999999999999,1.0,-3.7769999999999997,0.0,0.273,0.000109,2.7899999999999997e-05,0.321,0.599,126.038,4.0
Dancing By Yourself,0ZX44GyxjAWC4dbi9MmiUS,2019-06-28T13:16:39Z,Dancing By Yourself,2019-06-14,185040,43,Junior Sanchez,31ZNfGVEEcI9CyicPVJQni,4977,52,"disco house,funky tech house,house",0.728,0.835,10.0,-7.1739999999999995,0.0,0.0751,0.019,0.000696,0.0554,0.72,123.00399999999999,4.0
DOTS,4WbCj5XiPbJzHc9Kqkakun,2019-06-28T13:16:39Z,DOTS,2019-06-14,160000,37,EAUXMAR,6jjKAAi2ahf5gQ37k7rJya,8421,43,,0.7559999999999999,0.586,9.0,-8.647,0.0,0.113,0.24600000000000002,0.00968,0.174,0.297,122.946,4.0
Orange,2cZ2RGgOERGIk6r1OGnU8q,2019-06-28T13:16:39Z,Orange,2019-06-28,235840,32,Ivy Lab,3VXCvo9Sr0hbZ4mk6VOKBs,23845,46,"electronic trap,neurofunk",0.628,0.872,7.0,-9.142999999999999,1.0,0.087,0.003,0.946,0.124,0.52,173.02,4.0
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,1sI9LpIHEEzQwSVnp8oyfD,2019-06-28T13:16:39Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Tiësto Remix],2019-06-21,255238,61,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10494169,90,"big room,edm,pop,progressive house,tropical house",0.69,0.78,5.0,-4.446000000000001,0.0,0.0594,0.00733,0.00183,0.0729,0.23800000000000002,126.07,4.0
Freaknik,3TSLONH5sqB3PaL4E1qNDE,2019-06-28T13:16:39Z,Freaknik,2019-05-13,90302,30,Beatsbyjblack,1dyQCpZCi3uWHxnar1U6jI,643,20,,0.691,0.5920000000000001,11.0,-15.792,0.0,0.0428,0.00447,0.6709999999999999,0.34,0.645,107.54299999999999,4.0
Havoc,2PH8eaYjUOMecFzBv70TRr,2019-06-28T13:16:39Z,Havoc,2019-05-31,169284,27,LöKii,2RDXcxQgmEyomb2g9SERuf,2214,52,,0.799,0.802,10.0,-6.752000000000001,0.0,0.0581,0.00198,0.851,0.11699999999999999,0.8240000000000001,124.991,4.0
Body Wrap - Radio Edit,2r5G7Kl5PVIzyxcvPRJTam,2019-06-28T13:16:39Z,Body Wrap (Radio Edit),2019-05-17,201290,34,Tibasko,6xq7g0E52yq4y8Op9X82Uo,520,31,,0.7809999999999999,0.972,11.0,-6.731,0.0,0.0502,0.00099,0.7390000000000001,0.11599999999999999,0.625,123.977,4.0
Keep Pushin’ On,0NPwusIdK4upIALpYx5Ppq,2019-06-28T13:16:39Z,Keep Pushin’ On,2019-06-28,209642,20,Leftwing : Kody,7eYXtOjJGhrM16cK2hRmnR,8364,55,"deep groove house,funky tech house,house,uk tech house",0.753,0.768,3.0,-8.78,0.0,0.05,0.000136,0.0461,0.11199999999999999,0.9,125.98,4.0
