track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
These Are The Times (feat. JRM),5YN0zHycJ0Yxz31A5QsVov,2019-07-20T08:55:13Z,These Are The Times (feat. JRM),2019-07-18,188656,62,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10778142,88,"big room,edm,pop,progressive house,tropical house",0.687,0.7070000000000001,4,-6.19,1,0.0328,0.0536,9.290000000000001e-05,0.16,0.607,127.03299999999999,4
Too Close For Comfort,3avbXy9FTw33T9md7TOaBQ,2019-07-20T08:55:13Z,Too Close For Comfort,2019-07-19,189279,16,Josh Charm,0LXZQiNCmHoNhMgJqPu1Va,539,31,,0.644,0.825,1,-2.048,1,0.0893,0.0707,1.7100000000000002e-05,0.39,0.466,118.149,4
I Feel It - Paul Woolford Remix,5rXnLer20fKRTYOOF092Gb,2019-07-20T08:55:13Z,I Feel It (Paul Woolford Remix),2019-07-19,217046,15,Leftwing : Kody,7eYXtOjJGhrM16cK2hRmnR,8648,53,"deep groove house,house,uk tech house",0.639,0.9109999999999999,6,-6.737,1,0.0315,0.000443,0.7609999999999999,0.129,0.759,125.97399999999999,4
Bunny,0TPI2OKla5SwqlPU2nG4OF,2019-07-20T08:55:13Z,Bunny,2019-07-19,214851,38,Tourist,2ABBMkcUeM9hdpimo86mo6,74973,59,"chillwave,indietronica,shimmer pop,tropical house,vapor soul",0.6679999999999999,0.727,8,-7.899,0,0.0395,0.324,0.895,0.275,0.35,117.006,3
No Saint,2Y9Vt33a3gQv5c2ogGji9N,2019-07-20T08:55:13Z,Lost Souls EP,2019-07-18,232182,45,Knife Party,2DuJi13MWHjRHrqRUwk8vH,750141,62,"australian dance,big room,brostep,complextro,edm,electro house,moombahton",0.657,0.863,6,-12.765,0,0.0577,9.7e-05,0.852,0.0589,0.353,128.002,4
Hope,7u04ap1LQoHVJ5N1zs8CRE,2019-07-20T08:55:13Z,Hope,2019-07-19,203711,38,DubVision,3XINWZaloea97SIRiyTJxX,193366,62,"big room,deep big room,deep tropical house,edm,electro house,pop edm,progressive electro house,progressive house,tropical house",0.586,0.7190000000000001,0,-6.142,1,0.042,0.00418,6.23e-06,0.134,0.344,124.912,4
Goliath,1unvk9w2ikBIxcluIwPEvT,2019-07-20T08:55:13Z,Goliath,2019-07-19,170629,31,Dyro,03MVmfitJTVJIxYmObhQn9,152619,54,"big room,complextro,deep big room,edm,electro house,progressive electro house,progressive house,sky room",0.5429999999999999,0.823,11,-6.0760000000000005,0,0.0853,0.00042800000000000005,0.8490000000000001,0.0939,0.12300000000000001,127.95200000000001,4
Mumbai Power,2beor6qrB0XJxW1CM6X9x2,2019-07-20T08:55:13Z,Show Tracks,2019-07-19,158571,48,Skrillex,5he5w2lnU9x7JFhnwcekXX,7228423,82,"brostep,complextro,edm,electro",0.75,0.9309999999999999,8,-5.166,1,0.0464,0.00168,0.284,0.249,0.47200000000000003,140.151,3
Emerald Rush - Solomun Remix (Edit),7Jt7EwMBOOUKG2eUSXyQaX,2019-07-20T08:55:13Z,Emerald Rush (Solomun Remix),2019-07-17,221202,40,Jon Hopkins,7yxi31szvlbwvKq9dYOmFI,274993,63,"ambient,compositional ambient,electronic,fourth world",0.7490000000000001,0.759,1,-8.363,0,0.0657,2.12e-05,0.846,0.304,0.354,120.051,4
Turning Around,6EJQ8Hv3DBuyhlSW5bg6EH,2019-07-20T08:55:13Z,Turning Around,2019-07-05,306960,28,Theo Kottis,3qEwwb8O7MSkGRohGYEzkO,3744,36,uk house,0.789,0.618,6,-8.336,1,0.0828,0.0018899999999999998,0.00285,0.0719,0.828,118.01100000000001,4
Thrill of It,7cUJtHy0YWAtLh5HtLSJMc,2019-07-20T08:55:13Z,Thrill of It,2019-07-19,200357,38,Conro,1BAdSa5cdtCNLbvT7gWmtJ,24064,57,"brostep,canadian electronic,catstep,complextro,edm,electro house,pop edm,tracestep",0.782,0.675,11,-7.271,0,0.0535,0.0834,0.00242,0.605,0.39799999999999996,111.992,4
VIRTUAL SOULMATE,5oqVGKvm47AN9Nc3fp22qo,2019-07-20T08:55:13Z,VIRTUAL SOULMATE,2019-07-19,295963,18,GEOTHEORY,3iIFBDnPEFpR6PCF0Tuh6w,9910,35,vapor twitch,0.713,0.851,11,-6.773,0,0.0871,0.157,0.17800000000000002,0.156,0.0542,120.022,4
Dancing By Yourself,0ZX44GyxjAWC4dbi9MmiUS,2019-07-20T08:55:13Z,Dancing By Yourself,2019-06-14,185040,38,Junior Sanchez,31ZNfGVEEcI9CyicPVJQni,5514,50,"disco house,funky tech house,house",0.728,0.835,10,-7.1739999999999995,0,0.0751,0.019,0.000696,0.0554,0.72,123.00399999999999,4
Deeper - Gorgon City Remix,5yQppNIdlIgA2SXKxhsmiS,2019-07-20T08:55:13Z,Deeper (Gorgon City Remix),2019-07-19,207162,19,Todd Edwards,6MFopqejpmTUUZlcRmGzgg,8843,50,"disco house,speed garage,uk garage,vocal house",0.759,0.872,2,-6.631,1,0.0435,0.0021899999999999997,0.455,0.126,0.775,125.98299999999999,4
Be Someone - Skream Remix,4HTarPImtJ3g8vtD6L03Ez,2019-07-20T08:55:13Z,Be Someone (Skream Remix),2019-07-19,192246,24,CamelPhat,240wlM8vDrf6S4zCyzGj2W,117940,73,"deep groove house,deep tech house,disco house,edm,house,progressive house,tropical house,uk dance",0.564,0.866,5,-5.385,0,0.0276,0.00974,0.0232,0.46,0.46399999999999997,125.97200000000001,4
I Feel for You - Radio Edit - Remix 2019,2WR7NrxRySOfwA5GQKqFNx,2019-07-20T08:55:13Z,I Feel for You (Radio Edit - Remix 2019),2019-07-19,186920,33,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,383433,66,"dance pop,disco house,filter house,tropical house,vocal house",0.813,0.852,11,-3.295,0,0.0402,0.00663,0.0905,0.242,0.617,123.988,4
Truth,29VJE9xQm7XtYGwwgSw0Al,2019-07-20T08:55:13Z,Truth,2019-07-19,345000,41,Jauz,5ttgIeUVka6FLyi00Uu5h8,288403,65,"bass house,brostep,edm,electro house,electronic trap,house,moombahton",0.62,0.948,10,-4.876,0,0.0695,0.0010400000000000001,0.9359999999999999,0.32799999999999996,0.10400000000000001,128.003,4
Wild Game (feat. Monique Lawz),0OblbHqdzBaTNHxkRuWBDN,2019-07-20T08:55:13Z,Wild Game (feat. Monique Lawz),2019-07-19,142611,35,Michael Calfan,4CuipEvwcoQggmCV8jpKF9,113631,61,"big room,deep groove house,deep house,deep tropical house,disco house,edm,electro house,house,progressive electro house,progressive house,tropical house",0.7979999999999999,0.636,3,-10.126,1,0.0612,0.152,0.00107,0.11,0.491,124.01299999999999,4
Egyptian Waters,5ALqIvLFN8k1TQwpHRfy4l,2019-07-20T08:55:13Z,The Goodie Goodies Vol. 3,2019-07-19,239032,9,False Intentions,42vzw8nCadgHXUKOfwE0Mx,11,4,,0.753,0.8109999999999999,4,-8.102,0,0.0425,0.0022199999999999998,0.637,0.40299999999999997,0.239,124.051,4
Music Box,492fuV5986PTyDT4YLvIB2,2019-07-20T08:55:13Z,The Goodie Goodies Vol. 3,2019-07-19,190000,3,Bragken,26I2zrhZOg7xvF9JcoX0jW,2,0,,0.6990000000000001,0.841,1,-8.291,1,0.0425,0.16399999999999998,0.868,0.09300000000000001,0.0381,120.023,4
Heaven (feat. Andreya Triana),5xw5Z9SesDnmaZxZoO7lOE,2019-07-20T08:55:13Z,Heaven / Home (feat. Andreya Triana),2019-07-19,298416,21,The Vision,33nwA09TKiO0nWmUrI3E1I,155,18,,0.871,0.795,5,-4.7669999999999995,0,0.0531,0.00875,0.00402,0.17,0.9620000000000001,120.012,4
