track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-05-06T08:30:43Z,If I Can't Have You,2019-05-03,190800,90,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,16499743,91,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.682,0.813,2,-4.17,1,0.065,0.533,0,0.168,0.818,123.897,4
ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,2019-05-06T08:30:43Z,ME!,2019-04-26,193040,94,Taylor Swift,06HL4z0CvFAxyc27GXpf02,19688584,92,"dance pop,pop,post-teen pop",0.715,0.832,0,-4.08,1,0.0502,0.0324,0,0.112,0.66,91.006,4
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-05-06T08:30:43Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,100,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,7382896,100,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
don't lie to me,6hyl5rtrQw0FyGOWueYQsd,2019-05-06T08:30:43Z,"Only Love, L",2019-04-05,205503,63,Lena,5slpk6nu2IwwKx0EHe3GcL,227878,68,"eurovision,german pop",0.831,0.626,0,-5.85,0,0.0874,0.371,0,0.201,0.789,99.971,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-05-06T08:30:43Z,Piece Of Your Heart,2019-02-01,152913,87,MEDUZA,0xRXCcSX89eobfrshSVdyu,6965,75,,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-05-06T08:30:43Z,SOS,2019-04-10,157202,95,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13216277,89,"big room,dance pop,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
Yapma,1194zYf7UfSXP4omxVTmPa,2019-05-06T08:30:43Z,Yapma,2018-12-21,169000,77,C ARMA,1wLLRA70itxEltujaQlLiT,30128,66,german hip hop,0.771,0.711,11,-5.46,0,0.0932,0.106,1.96e-05,0.0643,0.832,167.97,4
Don't Call Me Up,4QjVfuu7om31HBan0jlX4p,2019-05-06T08:30:43Z,Don't Call Me Up,2019-01-18,178480,75,Mabel,1MIVXf74SZHmTIp4V4paH4,233215,83,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,4
Bella Donna,3v9OYjvyB1tJ9sMrZIlfcz,2019-05-06T08:30:43Z,Bella Donna,2019-05-03,196011,71,Pietro Lombardi,387fj6TuPJ3y2H8ViAm6r0,95573,67,german pop,0.531,0.931,7,-3.906,1,0.0694,0.0326,0,0.308,0.563,198.939,4
Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-05-06T08:30:43Z,Here With Me,2019-03-08,156346,92,Marshmello,64KEffDW9EtZ1y2vBYgq8T,11765360,92,"brostep,egyptian pop,progressive electro house",0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,4
Vermissen (feat. Henning May),1SSzM044DUbVpYNNHWIhYJ,2019-05-06T12:51:18Z,Vermissen (feat. Henning May),2019-05-03,161882,82,Juju,4sg4no0TXdsrM1s4SVUwNF,52261,74,"deep german hip hop,german hip hop",0.716,0.674,9,-5.062,0,0.0565,0.17,0,0.0664,0.48,89.022,4
Cherry Lady,3r1cV21xPMkgCmxk8VqWOB,2019-05-06T08:30:43Z,Cherry Lady,2019-03-22,135596,83,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,1991449,87,german hip hop,0.838,0.549,9,-7.145,0,0.0755,0.877,0.000964,0.115,0.654,114.445,4
