track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Lover,1dGr1c8CrMLDpV6mPbImSI,2019-08-23T09:50:29Z,Lover,2019-08-23,221306,73,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22296523,95,"dance pop,pop,post-teen pop",0.442,0.551,7,-7.7010000000000005,1,0.106,0.504,1.7e-05,0.10800000000000001,0.511,205.78900000000002,3
The Man,3RauEVgRgj1IuWdJ9fDs70,2019-08-23T09:50:29Z,Lover,2019-08-23,190360,75,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22296523,95,"dance pop,pop,post-teen pop",0.755,0.659,0,-5.247999999999999,1,0.063,0.081,0.0,0.10400000000000001,0.6559999999999999,110.14399999999999,4
ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,2019-08-23T09:50:29Z,Lover,2019-08-23,193000,66,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22296523,95,"dance pop,pop,post-teen pop",0.616,0.805,0,-4.112,1,0.0595,0.0299,0.0,0.11900000000000001,0.6940000000000001,182.13099999999997,4
You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,2019-08-23T09:50:30Z,Lover,2019-08-23,171360,68,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22296523,95,"dance pop,pop,post-teen pop",0.7709999999999999,0.684,2,-5.74,1,0.0505,0.0088,0.0,0.06,0.787,85.02,4
Live It Up,3cWl0L18k8WM27XBOPugyi,2019-08-23T13:00:42Z,Live It Up,2019-08-16,188421,47,B-OK,4jneJnJxidM4EJXyFc027H,54,37,,0.715,0.706,5,-5.074,1,0.0485,0.114,0.0,0.0944,0.682,104.98899999999999,4
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,2019-08-23T10:00:31Z,Dance Monkey,2019-05-10,209754,77,Tones and I,2NjfBq1NflQcKSeiDooVjY,54066,81,australian pop,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.07799999999999,4
Waiting Game,23kxVZeTCjTtMv35dch3zI,2019-08-19T13:53:33Z,Waiting Game,2019-08-16,212900,58,Isac Elliot,3aD9K1zaLQ3G7yp9XV5E4D,97511,58,,0.6509999999999999,0.831,0,-5.399,1,0.0506,0.00176,6.3e-06,0.177,0.41700000000000004,96.01799999999999,4
Fuck it I love you,28aEiMfveru430xmXhDCy3,2019-08-23T09:40:27Z,Fuck it I love you / The greatest,2019-08-22,218287,67,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,8730947,86,"dance pop,pop",0.521,0.45299999999999996,9,-10.652999999999999,0,0.0365,0.902,0.00124,0.127,0.2,129.9,4
The Archer,3pHkh7d0lzM2AldUtz2x37,2019-08-23T09:50:30Z,Lover,2019-08-23,211240,70,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22296523,95,"dance pop,pop,post-teen pop",0.309,0.589,0,-9.316,1,0.0421,0.136,0.00464,0.0654,0.18600000000000003,124.251,4
Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,2019-08-23T09:50:30Z,Lover,2019-08-23,234146,72,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22296523,95,"dance pop,pop,post-teen pop",0.45899999999999996,0.745,11,-6.985,0,0.154,0.0276,0.0034700000000000004,0.124,0.466,149.972,4
Daydreaming,02dfEkxZ3MLk5E9XLQs9cd,2019-08-23T13:10:44Z,Daydreaming,2019-08-23,197928,52,Milky Chance,1hzfo8twXdOegF3xireCYs,1133445,74,"german pop,modern rock",0.696,0.795,7,-5.591,0,0.0562,0.484,0.00451,0.182,0.6579999999999999,83.98200000000001,4
Eiskalt,52UVKsw31NTOCTNPTpwbFJ,2019-08-19T13:53:33Z,Eiskalt,2019-08-02,151557,80,Loredana,2Im8m4STDBosjfmb5hmP80,258509,77,german hip hop,0.7979999999999999,0.608,7,-6.001,1,0.14,0.0274,6.52e-05,0.106,0.677,180.014,4
Teeth,1JRK7srBWUtAW7dPabKBwJ,2019-08-21T16:38:04Z,Teeth,2019-08-21,204887,72,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,5052947,87,"boy band,dance pop,pop,post-teen pop,uk pop",0.755,0.44799999999999995,3,-2.9930000000000003,0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,4
Stars,0TId5TSbdcBP32haUV4Aet,2019-08-19T13:53:33Z,Stars,2019-05-03,165468,43,VIZE,09agIJMxCD2k87ys9Al0f0,6447,72,german dance,0.617,0.847,6,-2.9330000000000003,1,0.11,0.0292,0.0,0.16,0.345,127.87799999999999,4
