track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Quicksand,3hYhKxzagma0o6dkiVAwEy,2019-08-21T19:40:11Z,Quicksand,2019-08-13,234510,28,Koste,6tgHGou8FeGY9MmHNsIHYQ,57,18,,0.662,0.534,2,-7.644,1,0.0365,0.0196,0.15,0.0852,0.194,112.127,4
Clementine,5J9Sez1GrTtYeOV8T37NoN,2019-08-21T19:40:11Z,Clementine,2019-08-21,270545,27,Módl,5bzrxLDkRjaILjtqXWppAC,3425,34,,0.575,0.471,4,-9.101,0,0.054,0.631,0.138,0.0902,0.0497,110.021,4
Ghost (feat. Ayelle),6I7r2xxPuM1QHB5xeU4xg9,2019-08-21T19:40:11Z,Ghost (feat. Ayelle),2019-02-01,266000,29,Dawncall,5dzYbfvhKNpTGO9eHjSnMq,618,29,,0.678,0.653,6,-9.209,0,0.0368,0.0149,0.457,0.0876,0.0485,120.026,4
Stars,06P3vqeAdm1CT3WA2tKR6t,2019-08-21T19:40:11Z,Stars,2019-08-14,230461,30,Sky,62UdSpLGWjDU75OAFKLxWV,406,28,,0.517,0.603,0,-8.487,1,0.0545,0.0651,0,0.18,0.306,101.114,4
Someone,62Cy7OOm9duUoNfajCqaz8,2019-08-21T19:40:11Z,Someone,2019-08-20,238666,19,Xander,6ysKfYgiKUTMCuq2fSTLK3,2763,37,,0.685,0.544,0,-7.039,0,0.387,0.299,2.83e-05,0.0521,0.846,99.773,4
Hold On,3pHgessdtkevxngWcUzsGU,2019-08-21T19:40:11Z,Hold On,2019-08-06,190769,41,Gill Chang,7p24N1hqcZaGRNmaYMCTjx,15236,47,"indie electro-pop,pop edm,vapor soul,vapor twitch",0.611,0.787,8,-2.642,1,0.0391,0.143,0,0.185,0.218,156.059,4
i hope ur ok,0gj4bQWlJc0nU6fceKq7BB,2019-08-21T19:40:11Z,i hope ur ok,2019-08-07,195200,40,nøll,5wtzhSRB6edfUruFWvLxpL,922,36,,0.478,0.635,11,-5.722,1,0.163,0.51,5.02e-05,0.0982,0.275,112.325,3
Frozen,3VWn4RSDYyqqJi6YUvd6Gg,2019-08-21T19:40:11Z,Frozen,2019-08-15,209293,29,juuku,2ixBQngmF4ZFXYHi8sJTfl,75,19,,0.697,0.765,9,-4.652,0,0.101,0.0758,0.31,0.144,0.533,137.991,4
No Paradise,4aXRgvgFyUleNwakv1zNZp,2019-08-21T19:40:11Z,No Paradise,2019-08-02,161712,48,Taska Black,3XFcu2NnGWceLNdxRCfYH3,40639,60,"bass trap,edm,electronic trap,electropop,indie electro-pop,pop edm,traprun,vapor twitch",0.602,0.927,4,-7.465,0,0.0376,0.101,0.784,0.671,0.0374,109.515,3
I Love You.,3TmTEN2zy0cyYMjiviWbMK,2019-08-21T19:40:11Z,I Love You.,2019-08-16,246315,41,Kaivon,55FVjkpZs1zuo3zqBgrKtC,17589,55,"bass trap,edm,electronic trap,pop edm,traprun,vapor twitch",0.56,0.746,2,-2.566,0,0.0486,0.0112,0.0776,0.0999,0.0387,113.966,4
Technicolor Lies,38Ji8SRZX28llgx3BoxDYg,2019-08-21T19:40:11Z,Technicolor Lies,2019-08-01,186000,26,Subfer,0CFUv5iCAvSy9DkMxIkUwG,3403,37,pop edm,0.519,0.599,11,-6.646,0,0.0357,0.13,0.000232,0.0891,0.695,149.868,5
Begin Again,0IygneS2TLiXF3eTX5JXee,2019-08-21T19:40:11Z,Begin Again,2019-08-08,215744,51,Unknown Brain,0okpgBQamDqOZazBeH0J3I,60994,66,"bass trap,tracestep,traprun",0.62,0.672,0,-4.645,0,0.199,0.0869,0,0.0642,0.552,187.902,4
"Brain, Brain, Go Away",62YvxwvmywQj9UCNJfaHKv,2019-08-21T19:40:11Z,Pluto Tapes: Volume 3,2019-08-01,213600,36,Unlike Pluto,4zjO8Jhi2pciJJzd8Q6rga,115834,66,"bass trap,catstep,traprun",0.755,0.387,0,-11.704,0,0.0378,0.267,5.23e-05,0.105,0.254,100.027,4
Long Time Coming - MakJ Remix,4b6hYxtxD5MgpFOhzdrbji,2019-08-21T19:40:11Z,Long Time Coming (The Remixes),2019-08-09,195200,16,Jagwar Twin,4luZExkmgn39Kj5XsYWria,6429,47,,0.575,0.848,6,-4.86,0,0.0967,0.00161,9.7e-06,0.661,0.425,150.026,4
That’s Why (with GOLDN),4HQwS0eDQ57zOER0fp7DoD,2019-08-21T19:40:11Z,ASCEND,2019-08-16,252912,64,ILLENIUM,45eNHdiiabvmbp4erw26rg,639261,85,"edm,electropop,pop,tropical house",0.487,0.621,2,-4.676,1,0.0333,0.091,0,0.132,0.178,140.04,4
Sweet Liar,7oWT5fuTNA42UQpujZujok,2019-08-21T19:40:11Z,Outsider,2019-08-16,228035,33,Mia Vaile,38SIErfZNd7u2qlIzFeZqm,7682,48,,0.488,0.686,1,-6.534,1,0.0909,0.496,0.00132,0.249,0.292,167.813,4
I'm going home,7LGEBkLgefJD0HuvJtlT0H,2019-08-21T19:40:11Z,I'm going home,2019-08-09,170080,26,Estherlivia,4OhRKbAMxTEq0d1W9MuxXJ,531,33,,0.429,0.708,2,-3.474,0,0.0649,0.0122,4.61e-06,0.0822,0.496,179.595,4
idontwannatalkaboutlove,56zZvr85MpWHZJwmAhJQxq,2019-08-21T19:40:11Z,idontwannatalkaboutlove,2019-08-09,176160,46,CRAY,7pylhrS9HpyWwbTtmEqg9K,19897,47,la pop,0.66,0.731,0,-6.227,1,0.0536,0.0178,2.85e-05,0.209,0.402,96.075,4
Told You,7gzfnMiqu2wDvjvxHBaAIw,2019-08-21T19:40:11Z,Told You,2019-06-14,207142,32,LIV LI,7uaoz3Rki83lO2lYx2AOle,130,24,,0.453,0.509,5,-10.458,0,0.0811,0.415,2.92e-06,0.16,0.274,111.758,3
Anxiety,4ylKQhVI16RjCAgb8pI0F9,2019-08-21T19:40:11Z,Anxiety,2018-12-06,209520,37,TRACE,5k7Y2t4cB5dG219QgFCvXW,18778,49,"electropop,indie electro-pop",0.687,0.415,6,-7.285,0,0.0295,0.0474,0.0769,0.0799,0.134,110.053,4
Son of a Gun,2fGONEduE6SCiDn9Mu0klN,2019-08-21T19:40:11Z,"dear april, ily",2019-08-09,199469,30,SATICA,1cD70wZHi8HMyLYVDSV9We,9952,47,indie electro-pop,0.658,0.561,1,-6.689,0,0.0292,0.523,8.2e-05,0.135,0.245,127.045,4
Used To,6ZZ4frD36r7ce76iqYSWO2,2019-08-21T19:40:11Z,Used To,2019-08-09,231379,42,Hartley,7DpaPZ3DnHnTUl5mtFKv4U,94,32,,0.387,0.786,10,-4.521,0,0.062,0.38,1.98e-05,0.0846,0.178,173.063,4
