track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
With You (feat. Quinn XCII),5qxLvazzinSf4Cb1N6zIhb,2019-07-02T22:00:17Z,Ashes,2016-02-15,186125,16,ILLENIUM,45eNHdiiabvmbp4erw26rg,589642,79,"edm,electro house,electropop,pop,pop edm,tropical house",0.67,0.6940000000000001,7,-5.98,1,0.0405,0.0786,4.33e-05,0.327,0.128,89.95200000000001,4
Damaged,1TqT5D2vYhH7oJB9dOSioo,2019-07-05T16:21:12Z,Damaged,2019-07-05,216776,15,Lani Rose,7bdI7Q9ffxcej6cfVUktvb,577,35,,0.331,0.34,0,-12.359000000000002,0,0.0387,0.27399999999999997,8.340000000000001e-05,0.0834,0.203,150.0,3
Robin Hood (Sarcastic Sounds Remix),1xEbN8O5cJFnaykZtmJSZo,2019-07-02T22:00:17Z,Robin Hood (Sarcastic Sounds Remix),2019-06-14,127058,48,Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,22584,58,indie cafe pop,0.643,0.385,7,-14.86,1,0.105,0.42100000000000004,0.005520000000000001,0.109,0.14800000000000002,169.958,4
Quivira,2xgdWT1AYGctuZtNTHQead,2019-07-02T22:00:17Z,Quivira,2019-06-27,171624,35,Essenger,3vc0JWD1Nj1VLrgJ1x3cjE,928,39,,0.456,0.452,2,-11.704,1,0.0449,0.494,3.9e-05,0.125,0.299,119.271,4
Anesthesia,5BiyJLnlAA2JslMjynZKW5,2019-07-02T22:00:17Z,Anesthesia,2019-03-05,190000,42,Cassette Tapes,720HJ3Ql6chO1V56okaUSV,1690,39,indie r&b,0.736,0.41,7,-9.871,1,0.304,0.795,2.35e-05,0.10099999999999999,0.179,144.039,4
wake me when it's over,7CaCltSC1kWO2ft4ZvTHVT,2019-07-02T22:00:17Z,Maybe I'm Overthinking,2019-06-28,147826,35,Vorsa,1gh8GYfxnY6D9nXPQ1Pb6g,3204,42,,0.682,0.449,7,-10.219,1,0.0318,0.6509999999999999,0.000575,0.094,0.247,82.465,4
Worth,21TXf4oUIt6A1dGmPDKyKf,2019-07-02T22:00:17Z,Worth,2019-05-10,165000,40,Lani Rose,7bdI7Q9ffxcej6cfVUktvb,577,35,,0.29,0.33299999999999996,0,-11.382,1,0.0438,0.0735,0.0162,0.11599999999999999,0.131,144.066,4
princeton,16QwidZB6by6DzFIHr1EXq,2019-07-02T22:00:17Z,princeton,2019-02-08,224000,36,why try,1cdluY0DcEJUawWSOdCTVC,159,33,montreal indie,0.594,0.37,1,-9.472999999999999,0,0.0331,0.247,0.11,0.289,0.39799999999999996,70.002,4
Cinderella,7LkpDM7vzz11kadpKpQlOY,2019-07-02T22:00:17Z,Cinderella,2019-04-10,185730,46,Instupendo,3ctnkEZGtVBTxS7IMin8nC,16071,53,lo-fi beats,0.6559999999999999,0.408,3,-10.407,1,0.0517,0.46799999999999997,0.603,0.106,0.267,134.95600000000002,4
Slowing Down,3oGvRB0MAfPseLw39gVzGg,2019-07-02T22:00:17Z,Slowing Down,2019-06-18,175500,31,Bronze Whale,448VwSmqc6SpRDqK5WYXIt,7064,48,"indie electro-pop,vapor twitch",0.7759999999999999,0.451,6,-5.446000000000001,0,0.0458,0.611,0.226,0.11599999999999999,0.3,90.04,4
Dawn,3qR5zxOSGNiqZh7bt9kDHD,2019-07-02T22:00:17Z,Unfold,2018-07-18,192875,32,OTR,0oeUdHJ3cy1oveb8WguJJt,5414,52,"indie electro-pop,vapor soul,vapor twitch",0.564,0.622,8,-7.933,1,0.0461,0.000975,0.665,0.095,0.314,144.88,4
Remember You,3gdOf6R3yeOX9JalAa5gu3,2019-07-02T22:00:17Z,Between Us,2019-06-14,168956,48,Hayden James,4csQIMQm6vI2A2SCVDuM2z,138999,71,"aussietronica,edm,gauze pop,house,tropical house,vapor soul",0.713,0.59,6,-5.945,1,0.33299999999999996,0.121,0.000225,0.192,0.4,155.688,4
The River - Askjell Remix,6GGUOICOPZHNj7rrgUfqt3,2019-07-02T22:00:17Z,The River (Askjell Remix),2019-05-28,208002,29,AURORA,1WgXqy2Dd70QQOU7Ay074N,708421,73,"norwegian pop,pop",0.4,0.47600000000000003,2,-11.495,1,0.0677,0.34299999999999997,0.000462,0.10400000000000001,0.23399999999999999,91.90799999999999,4
