track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Warm Blanket,7rwFhMXkudBjwQd94PZjXl,2019-08-02T16:59:52Z,Warm Blanket,2019-08-02,195200,13,Lani Rose,7bdI7Q9ffxcej6cfVUktvb,703,37,,0.6409999999999999,0.415,2,-9.957,1,0.0842,0.619,0.0,0.271,0.267,74.998,4
With You (feat. Quinn XCII),5qxLvazzinSf4Cb1N6zIhb,2019-07-02T22:00:17Z,Ashes,2016-02-15,186125,8,ILLENIUM,45eNHdiiabvmbp4erw26rg,612344,80,"edm,electropop,pop,pop edm,tropical house",0.67,0.6940000000000001,7,-5.98,1,0.0405,0.0786,4.33e-05,0.327,0.128,89.95200000000001,4
Robin Hood (Sarcastic Sounds Remix),1xEbN8O5cJFnaykZtmJSZo,2019-07-02T22:00:17Z,Robin Hood (Sarcastic Sounds Remix),2019-06-14,127058,47,Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,26544,58,indie cafe pop,0.643,0.385,7,-14.86,1,0.105,0.42100000000000004,0.005520000000000001,0.109,0.14800000000000002,169.958,4
Quivira,2xgdWT1AYGctuZtNTHQead,2019-07-02T22:00:17Z,Quivira,2019-06-27,171624,37,Essenger,3vc0JWD1Nj1VLrgJ1x3cjE,1030,38,,0.456,0.452,2,-11.704,1,0.0449,0.494,3.9e-05,0.125,0.299,119.271,4
Catch,56gMYZ4yQ9lmQx0fiWYdIv,2019-07-02T22:00:17Z,Catch,2019-06-21,253146,39,Jaron,4kerBatvaELCGJDnDqW5oq,5015,38,vapor twitch,0.34,0.23199999999999998,7,-13.092,1,0.0324,0.623,0.0347,0.102,0.0676,125.93799999999999,4
Anesthesia,5BiyJLnlAA2JslMjynZKW5,2019-07-02T22:00:17Z,Anesthesia,2019-03-05,190000,41,Cassette Tapes,720HJ3Ql6chO1V56okaUSV,1979,38,indie r&b,0.736,0.41,7,-9.871,1,0.304,0.795,2.35e-05,0.10099999999999999,0.179,144.039,4
wake me when it's over,7CaCltSC1kWO2ft4ZvTHVT,2019-07-02T22:00:17Z,Maybe I'm Overthinking,2019-06-28,147826,40,Vorsa,1gh8GYfxnY6D9nXPQ1Pb6g,3467,41,,0.682,0.449,7,-10.219,1,0.0318,0.6509999999999999,0.000575,0.094,0.247,82.465,4
Damaged,1TqT5D2vYhH7oJB9dOSioo,2019-07-05T16:21:12Z,Damaged,2019-07-05,216776,41,Lani Rose,7bdI7Q9ffxcej6cfVUktvb,703,37,,0.331,0.34,0,-12.359000000000002,0,0.0387,0.27399999999999997,8.340000000000001e-05,0.0834,0.203,150.0,3
princeton,16QwidZB6by6DzFIHr1EXq,2019-07-02T22:00:17Z,princeton,2019-02-08,224000,34,why try,1cdluY0DcEJUawWSOdCTVC,173,31,montreal indie,0.594,0.37,1,-9.472999999999999,0,0.0331,0.247,0.11,0.289,0.39799999999999996,70.002,4
Cinderella,7LkpDM7vzz11kadpKpQlOY,2019-07-02T22:00:17Z,Cinderella,2019-04-10,185730,42,Instupendo,3ctnkEZGtVBTxS7IMin8nC,16981,51,lo-fi beats,0.6559999999999999,0.408,3,-10.407,1,0.0517,0.46799999999999997,0.603,0.106,0.267,134.95600000000002,4
