track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Higher (feat. Nipsey Hussle & John Legend),6O10oTtZIZ4DkkUqyfCbrR,2019-05-17T07:57:26Z,Father Of Asahd,2019-05-17,176874,65,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,3915388,82,"dance pop,hip hop,miami hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.35100000000000003,0.956,7,-1.996,1,0.245,0.0949,0.0,0.226,0.446,83.655,4
Just Us (feat. SZA),13L4184XlA7KaHQdMJx6br,2019-05-17T07:57:26Z,Father Of Asahd,2019-05-17,221378,58,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,3915388,82,"dance pop,hip hop,miami hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.639,0.8590000000000001,9,-2.758,0,0.147,0.135,0.0,0.129,0.5660000000000001,93.132,4
Celebrate (feat. Travis Scott & Post Malone),0b6UoVjUzFyZNpHI0aAhKt,2019-05-17T07:57:43Z,Father Of Asahd,2019-05-17,206498,67,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,3915388,82,"dance pop,hip hop,miami hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.36200000000000004,0.7140000000000001,9,-3.07,0,0.0835,0.26899999999999996,0.0,0.21,0.309,67.4,4
Unjudge Me (feat. Moneybagg Yo),4oV9EnNYheczqyY7bqareU,2019-05-16T23:22:00Z,Unjudge Me (feat. Moneybagg Yo),2019-05-17,206453,47,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,60903,75,chicago rap,0.7040000000000001,0.718,0,-7.042000000000001,1,0.12,0.308,0.0,0.342,0.43700000000000006,148.998,4
WHAT'S GOOD,6bOkaEXc5CopinGazSLokx,2019-05-17T10:22:20Z,IGOR,2019-05-17,205640,72,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,2775648,85,"hip hop,pop rap,rap",0.664,0.9179999999999999,1,-6.97,1,0.35700000000000004,0.0557,7.17e-06,0.135,0.405,117.92,4
Wrong,3EludUFeAoJAwSixWGG5Wg,2019-05-16T12:01:44Z,Wrong,2019-04-05,130876,79,Luh Kel,24CgJHK6T7C5OmUbiLLMjJ,19988,66,,0.745,0.728,0,-3.39,1,0.0423,0.35200000000000004,0.0,0.228,0.39,120.09899999999999,4
Throw Fits (feat. City Girls & Juvenile),5jCa1A0ZfkaWcKGsJZQ0kz,2019-05-16T12:01:44Z,Throw Fits (feat. City Girls & Juvenile),2019-05-17,203930,57,London On Da Track,5Nf5yishRW9Ye174sJISkg,36209,60,,0.851,0.887,4,-3.648,0,0.161,0.0933,0.0,0.154,0.557,105.975,4
Zulu Screams (feat. Maleek Berry & Bibi Bourelly),4ITftSVpf4XkYoDqqpWjBX,2019-05-16T12:01:44Z,Zulu Screams (feat. Maleek Berry & Bibi Bourelly),2019-05-13,177567,57,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,452722,73,"alternative r&b,dmv rap,hip hop,pop rap,rap,underground hip hop",0.753,0.9259999999999999,6,-5.444,0,0.16899999999999998,0.136,0.026000000000000002,0.129,0.721,125.956,4
Cut Up,5wxP48hyJlNAMASN0bqZnu,2019-05-16T12:01:44Z,Cut Up,2019-05-03,157380,63,Blac Youngsta,41klVmDluQZmGGqoidNfbe,804951,65,"rap,southern hip hop,trap music",0.8390000000000001,0.578,11,-5.957000000000001,1,0.0727,0.000404,0.000132,0.121,0.581,164.09099999999998,4
Devil's Work,6XH0KeCZ0nRysAeSJYRFFg,2019-05-16T12:01:44Z,Devil's Work,2019-05-02,285015,74,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,690364,78,"boston hip hop,hip hop,pop rap,rap",0.5870000000000001,0.665,2,-6.997999999999999,1,0.37200000000000005,0.19699999999999998,0.0,0.11199999999999999,0.222,96.016,4
Greaze Mode,6gRbkI6s0M7zTE9uhRZUjV,2019-05-16T12:01:44Z,Greaze Mode,2019-05-09,168400,72,Skepta,2p1fiYHYiXz9qi0JJyxBzN,535101,78,"birmingham grime,grime,hip hop,instrumental grime,rap",0.7809999999999999,0.72,6,-8.347000000000001,0,0.165,0.11199999999999999,4.1e-05,0.153,0.40299999999999997,150.07399999999998,4
