track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Giannis (feat. Anderson .Paak),2fHIIgFA9r7oPDpeFZ7eOK,2019-07-26T01:58:06Z,Giannis (feat. Anderson .Paak),2019-06-13,198906,54,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,339475,72,"alternative hip hop,escape room,hip hop,pop rap,rap,southern hip hop,underground hip hop",0.657,0.8390000000000001,5,-5.62,1,0.311,0.0715,0.0,0.39899999999999997,0.525,90.448,4
Throw Fits (feat. City Girls & Juvenile),5jCa1A0ZfkaWcKGsJZQ0kz,2019-07-26T01:58:06Z,Throw Fits (feat. City Girls & Juvenile),2019-05-17,203930,66,London On Da Track,5Nf5yishRW9Ye174sJISkg,39826,62,atl hip hop,0.851,0.887,4,-3.648,0,0.161,0.0933,0.0,0.154,0.557,105.975,4
Unjudge Me (feat. Moneybagg Yo),79wb40ryIvsCsoYo0qg6kA,2019-07-26T01:58:06Z,Wildboy,2019-05-31,206440,54,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,122132,75,"chicago rap,trap music",0.47,0.721,0,-7.095,1,0.289,0.315,0.0,0.35,0.428,148.957,4
Cut Up,5wxP48hyJlNAMASN0bqZnu,2019-07-26T01:58:06Z,Cut Up,2019-05-03,157380,61,Blac Youngsta,41klVmDluQZmGGqoidNfbe,847971,64,"pop rap,rap,southern hip hop,trap music",0.8390000000000001,0.578,11,-5.957000000000001,1,0.0727,0.000404,0.000132,0.121,0.581,164.09099999999998,4
First Off (feat. Travis Scott),3WRIaWsws011vHMd9uzPjG,2019-07-26T01:58:06Z,Future Hndrxx Presents: The WIZRD,2019-01-18,228366,70,Future,1RyvyyTE3xzB2ZywiAwp0i,7944684,89,"atl hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.7340000000000001,0.6829999999999999,1,-6.105,1,0.0776,0.013000000000000001,0.0,0.28,0.445,162.03799999999998,4
"Run It Up (feat. YBN Nahmir, G Herbo & Blac Youngsta)",1oqPEllZ5VNxUL6XxXPDE4,2019-07-26T01:58:06Z,Sorry 4 The Hold Up,2019-03-22,279014,39,DDG,0WK3H9OErSn5zKOkOV5egm,137279,61,,0.772,0.7020000000000001,0,-5.322,0,0.046,0.0925,2.96e-06,0.126,0.583,84.04299999999999,4
Put a Date On It (feat. Lil Baby),6PRh0ilIMEP1xlUHqalnkD,2019-07-26T01:58:06Z,Put a Date On It (feat. Lil Baby),2019-01-25,195257,70,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,2479992,75,"dirty south rap,gangster rap,hip hop,memphis hip hop,pop,pop rap,rap,southern hip hop,trap music",0.835,0.659,4,-5.696000000000001,1,0.31,0.0123,0.0,0.37200000000000005,0.579,129.93,4
My Year,6MDjeiUWPPgEwLtiBrr9he,2019-07-26T01:58:06Z,My Year,2019-01-24,190344,68,GASHI,0JOxt5QOwq0czoJxvSc5hS,89283,71,"trap music,trap soul",0.8420000000000001,0.8079999999999999,11,-3.2430000000000003,0,0.0491,0.20600000000000002,0.0,0.258,0.705,145.03,4
Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,2019-07-26T01:58:06Z,Leave Me Alone,2018-09-04,195637,79,Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,369614,71,"rap,trap music,underground hip hop,vapor trap",0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,4
Splashin,79OEIr4J4FHV0O3KrhaXRb,2019-07-26T01:58:06Z,Splashin,2018-12-04,177806,37,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,1702518,84,"atl hip hop,pop,pop rap,rap,southern hip hop,trap music",0.9420000000000001,0.38299999999999995,10,-8.099,1,0.565,0.00195,0.0,0.0922,0.38,100.021,4
