track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Motivation,0rIAC4PXANcKmitJfoqmVm,2019-08-16T12:05:26Z,Motivation,2019-08-16,193837,67,Normani,2cWZOOzeOm4WmBJRnD5R7I,443625,80,"pop,post-teen pop,r&b",0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,4
Home (feat. Bonn),4aTtHoSBB0CuQGA6vXBNyp,2019-08-16T12:05:26Z,Home (feat. Bonn),2019-08-16,239067,63,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,11089834,88,"big room,edm,pop,progressive house,tropical house",0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,4
Slide Away,44ADyYoY5liaRa3EOAl4uf,2019-08-16T12:05:26Z,Slide Away,2019-08-16,233654,69,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9525268,86,"dance pop,pop,post-teen pop,uk pop",0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,4
Can't Get Over You,3dTmgecC7MCMbteWjf8Ls7,2019-08-16T12:05:26Z,Can't Get Over You,2019-07-12,142439,63,KVSH,2uGKgNuq7MnKksXiSO6HjB,162429,70,brazilian edm,0.714,0.795,9,-4.621,0,0.0354,0.013,2.33e-05,0.0917,0.347,123.002,4
The World Is Mine,4xmq2DFdbkwVqimOKQGZU7,2019-08-16T12:05:26Z,The World Is Mine,2019-08-15,175627,42,Samm Henshaw,1Q2mS59tFYLm2KGFoCgWN4,95439,60,"british soul,uk contemporary r&b",0.565,0.905,6,-4.396,1,0.149,0.108,0,0.377,0.789,98.038,4
Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,2019-08-16T12:05:26Z,Heartless (feat. Morgan Wallen),2019-08-16,169226,62,Diplo,5fMUXHkw8R8eOP2RNVYEZX,2022141,87,"bmore,edm,moombahton,ninja,pop",0.764,0.555,11,-6.414,1,0.0604,0.275,0,0.0824,0.255,111.004,4
Takeaway,6wo37KVqFJhtuxPTpLCcfe,2019-08-16T12:05:26Z,World War Joy...Takeaway,2019-07-24,209893,87,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13396242,91,"electropop,pop,tropical house",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,1
Live Fast - PUBGM,1VUGWjzlqudhTqvhc17miB,2019-08-16T12:05:26Z,Live Fast (PUBGM),2019-07-25,225096,74,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,12596510,88,electro house,0.691,0.557,7,-5.448,0,0.0454,0.104,0,0.427,0.193,87.546,4
Tag ein Tag aus,3r0V6TPxdwcXP5CGQM4FbQ,2019-08-16T12:05:26Z,Tag ein Tag aus,2019-08-09,184266,56,MAJAN,60pVmLS5zlt31OWk340O3U,4617,55,german cloud rap,0.712,0.795,1,-6.178,0,0.0618,0.147,0,0.495,0.586,120.041,4
Jung & Naiv,144yhHQOd3MlFTOaKLVxKU,2019-08-16T12:05:26Z,Jung & Naiv,2019-08-09,184533,48,Noah Levi,0XuWJAWSbqjnBobY4XeHfS,2672,50,,0.513,0.528,6,-7.323,1,0.077,0.456,0,0.312,0.457,125.861,4
Not Gonna Cry,6YWsufxs7K1Cy0p8oh0lk6,2019-08-16T12:05:26Z,Not Gonna Cry,2019-08-09,205880,19,Emma Steinbakken,3GIadM69XShFZNB3gP67Td,2192,47,"norwegian pop,scandipop",0.56,0.545,6,-5.578,0,0.0283,0.00308,3.68e-05,0.0803,0.229,135.156,4
Blow My Mind,1xJTW86sJ1OoloXeOret6t,2019-08-16T12:05:26Z,Blow My Mind,2019-07-26,199173,72,DaVido,0Y3agQaa6g2r0YmHPOO9rh,211929,71,"afropop,ghanaian hip hop,nigerian pop",0.52,0.644,7,-7.09,0,0.0783,0.129,0.000235,0.107,0.6,103.646,4
Right Back (feat. A Boogie Wit Da Hoodie),6PYnUsNEpYC7A4BS2sjw3L,2019-08-16T12:05:26Z,Right Back (feat. A Boogie Wit Da Hoodie),2019-08-13,254999,79,Khalid,6LuN9FCkKOj5PcnpouEgny,7881072,97,pop,0.786,0.428,5,-10.011,0,0.31,0.0933,1.1e-06,0.156,0.556,97.001,4
Instagram,0U6bQIAh6MCGo1xjbIIx2S,2019-08-16T12:05:26Z,Instagram,2019-07-05,184558,84,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2528250,81,"belgian dance,belgian edm,big room,deep big room,edm,electro house,progressive electro house,tropical house",0.765,0.906,8,-2.097,0,0.0965,0.125,0,0.423,0.95,96.071,4
Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,2019-08-16T12:05:26Z,Phone Numbers,2019-07-04,146826,71,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,133421,78,alternative pop rock,0.884,0.539,1,-6.389,0,0.208,0.239,0,0.0805,0.776,85.008,4
In This Together,4vSVqPMIHi0Brmv3uS0UJF,2019-08-16T12:05:26Z,In This Together,2019-07-26,202813,50,Emily Roberts,3RBqLTttwN1orqQozYfmJo,1867,65,german pop,0.594,0.675,0,-5.934,0,0.178,0.0521,0,0.248,0.761,93.417,4
China,2ksOAxtIxY8yElEWw8RhgK,2019-08-16T12:05:26Z,China,2019-07-19,301714,94,Anuel AA,2R21vXR83lH98kGeO99Y66,7460795,95,"reggaeton flow,trap latino",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4
Face To Face,4Jw3870ecfc9792hvVb7lT,2019-08-16T12:05:26Z,Face To Face,2019-08-08,203649,66,Ruel,5xkAtLTf309LAGZTbvULBn,407466,76,"australian pop,dance pop,pop,post-teen pop,uk pop",0.698,0.634,9,-4.341,1,0.064,0.148,0,0.105,0.371,90.008,4
Look Away,48IZ6I5KgIrKL8rATErZvB,2019-08-16T12:05:26Z,Look Away,2019-06-14,184127,55,Stephen Puth,6B72wjgAkhvxTVCL6xS6mC,8179,55,,0.787,0.443,3,-6.709,0,0.0291,0.172,0,0.278,0.63,106.535,4
Ride It,2tnVG71enUj33Ic2nFN6kZ,2019-08-16T12:05:26Z,Ride It,2019-07-26,157605,73,Regard,4ofCBoyEiGSePFAG500xev,3055,63,,0.893,0.748,7,-4.299,0,0.0821,0.272,1.62e-05,0.093,0.867,117.958,4
No Goodbye,5gwLIRjGFf3hXuHoKEsWLg,2019-08-16T12:05:26Z,No Goodbye,2019-07-26,168546,61,Paul Kalkbrenner,0rasA5Z5h1ITtHelCpfu9R,698090,68,"german techno,leipzig electronic,minimal techno,tech house,tropical house",0.945,0.584,6,-7.649,0,0.044,0.0955,0.341,0.147,0.626,124.996,4
Acid Dreams,3XEdqQtGHAM5huMrs3RaKN,2019-08-16T12:05:26Z,Acid Dreams,2019-07-19,183930,64,MAX,1bqxdqvUtPWZri43cKHac8,321592,77,"dance pop,indie poptimism,pop,post-teen pop,uk pop,viral pop",0.817,0.509,0,-4.17,1,0.0839,0.146,2.53e-05,0.111,0.77,99.988,4
Juicy,7qvsl2pYzrsYgPeFBN5jxp,2019-08-16T12:05:26Z,Juicy,2019-08-15,202333,51,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,398626,71,"electropop,escape room,la indie,pop",0.786,0.658,0,-2.61,1,0.0661,0.0856,0,0.0689,0.458,170.037,4
Ballern,3ccxuj9NwZXfPFgt8AR18G,2019-08-16T12:05:26Z,Ballern,2019-08-16,171374,40,Culcha Candela,3gemH8D6fpu12DmTmUZYAL,202519,64,"dance pop,german pop",0.862,0.852,11,-5.687,0,0.169,0.0235,0.000339,0.323,0.259,125.055,4
Spicy - with Diplo & Charli XCX,7hzjWGFi2HKUGOXp1LiQ3V,2019-08-16T12:05:26Z,Spicy (with Diplo & Charli XCX),2019-05-30,157866,69,Herve Pagez,31JFnMfmvwzZGdEnXaKGek,3284,63,musique guadeloupe,0.822,0.825,8,-4.458,0,0.052,0.055,0.00661,0.105,0.507,109.993,4
PAY ME BACK!,0XO1KK7qiUGVK8t3FZdM4w,2019-08-16T12:05:26Z,PAY ME BACK!,2019-07-26,188200,52,ILIRA,6mzs66iVW15C5iLt0JLt41,7550,64,"albanian pop,uk pop",0.79,0.81,9,-3.452,1,0.0612,0.0137,0,0.0755,0.607,120.092,4
Tutu,1nocRtwyNPVtGcIJqfgdzZ,2019-08-16T12:05:26Z,Tutu,2019-08-09,178613,79,Camilo,28gNT5KBp7IjEOQoevXf9N,140087,82,colombian pop,0.731,0.832,9,-2.592,1,0.0503,0.273,0,0.0665,0.94,146.013,4
BROWN SKIN GIRL,0B3FovCVaGKS5w1FTidEUP,2019-08-16T12:05:26Z,The Lion King: The Gift,2019-07-19,248472,80,Blue Ivy,3XV0lFzNs8BCTwhJTcMiBr,894,70,,0.603,0.602,6,-7.083,1,0.23,0.049,0,0.279,0.595,119.703,5
"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,2019-08-16T12:05:26Z,"Yo x Ti, Tu x Mi",2019-08-15,201040,71,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1096846,84,r&b en espanol,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,4
