track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Kind of Blue,7nHmJXlyr4AIotI84ZnVFP,2019-07-05T09:34:11Z,Kind of Blue,2019-07-05,165733,41,Hellberg,1kgxTtyF91VaqLD3J6Krd5,41327,56,"catstep,chillstep,complextro,edm,electro house,pop edm,tracestep",0.565,0.606,1.0,-6.246,1.0,0.0703,0.5660000000000001,1.26e-06,0.0442,0.626,83.571,4.0
Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,2019-07-05T09:34:11Z,Phone Numbers,2019-07-04,146826,58,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,102469,79,alternative pop rock,0.884,0.539,1.0,-6.388999999999999,0.0,0.20800000000000002,0.239,0.0,0.0805,0.7759999999999999,85.008,4.0
Lalala,51Fjme0JiitpyXKuyQiCDo,2019-07-05T09:34:11Z,Lalala,2019-06-28,160626,59,Y2K,6USMTwO0MNDnKte5a5h0xx,16365,76,,,,,,,,,,,,,
Dance in the Dark,3i5jKbMOcBqgnKlx5UyH9d,2019-07-05T09:34:11Z,Dance in the Dark,2019-07-05,178187,53,Au/Ra,1eMmoIprPDWeFdB1FxU6ZV,70651,73,deep pop edm,0.754,0.534,9.0,-8.424,0.0,0.12300000000000001,0.0721,0.00615,0.218,0.809,149.14600000000002,4.0
"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas)",0U6bQIAh6MCGo1xjbIIx2S,2019-07-05T09:34:11Z,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas)",2019-07-05,184558,66,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2467376,78,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.736,0.9009999999999999,11.0,-2.305,1.0,0.157,0.139,0.0,0.8759999999999999,0.932,95.99600000000001,4.0
Making Me Crazy,115r45UP4LuNAMjlBrggfG,2019-07-05T09:34:11Z,Making Me Crazy,2019-07-05,168333,20,Lookee,5JJHnW1bhWbA3Slljbdktc,207,43,,,,,,,,,,,,,
Lost on Me,0XI0DNXT765BM3jyIjZsH2,2019-07-05T09:34:11Z,Lost on Me,2019-07-05,195799,11,Kolibri,6Zslx1IUnWnL1F9GI9V0EV,9,4,,0.552,0.873,2.0,-5.6370000000000005,0.0,0.035,0.14300000000000002,0.611,0.213,0.8290000000000001,75.013,4.0
Same Room,48yUhAZGJb5WGSclZK1RAF,2019-07-05T09:34:11Z,Same Room,2019-06-28,233465,53,JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,12552,59,"canadian contemporary r&b,indie cafe pop,indie electro-pop",0.455,0.386,7.0,-10.883,1.0,0.0675,0.623,0.0,0.102,0.418,134.093,4.0
Globetrotter,1bFQhFmmfURmAIzyp5nIRO,2019-07-05T09:34:11Z,Globetrotter,2019-07-05,166299,37,Ludvigsson,3oa1ydh8eLVXesBUwIfBWQ,975,47,"deep pop edm,deep tropical house,pop edm,swedish tropical house",0.715,0.802,6.0,-5.002,1.0,0.0298,0.0816,0.0,0.10800000000000001,0.379,113.986,4.0
Korb,6p6KFTmFgiufQaEYgZBbiW,2019-07-05T09:34:11Z,Korb,2019-07-05,171906,52,Hava,3Mn6d673ieRza7uw6zY2Zv,9609,49,german hip hop,0.818,0.46299999999999997,10.0,-8.736,1.0,0.22899999999999998,0.424,0.0,0.10400000000000001,0.755,141.091,4.0
All In - Ostblockschlampen Mix,2zRFPRWcIBBlTvvn34sj2o,2019-07-05T11:47:40Z,All In (Ostblockschlampen Mix),2019-07-05,184413,31,Eastblock Bitches,5ujBuZtDUrPORHkAyQJTjP,4167,43,german dance,0.662,0.5870000000000001,1.0,-6.082999999999999,1.0,0.0347,0.128,0.0,0.14300000000000002,0.405,99.993,4.0
Caliente - Remix,2VS5Z38VSrvt52yv3gVr7o,2019-07-05T09:34:11Z,Caliente (Remix),2019-06-28,128960,36,Melisa Carolina,2PyhHuEUpN8Z128418fpo7,2564,46,german hip hop,0.851,0.598,2.0,-5.89,1.0,0.0756,0.00561,0.0652,0.0642,0.654,116.934,4.0
Geschichte schreiben,5wJVKvmViKbZA30uN7MKQZ,2019-07-05T09:34:11Z,Geschichte schreiben,2019-07-05,179840,4,Jan & Jascha,4juFJrU5KIaqW9E74wZRzG,4,1,,0.684,0.7709999999999999,2.0,-5.256,1.0,0.0286,0.0108,2.27e-05,0.17300000000000001,0.465,127.99,4.0
