track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bounce Back,5KPKjcE2trO2hBWRzkb2Mo,2019-07-05T09:34:11Z,Bounce Back,2019-06-14,160551,79,Little Mix,3e7awlrlDSwF3iM0WBjGMp,6065801,85,"dance pop,girl group,pop,post-teen pop,r&b,talent show,uk pop",0.7809999999999999,0.8540000000000001,10.0,-4.115,0.0,0.07400000000000001,0.0263,0.00021600000000000002,0.344,0.41,103.021,4.0
Now You're Gone (feat. Zara Larsson) - Radio Edit,1rfNR4mPFYtLKtoZqEo7Am,2019-07-05T09:34:11Z,Now You're Gone (feat. Zara Larsson) [Radio Edit],2019-05-31,173330,66,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,434310,80,"indie anthem-folk,pop",0.7390000000000001,0.68,4.0,-7.774,0.0,0.273,0.615,2.76e-06,0.16399999999999998,0.32899999999999996,102.163,4.0
EFH,1fsaruaCPeyVquN9iQLHzX,2019-07-05T09:34:11Z,EFH,2019-06-21,180661,76,Shindy,5j21TGkrNEAJe3gG9VlS34,453618,77,german hip hop,0.6,0.657,1.0,-7.14,1.0,0.0677,0.00595,0.000157,0.133,0.253,160.386,4.0
Suddenly,6pVLo6SbGodS875usLokXe,2019-07-05T09:34:11Z,Suddenly,2019-06-14,194013,34,Beranger,3U2PbgNvT1a9HWZ8xB33NN,4532,32,,0.455,0.755,11.0,-5.492999999999999,0.0,0.0382,0.0033399999999999997,0.0028399999999999996,0.34700000000000003,0.41700000000000004,134.154,4.0
The Best You Had,1CohLMdkpi0odYnMxqLYqd,2019-07-05T09:34:11Z,"The Sun Will Come Up, The Seasons Will Change",2019-02-01,176853,49,Nina Nesbitt,7AzjETXRUKNRSJHMW9GIqd,178820,74,"australian pop,dance pop,electropop,indie cafe pop,neo-singer-songwriter,pop,post-teen pop,uk pop,viral pop",0.693,0.584,5.0,-6.257999999999999,0.0,0.0335,0.361,0.0,0.0775,0.445,121.977,4.0
NENENE,5AiqL0ezAAauDuVK5EJvXU,2019-07-05T09:34:11Z,NENENE,2019-06-07,183133,78,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,119692,75,german hip hop,0.7240000000000001,0.835,6.0,-4.831,0.0,0.0887,0.0307,0.0,0.131,0.76,130.004,4.0
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-07-05T09:34:11Z,"Don't Forget About Me, Demos",2018-10-16,177666,88,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,102469,79,alternative pop rock,0.815,0.518,7.0,-6.593999999999999,0.0,0.0897,0.223,0.0,0.10400000000000001,0.877,151.891,4.0
Geschichte schreiben,5wJVKvmViKbZA30uN7MKQZ,2019-07-05T09:34:11Z,Geschichte schreiben,2019-07-05,179840,4,Jan & Jascha,4juFJrU5KIaqW9E74wZRzG,4,1,,0.684,0.7709999999999999,2.0,-5.256,1.0,0.0286,0.0108,2.27e-05,0.17300000000000001,0.465,127.99,4.0
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-07-05T09:34:11Z,Giant (with Rag'n'Bone Man),2019-01-11,229184,86,Calvin Harris,7CajNmpbOovFoOoasH2HaY,17270250,91,"edm,electro house,house,pop,progressive house,uk dance",0.807,0.887,1.0,-4.311,0.0,0.0361,0.016,0.000503,0.0811,0.606,122.015,4.0
Letter To My Godfather - from The Black Godfather,3ok8ekCyqc7h232DWfotsf,2019-07-05T09:34:11Z,Letter To My Godfather (from The Black Godfather),2019-06-07,336029,55,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,2794529,83,"dance pop,pop,pop rap",0.61,0.44799999999999995,11.0,-4.882,0.0,0.025,0.27899999999999997,1.31e-05,0.332,0.526,80.014,3.0
Pangea,5wJbXHZnOPCFhwuWvakWhv,2019-07-05T09:34:11Z,Pangea,2019-05-17,192093,43,Thor Rixon,53Gm4E92lh1hMANUw9r2pX,1329,34,"south african alternative,south african electronic",0.611,0.61,1.0,-5.4079999999999995,1.0,0.16899999999999998,0.32799999999999996,0.0,0.161,0.584,89.917,4.0
Figure It Out,1erpX26OHxb0dkk4NyXlDF,2019-07-05T09:34:11Z,Figure It Out - EP,2019-05-24,127675,54,Jai Waetford,65eKzckWWGA123QUyi2Qo3,167574,56,"australian pop,australian talent show,post-teen pop,teen pop",0.7140000000000001,0.534,8.0,-7.952999999999999,1.0,0.0979,0.00228,0.000171,0.141,0.47,92.508,4.0
36 Grad (feat. Carsten Chemnitz & Nura),1Skc1HnV1ABdaCWFeaiRjG,2019-07-05T09:34:11Z,36 Grad (feat. Carsten Chemnitz & Nura),2019-05-10,261600,47,Zugezogen Maskulin,1yrJYfMWNHZWIGWM2Cb4gF,34255,49,"antideutsche,german alternative rap,german cloud rap,german hip hop,german rock,indie deutschrap",0.84,0.738,1.0,-6.4479999999999995,1.0,0.23199999999999998,0.0133,0.0,0.8290000000000001,0.7659999999999999,137.004,4.0
