track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Hold Up,0rzNMzZsubFcXSEh7dnem7,2019-05-17T17:38:06Z,Lemonade,2016-04-23,221093,79,Beyoncé,6vWDO969PvNqNYHIOW5v0m,18655560,93,"dance pop,pop,r&b",0.524,0.397,0,-11.936,1,0.405,0.745,0,0.521,0.552,80.744,4
"Top Off (feat. JAY Z, Future & Beyoncé)",0QzliuYF4qRMXI76GwepXq,2019-05-17T17:38:06Z,Father Of Asahd,2019-05-17,230712,67,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,3943139,86,"dance pop,hip hop,miami hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.569,0.593,11,-6.718,0,0.336,0.0102,0,0.457,0.262,86.695,5
Dinero,22mQXNE0nCuWq4yOwcadIn,2019-05-17T17:38:06Z,Dinero,2018-05-17,213750,67,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,6403481,79,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary",0.721,0.881,8,-2.528,1,0.342,0.41,7.61e-06,0.292,0.643,127.759,4
Woman Like Me (feat. Nicki Minaj),222B3aljXx6fFwKmFjuBED,2019-05-17T17:38:06Z,LM5 (Deluxe),2018-11-16,229720,75,Little Mix,3e7awlrlDSwF3iM0WBjGMp,5839421,83,"dance pop,girl group,pop,post-teen pop,r&b,talent show,uk pop",0.754,0.854,5,-3.449,0,0.0608,0.177,0,0.0808,0.8,75.002,4
Old Town Road,53CJANUxooaqGOtdsBTh7O,2019-05-17T17:38:06Z,Old Town Road,2019-03-14,113013,95,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,256943,90,country rap,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,4
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,2019-05-17T17:38:06Z,Camila,2018-01-12,217306,85,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,9663743,85,"dance pop,pop,post-teen pop,r&b",0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,4
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,2019-05-17T17:38:06Z,"thank u, next",2018-11-03,207333,68,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,29609177,97,"dance pop,pop,post-teen pop",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,4
Formation,6g0Orsxv6glTJCt4cHsRsQ,2019-05-17T17:38:06Z,Lemonade,2016-04-23,206080,79,Beyoncé,6vWDO969PvNqNYHIOW5v0m,18655560,93,"dance pop,pop,r&b",0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,4
No Candle No Light (feat. Nicki Minaj),0yChzgxfOGJvl8dtrI4Imu,2019-05-17T17:38:06Z,Icarus Falls,2018-12-14,195026,56,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,7857192,84,"dance pop,pop,post-teen pop",0.619,0.752,5,-4.22,0,0.0496,0.0171,0.000107,0.0949,0.462,122.133,4
Genius,73F87Sqh6jQWucOOvz1WFx,2019-05-17T17:38:06Z,Genius,2018-05-03,213040,20,Sia,5WUlDfRSoLAfcVSX1WnrxN,11989187,89,"australian dance,australian pop,dance pop,pop",0.622,0.621,11,-4.924,0,0.129,0.0864,9.8e-05,0.121,0.567,158.946,4
