track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
MOOD 4 EVA,7oqftogUN82Q7VNy2TmTJW,2019-07-19T15:05:01Z,The Lion King: The Gift,2019-07-19,272068,67,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19363719,90,"dance pop,pop,r&b",0.608,0.7090000000000001,7,-6.175,1,0.374,0.11900000000000001,0.0,0.337,0.7090000000000001,105.742,4
Acid Dreams,3XEdqQtGHAM5huMrs3RaKN,2019-07-19T15:05:01Z,Acid Dreams,2019-07-19,183930,51,MAX,1bqxdqvUtPWZri43cKHac8,310569,77,"dance pop,indie poptimism,pop,post-teen pop,viral pop",0.8170000000000001,0.509,0,-4.17,1,0.0839,0.146,2.5300000000000002e-05,0.111,0.77,99.988,4
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,2019-07-19T15:05:01Z,7 EP,2019-06-21,157066,70,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,624391,93,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,4
Find U Again (feat. Camila Cabello),5Uw7Dut2lZfexn3Y09swpf,2019-07-19T15:05:01Z,Late Night Feelings,2019-06-21,176416,68,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,607877,85,"dance pop,pop,post-teen pop,tropical house",0.605,0.664,8,-7.162000000000001,1,0.0316,0.00548,3e-06,0.204,0.16399999999999998,103.99700000000001,4
Baby I Know,4JJqbtQagIxuemSxtPyMpk,2019-07-19T15:05:01Z,Baby I Know,2019-07-12,202520,48,Sam DeRosa,4xOi6SOP1jUoAeSfuPsfx0,912,44,,0.745,0.767,0,-4.643,0,0.0729,0.27,0.0,0.0778,0.767,105.95100000000001,4
Lying (feat. Lil Tjay),6x8V3kUNlhVbwRbVP0QeSS,2019-07-19T15:05:01Z,Lying (feat. Lil Tjay),2019-07-19,203675,55,PRETTYMUCH,5Y8eJDj37KhaEeqbVO7Ag1,578820,73,"boy band,dance pop,pop,post-teen pop",0.594,0.75,11,-3.693,0,0.0625,0.00367,0.0,0.166,0.32799999999999996,142.023,4
"SPIRIT - From Disney's ""The Lion King""",6ucmgsair6pvRYfwgvI6e0,2019-07-19T15:05:01Z,The Lion King: The Gift,2019-07-19,277030,54,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19363719,90,"dance pop,pop,r&b",0.23800000000000002,0.435,5,-8.096,1,0.0497,0.009559999999999999,0.0,0.0981,0.0447,78.797,4
HOT,0Dn5VLtkHjX8en1RKIuQY3,2019-07-19T15:05:01Z,HOT,2019-07-17,179452,49,kenzie,5pWUVnrc1y0FpWZ6VCy0Hg,361063,56,teen pop,0.48200000000000004,0.483,0,-6.824,0,0.415,0.428,0.0,0.111,0.261,169.229,4
Hurt Me Now,0Gdvqb0cq9XB4lByklezBm,2019-07-19T15:05:01Z,Hurt Me Now,2019-07-19,185766,39,Quinn Lewis,5n69lhq7BLWqnSjJgNPRh4,4361,47,,0.5589999999999999,0.465,11,-7.712999999999999,1,0.215,0.732,0.0,0.10400000000000001,0.308,89.12899999999999,4
Señorita,0TK2YIli7K1leLovkQiNik,2019-07-19T15:05:01Z,Señorita,2019-06-21,190960,100,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,18264184,95,"canadian pop,dance pop,pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037000000000000005,0.0,0.0945,0.75,116.947,4
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,2019-07-19T15:05:01Z,Indigo,2019-06-28,260640,78,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,9032775,93,"dance pop,pop,pop rap,r&b,rap",0.698,0.45399999999999996,1,-6.756,0,0.151,0.12300000000000001,0.0,0.155,0.13699999999999998,92.932,4
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,2019-07-19T15:05:01Z,No.6 Collaborations Project,2019-07-12,197866,82,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,47619906,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,4
Sucker,22vgEDb5hykfaTwLuskFGD,2019-07-19T15:05:01Z,Happiness Begins,2019-06-07,181026,80,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2603929,89,"boy band,dance pop,pop,post-teen pop",0.8420000000000001,0.7340000000000001,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.9520000000000001,137.958,4
