track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Old Town Road - Remix,6jmZlyf9DxcIoRrjw02YXm,2019-07-12T18:14:28Z,Old Town Road (Remix),2019-07-12,171293,66,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,581620,94,country rap,0.8909999999999999,0.503,6,-5.777,1,0.226,0.0576,0.0,0.0763,0.674,136.009,4
DOLLAR,4ziiAuFyXiY1HNSLGM1xv8,2019-07-12T18:14:28Z,DOLLAR,2019-07-10,203486,59,Becky G,4obzFoKoKRHIphyHzJ35G3,5413805,85,"latin viral pop,pop,reggaeton",0.862,0.5,2,-6.875,1,0.276,0.23199999999999998,0.0,0.657,0.6970000000000001,76.992,4
Pieces of Us (feat. King Princess),0fQf209axFXyMsV5pAhfzf,2019-07-12T18:14:28Z,Late Night Feelings,2019-06-21,206400,63,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,600353,86,"dance pop,pop,tropical house",0.5710000000000001,0.747,0,-8.708,0,0.068,0.153,0.0,0.18600000000000003,0.35,101.97200000000001,4
Miss Me More - Summer Mix,3ECMpJCiC78O0w5gpmTVVk,2019-07-12T18:14:28Z,Miss Me More (Summer Mix),2019-06-21,185321,59,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,650147,79,"contemporary country,country,indonesian jazz,pop,post-teen pop",0.66,0.763,2,-4.008,1,0.0546,0.0158,0.0,0.0933,0.585,99.04299999999999,4
Falling like the Stars - Madism Remix,0iHO8dmXhSYCgfow7ckt9W,2019-07-12T18:14:28Z,Falling like the Stars (Madism Remix),2019-05-24,181826,61,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4221433,86,"dance pop,pop,post-teen pop,talent show",0.5670000000000001,0.444,6,-9.47,1,0.0396,0.643,0.0,0.17600000000000002,0.295,119.84899999999999,4
Heartbeat (BTS World Original Soundtrack),5EgYDyMDCi8X0zDydTF7Rb,2019-07-12T18:14:28Z,BTS WORLD (Original Soundtrack),2019-06-28,253303,78,BTS,3Nrfpe0tUJi4K4DXYWgMUX,12098879,95,"k-pop,k-pop boy group",0.43700000000000006,0.716,5,-4.306,1,0.05,0.39,0.0,0.20800000000000002,0.307,170.09400000000002,4
"Hurt Me - From ""Songland""",1zHmzN75pKHflokUGZh7sA,2019-07-12T18:14:28Z,"Hurt Me (From ""Songland"")",2019-06-25,197686,64,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,7593060,82,"dance pop,hip pop,pop,post-teen pop,r&b",0.873,0.6509999999999999,11,-5.937,0,0.0759,0.21899999999999997,0.0,0.27,0.675,113.001,4
Colder When It Rains,0BezB2NH80dqPizOqw8I7S,2019-07-12T18:14:28Z,Colder When It Rains,2019-05-03,174101,52,X Lovers,1Hr5Adjkxh6ihfsoahOY38,2979,53,la pop,0.7090000000000001,0.6509999999999999,5,-4.762,1,0.0442,0.203,0.0,0.127,0.589,84.932,4
Assassin,1VYruNWR6k3fKQL5LXtIIK,2019-07-12T18:14:28Z,Assassin,2019-04-19,189340,53,Au/Ra,1eMmoIprPDWeFdB1FxU6ZV,72815,73,deep pop edm,0.49,0.644,10,-9.074,0,0.349,0.0631,2.87e-06,0.384,0.409,193.99,4
"maybe, i'm afraid",4LU5CO0wa6WryKRadMqFZf,2019-07-12T18:14:28Z,finding it hard to smile,2018-08-03,188734,59,lovelytheband,4KJ6jujcNPzOyhdNoiNftp,151184,69,"indie poptimism,modern rock",0.27899999999999997,0.6970000000000001,11,-8.355,1,0.0411,0.0645,0.0,0.431,0.244,70.554,4
Sorry,4uWhQe1esaHFTFu38wFHkc,2019-07-12T18:14:28Z,Sorry,2019-05-31,169240,45,Cris Cab,7vWBZm3sQ8yQvfV4nXxHXK,63980,53,indie pop rap,0.7829999999999999,0.831,11,-4.423,0,0.26899999999999996,0.147,0.0,0.0669,0.856,98.01,4
Power is Power (feat. The Weeknd & Travis Scott),4cbdPT6uaBOgOQe3fLMofl,2019-07-12T18:14:28Z,For The Throne (Music Inspired by the HBO Series Game of Thrones),2019-04-26,211266,78,SZA,7tYKF4w9nC0nq9CsPZTHyP,2668323,85,"hip hop,pop,pop rap,r&b,rap",0.507,0.644,4,-7.485,1,0.0641,0.00413,0.0,0.217,0.172,179.91299999999998,4
NIKES,20kzkNm5JLq6Yv1rGPVjtq,2019-07-12T18:14:28Z,BASED ON A TRUE STORY.,2019-03-29,214300,41,Jake Miller,3gggmBN0erstm3YJvEGe3t,227234,61,"indie pop rap,pop,pop rap,post-teen pop,teen pop",0.716,0.754,7,-6.8260000000000005,0,0.0346,0.174,0.0,0.442,0.69,120.001,4
