track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,2019-06-28T21:41:24Z,Stay (Don't Go Away) [feat. Raye],2019-05-09,185942,80,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19139533,91,"dance pop,edm,pop",0.669,0.797,9,-5.68,0,0.0624,0.259,0.0,0.19899999999999998,0.552,119.865,4
Nightmare,340UVheS8z3ncW9TTUhAbc,2019-06-28T21:41:24Z,Nightmare,2019-05-17,231998,86,Halsey,26VFTg2z8YR0cCuwLzESi2,6765805,92,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop",0.611,0.622,9,-5.075,0,0.0734,0.0188,0.0,0.359,0.5379999999999999,146.11,4
La La Land (feat. YG) - ARKADI Remix,6tNFS5rpeI1V2mFhQNjndf,2019-06-28T21:41:24Z,La La Land (feat. YG) [ARKADI Remix],2019-05-24,172849,49,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,178184,77,"indie pop rap,pop,pop rap",0.715,0.65,11,-3.5780000000000003,1,0.0762,0.0313,0.0,0.223,0.9259999999999999,100.00200000000001,4
Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,2019-06-28T21:41:24Z,Cross Me (feat. Chance the Rapper & PnB Rock),2019-05-24,206186,92,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,46701756,98,"pop,uk pop",0.746,0.787,4,-6.372999999999999,1,0.12,0.214,0.0,0.0669,0.607,95.005,4
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-06-28T21:41:24Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,99,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,9973706,99,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,4
Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,2019-06-28T21:41:24Z,x (Wembley Edition),2013,281560,65,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,46701756,98,"pop,uk pop",0.7809999999999999,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,4
Flames,33IOhptvC2Qoy2UhjiHXLV,2019-06-28T21:41:24Z,Flames,2018-03-22,195000,78,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19139533,91,"dance pop,edm,pop",0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.36200000000000004,93.958,4
Let Me Down Slowly (feat. Alessia Cara),1roCmBlcpV7LzsmB7pmCyt,2019-06-28T21:41:24Z,Let Me Down Slowly (feat. Alessia Cara),2019-01-07,169174,71,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,655866,82,pop,0.655,0.569,1,-5.018,0,0.0349,0.716,7.400000000000001e-06,0.135,0.44,150.267,4
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,2019-06-28T21:41:24Z,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",2019-02-28,158027,84,benny blanco,5CiGnKThu5ctn9pBxv7DGa,292713,83,"dance pop,pop,post-teen pop,tropical house",0.541,0.46799999999999997,10,-4.039,0,0.36200000000000004,0.40399999999999997,3.65e-06,0.358,0.69,95.266,4
This Feeling (feat. Kelsea Ballerini),15kQGEy89K8deJcZVFEn0N,2019-06-28T21:41:24Z,Sick Boy...This Feeling,2018-09-18,199226,30,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12837531,92,"edm,electropop,pop,tropical house",0.575,0.5710000000000001,1,-7.906000000000001,1,0.0439,0.0558,0.0,0.0912,0.449,105.04899999999999,4
Bad Liar,2RSHsoi04658QL5xgQVov3,2019-06-28T21:41:24Z,Origins (Deluxe),2018-11-09,260773,86,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,20027744,93,"modern rock,rock",0.38299999999999995,0.637,3,-6.992999999999999,1,0.0703,0.0722,0.0,0.368,0.0827,177.91299999999998,4
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,2019-06-28T21:41:24Z,MIA (feat. Drake),2018-10-11,210367,87,Bad Bunny,4q3ewBCX7sLwd24euuV69X,13492099,98,"reggaeton,trap latino",0.8170000000000001,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.06200000000001,4
