track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
If I Ruled the World (Imagine That) (feat. Lauryn Hill),5PQmSHzWnlgG4EBuIqjac2,2019-08-13T11:59:29Z,It Was Written,1996-07-02,282373,67,Nas,20qISvAhX20dpIbOOzGK3q,1643178,77,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap",0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.90799999999999,4
Dilemma (feat. Kelly Rowland),4dT9hufVCCRrv3qW3RR3mj,2019-08-13T11:59:29Z,Simply Deep,2003-02-03,289693,43,Nelly,2gBjLmx6zQnFGQJCAQpRgw,1309001,78,"dance pop,hip hop,pop,pop rap,rap,southern hip hop",0.7340000000000001,0.521,2,-9.385,0,0.18899999999999997,0.183,7.68e-06,0.16899999999999998,0.61,168.113,4
Crossroads,3c1ZilLxbOxUYPVe8bawav,2019-08-13T11:59:29Z,Hip Hop Story: Tha Movie (Soundtrack),2010-03-23,223480,42,Bone Thugs-N-Harmony,5spEJXLwD1sKUdC2bnOHPg,1190551,69,"gangster rap,hip hop,pop rap,rap,southern hip hop",0.654,0.6729999999999999,4,-2.9530000000000003,1,0.0412,0.0988,0.0,0.363,0.431,144.281,4
What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,2019-08-13T11:59:29Z,Jealous Ones Still Envy (J.O.S.E),2001-12-04,267093,71,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,645716,72,"dance pop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,rap,trap music",0.835,0.7070000000000001,8,-5.074,1,0.0598,0.0219,2.1899999999999997e-05,0.10800000000000001,0.919,93.955,4
Revolution,4xm2HjtDAdCobewPoaImT7,2019-08-13T11:59:29Z,The Nu Nation Project,1998-10-22,337893,47,Kirk Franklin,4akybxRTGHJZ1DXjLhJ1qu,585099,67,"gospel,gospel r&b",0.816,0.7809999999999999,2,-5.112,1,0.0752,0.0719,0.0040100000000000005,0.0771,0.6940000000000001,103.005,4
Girlfriend,5TxdQaqp2Xn9IBTlfq26l7,2019-08-13T11:59:29Z,Celebrity,2001-07-24,253600,51,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,1037962,74,"boy band,dance pop,europop,pop",0.745,0.807,0,-5.191,0,0.0884,0.0887,1.49e-05,0.0283,0.858,93.96700000000001,4
You Rock My World,1Lhwn4PqeGpM4LTVUowW76,2019-08-13T11:59:29Z,Invincible,2001-10-29,337733,61,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,11404604,85,pop,0.8540000000000001,0.6729999999999999,4,-3.1319999999999997,0,0.185,0.038,0.000227,0.255,0.955,95.0,4
Señorita,0aj2QKJvz6CePykmlTApiD,2019-08-13T11:59:29Z,Justified,2002-11-04,294866,65,Justin Timberlake,31TPClRtHm23RisEBtV3X7,8188943,83,"dance pop,pop",0.841,0.629,1,-5.351,1,0.0442,0.0729,0.0,0.0742,0.87,97.963,4
Fill Me In,0UzsDmdpw0Q14KU4hieQss,2019-08-13T11:59:29Z,Born to Do It,2001,257200,54,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,488986,72,"british soul,dance pop,pop,tropical house,uk pop,urban contemporary",0.6829999999999999,0.748,8,-6.981,1,0.0366,0.373,0.00881,0.06,0.828,132.486,4
Goodies,3dFwpxh2yH7C7p9BGEKLVB,2019-08-13T11:59:29Z,Goodies,2004-09-24,223000,62,Ciara,2NdeV5rLm47xAvogXrYhJX,3917345,75,"dance pop,hip pop,pop,pop rap,post-teen pop,r&b,urban contemporary",0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.01700000000001,4
