track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Imposible,3ao3OVxHlb3C08vAaApUlm,2019-07-12T08:01:22Z,Imposible,2018-10-19,163880,74,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,6694075,83,"latin,latin pop,pop,tropical",0.7859999999999999,0.764,11,-2.935,1,0.0798,0.122,0.0,0.102,0.9129999999999999,90.979,4
AY LULI,11TPdeZCNYCFU4Nwq56bYj,2019-07-19T06:32:55Z,AY LULI,2019-07-19,189470,63,Cauty,2QUvtLq6oQaX0LNsYY2fas,43267,68,reggaeton flow,0.59,0.78,10,-2.8739999999999997,0,0.23800000000000002,0.0946,0.0103,0.0335,0.8170000000000001,167.937,4
Que Le De,08aYFNUTIOMGq93e2VSArQ,2019-07-12T08:01:22Z,Que Le De,2019-01-25,225600,78,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,167129,82,reggaeton flow,0.77,0.75,0,-2.715,1,0.0785,0.19,0.0,0.0618,0.609,99.99700000000001,4
Te Sale,61PohFNZfNQA1bzMoV137g,2019-07-12T08:01:22Z,Te Sale,2019-06-21,180009,51,Lennis Rodriguez,4Rzu63KnqMsThOdfkrJk1Z,2273,44,,0.875,0.6859999999999999,4,-5.546,0,0.152,0.0172,0.00195,0.0759,0.311,97.023,4
No Te Veo - Remix,0stKSegkdrfLTDvm5sIO38,2019-07-12T08:01:22Z,No Te Veo,2019-04-30,252440,78,Casper Magico,1fux65HMCBvfJHqlBc4Nno,407722,78,"latin,reggaeton flow,tropical",0.861,0.7859999999999999,1,-3.833,1,0.22899999999999998,0.485,2.44e-05,0.113,0.778,104.01700000000001,4
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-07-12T08:01:22Z,11:11,2019-05-17,175733,89,Maluma,1r4hJ1h58CWwUQe3MxPuau,16389702,92,reggaeton,0.777,0.7120000000000001,10,-4.84,1,0.27699999999999997,0.217,0.0,0.091,0.68,95.69200000000001,4
Esclavo de Tus Besos,3g4UyIcQwutiG0TfW32GnX,2019-07-12T08:01:22Z,Esclavo de Tus Besos,2019-02-15,219302,80,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,4184385,87,"colombian pop,latin,reggaeton",0.805,0.6709999999999999,5,-5.316,1,0.111,0.113,0.0,0.278,0.522,90.979,4
Musa,18k3SJWKiSC9tzvcZjKEAI,2019-07-12T08:01:22Z,Musa,2019-04-19,209406,48,Diego A.,2FOYDsxTpyLLc8N9ECgPMn,251,39,electro bailando,0.728,0.866,9,-5.6579999999999995,0,0.0566,0.145,0.0,0.0845,0.524,94.031,4
Controla,4AKWHLChPxYdXAB2cHmZB7,2019-07-12T08:01:22Z,Controla,2019-02-15,208000,72,Brytiago,00XhexlJEXQstHimpZN910,1705881,85,"latin,reggaeton flow,trap latino,tropical",0.758,0.6990000000000001,6,-5.636,1,0.171,0.504,0.0,0.0922,0.594,90.01299999999999,4
Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,2019-07-12T08:01:22Z,Reggaeton,2018-11-17,158800,78,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,15186613,98,"latin,reggaeton",0.747,0.74,4,-4.325,0,0.191,0.0165,9.940000000000002e-05,0.10099999999999999,0.552,176.05900000000003,4
