track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,2019-08-23T08:58:17Z,Adicto (with Anuel AA & Ozuna),2019-08-22,270740,68,Tainy,0GM7qgcRCORpGnfcN2tCiB,33600,85,pop reggaeton,0.74,0.8270000000000001,10,-4.856,0,0.0738,0.0222,1.5399999999999998e-05,0.21100000000000002,0.591,79.999,4
Volver Al Pasado,3rZzQjqfIQi0pJeVwXngKO,2019-08-23T08:58:17Z,Volver Al Pasado,2019-08-23,204568,34,D'Markuz,07QESImfxfUZRhSxsPAnEv,50141,44,reggaeton flow,0.764,0.65,6,-4.388999999999999,1,0.0722,0.44299999999999995,0.000293,0.306,0.685,96.90299999999999,4
Tu Resuelve,6GRYWHRSSBCFakwdKSsYOj,2019-08-23T18:57:04Z,Tu Resuelve,2019-08-22,208326,12,JVO the Writer,5ryyGdvpWzy1vrOmiuC2jv,1751,46,,0.657,0.79,8,-6.119,1,0.0604,0.0159,0.0,0.679,0.961,174.011,4
Controla,4AKWHLChPxYdXAB2cHmZB7,2019-08-23T08:58:17Z,Controla,2019-02-15,208000,72,Brytiago,00XhexlJEXQstHimpZN910,1740315,85,"latin,reggaeton flow,trap latino,tropical",0.758,0.6990000000000001,6,-5.636,1,0.171,0.504,0.0,0.0922,0.594,90.01299999999999,4
Mi Gente,7COfe3P7KgfwDwIRB8LIDw,2019-08-23T08:58:17Z,Vibras,2018-05-25,185040,74,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,15358587,99,"latin,reggaeton",0.5479999999999999,0.7040000000000001,11,-4.838,0,0.0777,0.0168,2.25e-05,0.14300000000000002,0.28800000000000003,104.666,4
Cristina,1Kjer1JoWuJGNwGV6Pbgv1,2019-08-23T08:58:17Z,Cristina,2019-03-22,202040,75,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,8281671,89,colombian pop,0.649,0.502,5,-4.368,1,0.0437,0.28600000000000003,0.0,0.166,0.695,87.0,3
Sin Pijama,2ijef6ni2amuunRoKTlgww,2019-08-23T08:58:17Z,Sin Pijama,2018-04-20,188560,79,Becky G,4obzFoKoKRHIphyHzJ35G3,5823002,86,"latin viral pop,pop,rap latina,reggaeton",0.7909999999999999,0.745,11,-3.695,0,0.0464,0.354,2.9299999999999997e-05,0.10400000000000001,0.82,94.014,4
Mayores,7JNh1cfm0eXjqFVOzKLyau,2019-08-23T08:58:17Z,Mayores,2017-07-14,202453,74,Becky G,4obzFoKoKRHIphyHzJ35G3,5823002,86,"latin viral pop,pop,rap latina,reggaeton",0.743,0.855,5,-3.9760000000000004,0,0.0436,0.141,0.0045,0.099,0.871,96.98899999999999,4
X,39N9RPD9MRb5WmoLzNzPeA,2019-08-23T08:58:17Z,X,2018-03-02,173627,78,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9744597,94,"latin,latin hip hop,pop,reggaeton,tropical",0.595,0.773,9,-4.736000000000001,0,0.0549,0.0364,0.00108,0.33399999999999996,0.711,180.07299999999998,4
Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,2019-08-23T08:58:17Z,Ella Quiere Beber (Remix),2018-11-02,219357,82,Anuel AA,2R21vXR83lH98kGeO99Y66,7586921,96,"reggaeton flow,trap latino",0.75,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.6970000000000001,95.23899999999999,4
