track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Lo Siento,4oNJqesQdLjTa0Rapi4o0C,2019-08-02T04:06:44Z,Lo Siento,2019-08-02,184773,36,Tres Dedos,4U7l68MAeVO9CLljg04lrF,5891,52,"ecuadorian pop,pop reggaeton",0.688,0.77,2,-4.001,1,0.124,0.0561,0.000125,0.129,0.736,171.702,4
Si Se Da - Remix,6K5BsR04ijf3FHNzjbaagD,2019-08-02T04:18:20Z,Si Se da Remix,2019-08-02,332240,60,Myke Towers,7iK8PXO48WeuP03g8YR51W,327180,85,"reggaeton flow,trap latino",0.8170000000000001,0.672,11,-5.612,0,0.299,0.441,0.0,0.13,0.774,93.999,4
Atrévete,3KekO5WUfJsh7kYU9o2w50,2019-08-02T04:22:14Z,Atrévete,2019-08-02,198320,61,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9627225,93,"latin,latin hip hop,pop,reggaeton,tropical",0.552,0.675,11,-3.824,1,0.297,0.311,0.0,0.11900000000000001,0.586,183.785,4
Si Se da (Remix),3DDQ4FyqVt36agW4awEPDa,2019-08-02T04:17:45Z,Si Se da (Remix),2019-07-28,330188,32,Myke Towners,21NQpCSISoQgZaVKx3awXH,23,22,,0.752,0.794,11,-6.01,0,0.335,0.381,0.0,0.156,0.752,94.096,4
DM - Remix,2lN6wgCrKGqvQ61drg3m34,2019-08-02T04:13:28Z,DM (Remix),2019-08-02,254610,44,The Rudeboyz,7ciBW1p3KBsYIkFk4UmwS8,7696,64,"reggaeton flow,trap brasileiro",0.8290000000000001,0.727,10,-3.9619999999999997,0,0.0835,0.40299999999999997,0.00013700000000000002,0.165,0.774,96.055,4
Oye Bebe,09sL1qvnWmB95C3WM3PQfB,2019-08-02T04:26:57Z,Oye Bebe,2019-08-02,185148,29,Izone,5lrjs4nKQfUVqkyrf6mhdT,925,42,reggaeton chileno,0.738,0.39,1,-13.067,1,0.49,0.34299999999999997,3.98e-05,0.0838,0.302,96.09700000000001,4
Amiga Loca 2,16WUSkRDxQjTOkT9PGgggB,2019-08-02T04:10:15Z,Amiga Loca 2,2019-08-02,208000,32,Thomaz,0oJmDwK2QxYDXfkdlTvc4C,229,44,,0.847,0.6459999999999999,0,-7.194,1,0.27899999999999997,0.46,0.0,0.0861,0.747,102.0,4
Me Vuelvo Loco,0KmeVVL1SHlPIiHWtOD34X,2019-08-03T02:42:09Z,Me Vuelvo Loco,2019-08-02,200980,56,Abraham Mateo,2bxxlINUlcMQQb39K7IopR,765759,66,"latin arena pop,latin pop,latin viral pop,spanish pop",0.696,0.8590000000000001,1,-2.9989999999999997,1,0.0408,0.159,0.0,0.0583,0.654,92.04799999999999,4
Desquita',1s56IL7dCwsVuZqyDHEnvn,2019-08-02T04:31:53Z,Desquita',2019-08-01,228530,19,"Sebastyle, Maigza & Area3",3vGICwzDIVJoXHgPEL7eA8,0,10,,0.828,0.5670000000000001,7,-8.477,1,0.0936,0.312,1.46e-06,0.526,0.457,94.00299999999999,4
Karma,0fH19JgRq24kYs8BeW5OaM,2019-08-02T03:47:36Z,Karma,2019-07-31,175146,41,Mozart La Para,0odliLZMTk45CEVzF3Zocl,192423,63,"dembow,dominican pop,rap dominicano,reggaeton flow",0.866,0.525,3,-7.122999999999999,1,0.105,0.158,1.4300000000000002e-05,0.0942,0.5870000000000001,89.99700000000001,4
