track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Obsessed - Tiësto Remix,4918TwZfPrxk8vKhuaqIiq,2019-05-24T11:15:20Z,Obsessed (Tiësto Remix),2019-05-24,260786,0,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,76796,77,edm,0.62,0.9440000000000001,11,-3.18,0,0.0451,0.000743,0.00263,0.0481,0.375,127.994,4
SOS - Laidback Luke Tribute Remix / Radio Edit,3eLdNmnRWr9gIyBcqTSSti,2019-05-24T11:15:20Z,SOS (Laidback Luke Tribute Remix),2019-05-17,164516,57,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13378165,90,"big room,edm,pop",0.5720000000000001,0.915,5,-4.4510000000000005,0,0.0625,0.0111,0.0,0.33899999999999997,0.6779999999999999,123.919,4
Kills You Slowly - MOTi Remix,64KOyvShvxxrsBQ0DlZvap,2019-05-24T11:15:20Z,Kills You Slowly - The Remixes,2019-04-12,219040,0,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12218410,90,"electropop,pop,tropical house",0.685,0.773,1,-5.035,0,0.105,0.00396,0.0,0.36,0.184,125.99799999999999,4
Due West - Skrillex Remix,1bLz3Mcy1pf1W04KZBWrHk,2019-05-24T11:15:20Z,Due West (Skrillex Remix),2019-05-24,279240,0,Kelsey Lu,0fEfMW5bypHZ0A8eLnhwj5,29058,55,"alternative r&b,art pop,escape room,indie r&b",0.713,0.639,9,-8.404,1,0.0448,0.17,0.00198,0.35200000000000004,0.0394,103.986,4
i'm so tired... - MNEK remix,3vxt76P5lIYPUlGs4nD4dc,2019-05-24T11:15:20Z,i'm so tired... (MNEK remix),2019-02-28,200000,57,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1242626,88,"dance pop,pop,post-teen pop",0.635,0.87,0,-9.198,1,0.0476,0.16,0.000768,0.165,0.146,108.98899999999999,4
Giant (with Rag'n'Bone Man) - Audien Remix,43IWqSUbgHujwQ6YFGVPth,2019-05-24T11:15:20Z,Giant (with Rag'n'Bone Man) [Remixes],2019-03-08,213333,63,Calvin Harris,7CajNmpbOovFoOoasH2HaY,16687378,90,"edm,electro house,house,pop,progressive house,uk dance",0.698,0.792,1,-3.583,0,0.0418,0.0296,3.9e-05,0.0925,0.33299999999999996,125.976,4
Someone You Loved - Madism Radio Mix,1FaMsrYFdk914HDLQar1tz,2019-05-24T11:15:20Z,Someone You Loved (Madism Radio Mix),2019-02-15,157171,65,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,532298,87,"pop,uk pop",0.713,0.638,1,-4.666,1,0.0424,0.519,0.0,0.184,0.365,119.84200000000001,4
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,0byab45cmZntz74RxcASrf,2019-05-24T11:15:20Z,Close To Me (Remixes),2019-02-01,223533,53,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6483531,86,"dance pop,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.733,0.8390000000000001,1,-2.84,0,0.0335,0.0145,0.00018700000000000002,0.162,0.47100000000000003,126.009,4
High Hopes - White Panda Remix,1wR8ATQr0sxSfp6jGJ5Oe6,2019-05-24T11:15:20Z,High Hopes (White Panda Remix),2018-09-28,176343,58,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,6915998,88,"emo,modern rock,pop punk",0.569,0.745,5,-6.081,1,0.20800000000000002,0.135,0.0,0.462,0.711,171.88,4
Body 2 Body - Club Mix,2Xx07KBJuIzXIVd7B4cvAB,2019-05-24T11:15:20Z,Body 2 Body (Club Mix & Rub Dub),2019-05-24,201891,0,MK,1yqxFtPHKcGcv6SXZNdyT9,131701,72,"deep groove house,house,pop,tropical house",0.718,0.8009999999999999,9,-5.0680000000000005,0,0.0394,0.0258,0.00015900000000000002,0.135,0.519,121.999,4
Shine - Shaan Remix,3ZPUPjZ0nOQsDCcap4e8Bx,2019-05-24T11:15:20Z,Shine (Shaan Remix),2019-05-24,214218,0,Brother Leo,4FEOZMbo7XIdGHVrrioAP6,982,53,,0.326,0.912,7,-3.3480000000000003,0,0.0738,0.0048200000000000005,0.000234,0.25,0.0381,191.938,3
Fire In My Soul (feat. Shungudzo) - Tom Staar Remix,3VHCuPFZ9JA1kopIlNLDdz,2019-05-24T11:15:20Z,Fire In My Soul (Remixes) (feat. Shungudzo),2019-02-01,177270,45,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,729298,74,"big room,dance pop,deep big room,edm,electro house,future house,house,progressive electro house,progressive house,tropical house",0.552,0.978,6,-4.398,0,0.0519,0.0012900000000000001,0.102,0.23399999999999999,0.308,125.993,4
Infinity 2018 - Klaas Remix Edit,5gyAm7BgB0d0I4RPK1zcn2,2019-05-24T11:15:20Z,Infinity 2018 (Klaas Remix Edit),2018-07-06,195280,51,Sean Finn,5xUacP1mVGfiY7Zr9RskmS,18093,53,"german dance,pop house",0.517,0.924,10,-4.063,1,0.0975,0.00403,0.307,0.369,0.498,128.127,4
Strongest (Alan Walker Remix),2r9hCNjupNy2C2g3r6SNz6,2019-05-24T11:15:20Z,Strongest (Alan Walker Remix),2017-12-01,210285,68,Ina Wroldsen,7hssUdpvtY5oiARaUDgFZ3,61396,75,"norwegian pop,tropical house",0.722,0.787,0,-4.013,1,0.0734,0.0785,6.46e-06,0.124,0.852,92.022,4
What About Us - Cash Cash Remix,5Xt5iEbljmwJW51LMTQ6Nx,2019-05-24T11:15:20Z,What About Us (The Remixes),2017-09-15,233902,60,P!nk,1KCSPY1glIKqW2TotWuXOR,6361285,88,"dance pop,pop,post-teen pop,r&b",0.595,0.797,8,-2.565,1,0.0466,0.0509,4.92e-06,0.10400000000000001,0.221,122.801,4
Call on Me - Ryan Riback Remix,56RVUAFH9NF8zhTZ5A9KVF,2019-05-24T11:15:20Z,Call on Me (Ryan Riback Remix),2017-02-10,222000,49,Starley,02A3cEvlLLCbIMVDrK2GHV,62493,67,aussietronica,0.691,0.821,0,-4.527,1,0.0401,0.136,0.00011499999999999999,0.092,0.759,104.961,4
Jackie Chan - Sebastian Perez Remix,5pT2YfSaNwYsBPbIuBb0PE,2019-05-24T11:15:20Z,"Jackie Chan (Remixes, Vol. 1)",2018-08-31,224640,50,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4343992,82,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.606,0.9129999999999999,3,-5.88,0,0.0745,0.00159,0.0,0.0814,0.75,125.065,4
