track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bounce Back - Riton Remix,6OcQv9j7qZU7LPG40Ak0I9,2019-07-12T12:20:08Z,Bounce Back (Riton Remix),2019-06-13,277710,19,Little Mix,3e7awlrlDSwF3iM0WBjGMp,6102661,85,"dance pop,girl group,pop,post-teen pop,r&b,talent show,uk pop",0.795,0.9309999999999999,2.0,-5.846,1.0,0.0506,0.0287,0.318,0.0419,0.247,121.98299999999999,4.0
Love Me,3z7kj5QyKYtAl0TQHoy8qG,2019-07-12T12:20:08Z,Free / Love Me,2019-07-12,302767,11,Franky Wah,3IG3Ub4ra8AuSxCFDVkVco,1369,40,uk house,0.688,0.5770000000000001,9.0,-5.846,1.0,0.0411,0.00253,0.804,0.0934,0.138,129.985,4.0
Saucin',0nMTutJkZb3vUe0auW3wdf,2019-07-12T12:20:08Z,Saucin',2019-07-12,155196,11,Mad Teeth,07KxUqwqhyhvihC4yfNgpy,49,24,,0.769,0.835,10.0,-6.822,0.0,0.28600000000000003,0.0493,0.0761,0.35200000000000004,0.42100000000000004,127.02600000000001,4.0
Get You The Moon (feat. Snøw) - Other Remix,0H283EBu9RWJY3Zu1UEUUg,2019-07-12T12:20:08Z,Get You The Moon (The Remixes),2019-07-12,173000,18,Kina,4qIVPF0s71ZYW3qzhu5GkF,122055,77,lo-fi beats,0.66,0.877,1.0,-7.2410000000000005,0.0,0.0931,0.21600000000000003,0.000177,0.12300000000000001,0.11599999999999999,119.991,4.0
Now You're Gone (feat. Zara Larsson) - Jerome Price Remix,4tkqoASzsEQw3S23JkTguU,2019-07-12T12:20:08Z,Now You're Gone (feat. Zara Larsson) [Jerome Price Remix],2019-07-10,209040,20,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,440164,79,"indie anthem-folk,pop",0.647,0.9470000000000001,4.0,-4.149,0.0,0.10800000000000001,0.402,0.0005639999999999999,0.0705,0.51,123.991,4.0
Shine - Yves V Remix,1FY6HifnUzfRF1W6cj0yUp,2019-07-12T12:20:08Z,Shine (Yves V Remix),2019-06-14,187000,24,Brother Leo,4FEOZMbo7XIdGHVrrioAP6,1383,52,scandipop,0.718,0.7959999999999999,7.0,-4.521,0.0,0.099,0.214,0.00021,0.155,0.564,126.01700000000001,4.0
Can We Pretend (feat. Cash Cash) - MOTi Remix,6wOGUUk5ys4jDEjUN5Xj1x,2019-07-12T12:20:08Z,Can We Pretend (The Remixes) (feat. Cash Cash),2019-07-12,177532,44,P!nk,1KCSPY1glIKqW2TotWuXOR,6633915,88,"dance pop,pop,post-teen pop",0.677,0.7390000000000001,1.0,-5.8660000000000005,0.0,0.10099999999999999,0.0786,0.0,0.306,0.529,126.07600000000001,4.0
Move Your Body (Elevation) - Krystal Klear Remix,2Qa57ahokxPPZsdUC6Oe6r,2019-07-12T12:20:08Z,Move Your Body (Elevation) [Remixes],2019-06-14,323149,26,Xpansions,2oSihaE9ObkcZVx2LAxySj,1480,41,"hardcore techno,hip house",0.545,0.879,9.0,-8.495,0.0,0.0352,0.154,0.9490000000000001,0.0486,0.305,126.99700000000001,4.0
Obsessed - Tiësto Remix,4918TwZfPrxk8vKhuaqIiq,2019-07-12T12:20:08Z,Obsessed (Tiësto Remix),2019-05-24,260786,62,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,105149,78,edm,0.62,0.9440000000000001,11.0,-3.18,0.0,0.0451,0.000743,0.00263,0.0481,0.375,127.994,4.0
Never Go Back - Robin Schulz Remix,6vRCKJDtnrJEcyyzIMa0w0,2019-07-12T12:20:08Z,Never Go Back (Remixes),2019-06-07,184652,70,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,265104,79,israeli pop,0.655,0.713,9.0,-6.292999999999999,0.0,0.0501,0.33799999999999997,0.0,0.0971,0.61,94.05,4.0
