track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2019-05-17T19:28:23Z,Narrated For You,2018-11-16,169353,91,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,531120,82,pop,0.652,0.557,1,-5.7139999999999995,0,0.0318,0.74,0.0,0.124,0.483,150.07299999999998,4
MONOPOLY (with Victoria Monét),6tsOcBnaKgzK22yEiqRh8P,2019-05-17T19:28:23Z,MONOPOLY,2019-04-01,158586,85,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,29290943,97,"dance pop,pop,post-teen pop",0.892,0.507,0,-8.282,1,0.37799999999999995,0.7040000000000001,3.14e-05,0.109,0.695,143.96,4
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,2019-05-17T19:28:23Z,"thank u, next",2018-11-03,207333,70,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,29290943,97,"dance pop,pop,post-teen pop",0.7240000000000001,0.647,1,-5.642,1,0.0658,0.28,0.0,0.102,0.435,106.96,4
Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,2019-05-17T19:28:23Z,Girls Like You (feat. Cardi B),2018-05-30,235545,84,Maroon 5,04gDigrS5kc9YWfZHwBETP,18025153,89,pop,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.44799999999999995,124.959,4
Be Alright,3EPXxR3ImUwfayaurPi3cm,2019-05-17T19:28:23Z,Be Alright,2018-06-29,196373,88,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,493601,83,"australian pop,pop",0.5529999999999999,0.586,11,-6.319,1,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,4
Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,2019-05-17T19:28:23Z,Dua Lipa (Complete Edition),2018-10-19,189173,83,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,11371092,88,"dance pop,pop,post-teen pop,uk pop",0.6779999999999999,0.7290000000000001,8,-4.188,1,0.13699999999999998,0.0658,0.0,0.303,0.643,99.895,4
I Don’t Even Know You Anymore (feat. Bazzi & Lil Wayne),5pzeevBDvU6GVXqUKoiYDX,2019-05-17T19:28:23Z,I Don’t Even Know You Anymore,2019-02-14,167600,71,Netsky,5TgQ66WuWkoQ2xYxaSTnVP,327029,67,"belgian edm,drum and bass,liquid funk",0.7090000000000001,0.784,9,-3.182,0,0.1,0.23,0.0,0.147,0.584,97.007,4
Better,4T3fNx3CgwDRRYgmFCbD4J,2019-05-17T19:28:23Z,Better,2018-09-14,229412,78,Khalid,6LuN9FCkKOj5PcnpouEgny,6350032,97,pop,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.11599999999999999,97.565,4
Shotgun,4ofwffwvvnbSkrMSCKQDaC,2019-05-17T19:28:23Z,Staying at Tamara's,2018-03-23,201287,84,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2183815,82,"neo-singer-songwriter,pop",0.672,0.735,5,-4.7330000000000005,1,0.0457,0.28600000000000003,0.0,0.242,0.754,115.741,4
Love Someone,2JqnpexlO9dmvjUMCaLCLJ,2019-05-17T19:28:23Z,Love Someone,2018-09-07,205463,81,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,1230725,78,"danish pop,pop,scandipop",0.55,0.415,9,-6.557,0,0.052000000000000005,0.161,0.0,0.10800000000000001,0.27399999999999997,172.065,4
Feelings,1eSGjhgBHh8zhJ44eHtvhP,2019-05-17T19:28:23Z,Feelings,2019-03-06,182726,67,John Newman,34v5MVKeQnIo0CWYMbbrPf,536105,71,pop,0.45299999999999996,0.833,11,-4.248,0,0.068,0.1,0.0,0.0847,0.609,125.535,4
Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,2019-05-17T19:28:23Z,Baila Baila Baila,2019-01-05,158400,90,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,16528349,95,"reggaeton,trap latino",0.816,0.754,11,-2.75,0,0.111,0.0361,0.0,0.217,0.5329999999999999,99.96600000000001,4
Bruises,4Of7rzpRpV1mWRbhp5rAqG,2019-05-17T19:28:23Z,Divinely Uninspired To A Hellish Extent,2019-05-17,220492,61,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,494160,85,"pop,uk pop",0.757,0.312,4,-7.79,1,0.0751,0.946,0.0,0.188,0.33399999999999996,110.794,4
