track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Dance Monkey,421leiR6jKlH5KDdwLYrOs,2019-08-24T09:36:00Z,Dance Monkey,2019-05-10,209754,83,Tones and I,2NjfBq1NflQcKSeiDooVjY,54066,81,australian pop,0.8240000000000001,0.5920000000000001,6,-6.4,0,0.0969,0.693,0.00015800000000000002,0.17800000000000002,0.54,98.074,4
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019-08-24T09:36:00Z,Divinely Uninspired To A Hellish Extent,2019-05-17,182160,90,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,1006833,88,"pop,uk pop",0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,4
Teeth,1JRK7srBWUtAW7dPabKBwJ,2019-08-24T09:36:00Z,Teeth,2019-08-21,204887,72,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,5052946,87,"boy band,dance pop,pop,post-teen pop,uk pop",0.755,0.44799999999999995,3,-2.9930000000000003,0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,4
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,2019-08-24T09:36:00Z,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2019-08-09,199427,83,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,321765,82,"houston rap,pop,trap queen",0.872,0.8140000000000001,0,-4.5680000000000005,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,4
Torn,2GdxQw8NwoeH8tKySg6nym,2019-08-24T09:36:00Z,Torn,2019-08-19,198005,63,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,579782,83,"dance pop,pop,post-teen pop",0.6809999999999999,0.8370000000000001,2,-4.726,0,0.0406,0.102,0.0,0.0969,0.6809999999999999,125.079,4
I Warned Myself,3707IBa4HnS3zDDoWfeUBl,2019-08-24T09:36:00Z,I Warned Myself,2019-08-21,159782,67,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,7549418,83,"dance pop,pop,post-teen pop,uk pop,viral pop",0.488,0.311,10,-11.467,0,0.297,0.562,0.0005480000000000001,0.161,0.579,184.112,4
Only Human,0DiDStADDVh3SvAsoJAFMk,2019-08-24T09:36:00Z,Happiness Begins,2019-06-07,183000,85,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2792350,88,"boy band,dance pop,pop,post-teen pop",0.795,0.496,0,-5.882999999999999,1,0.0722,0.10800000000000001,0.0,0.0645,0.8740000000000001,94.01,4
Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,2019-08-24T09:36:00Z,Adicto (with Anuel AA & Ozuna),2019-08-22,270740,68,Tainy,0GM7qgcRCORpGnfcN2tCiB,33600,85,pop reggaeton,0.74,0.8270000000000001,10,-4.856,0,0.0738,0.0222,1.5399999999999998e-05,0.21100000000000002,0.591,79.999,4
Highway,4rhdtzBmrrDxYi35yQDpzF,2019-08-24T09:36:00Z,Highway,2019-08-23,221320,57,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,1282553,81,"dance pop,edm,electro house,electropop,pop,pop edm,post-teen pop,tropical house,uk pop",0.625,0.573,1,-4.314,0,0.0491,0.0609,0.0,0.27,0.37,95.895,4
Indeciso,59s0s39NFWScuHDbHytI14,2019-08-24T09:36:00Z,Indeciso,2019-08-23,217253,60,Reik,0vR2qb8m9WHeZ5ByCbimq2,3150482,84,"latin,latin arena pop,latin pop,mexican pop,pop,reggaeton",0.738,0.748,0,-4.902,1,0.0453,0.182,0.0,0.11,0.8959999999999999,94.949,4
