track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
The A Team,2vBF8A6n0REigm7RSUM65S,2019-08-24T11:40:23Z,The A Team,2011-05-01,258588,22,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49643037,100,"pop,uk pop",0.626,0.286,9,-9.933,1,0.0374,0.678,0,0.134,0.366,84.954,4
Breathe Me,7jqzZyJJLrpkRFYGpkqSK6,2019-08-24T11:40:23Z,Colour The Small One,2004-01-01,272800,66,Sia,5WUlDfRSoLAfcVSX1WnrxN,13387964,87,"australian dance,australian pop,pop",0.552,0.643,0,-7.36,1,0.0327,0.0364,0.74,0.105,0.212,120.012,4
Skinny Love,1NyFRrFiJAJIaR6icj1goI,2019-08-24T11:40:23Z,"For Emma, Forever Ago",2008-05-12,238532,65,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,2382367,82,"chamber pop,eau claire indie,folk-pop,indie folk,indie pop,melancholia,slow core,stomp and holler",0.592,0.256,4,-14.031,0,0.0449,0.842,2.38e-06,0.088,0.103,76.361,4
Youth,1JDMO4EVPHtm0xXhJb2IjR,2019-08-24T11:40:23Z,The Wild Youth EP,2012-02-29,251626,6,Daughter,46CitWgnWrvF9t70C2p1Me,942603,68,"chamber pop,indie folk,shimmer pop",0.588,0.477,9,-12.71,0,0.0492,0.61,0.00188,0.122,0.488,150.396,4
Let It Go,13HVjjWUZFaWilh2QUJKsP,2019-08-24T11:40:23Z,Chaos And The Calm,2014-12-15,260533,71,James Bay,4EzkuveR9pLvDVFNx6foYD,2446271,80,"neo mellow,pop,uk pop",0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,4
Transatlanticism,3PJikMV2xGNCooQttQrAw5,2019-08-24T11:40:23Z,Transatlanticism,2003-10-15,475093,1,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,1045035,73,"folk-pop,indie folk,indie pop,indie rock,modern rock,pop rock,stomp and holler,washington indie",0.443,0.466,9,-9.209,1,0.0302,0.393,0.647,0.165,0.19,127.493,4
Love Is A Losing Game,4IMBnBRqm9RALmLrRqfMor,2019-08-24T11:40:23Z,Back To Black,2006-01-01,154160,13,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,5809428,79,"british soul,neo soul",0.48,0.561,0,-5.874,1,0.027,0.317,0.00641,0.184,0.541,164.791,4
Wish You Were Here - 2011 Remastered Version,1wHSxWBfPr3GO31y8KGrWe,2019-08-24T11:40:23Z,Wish You Were Here [2011 - Remaster] (2011 Remastered Version),1975-09-12,334743,13,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,10063498,83,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.883,4
Should Have Known Better,5I6y1KWmUoV5YCaIEcs1qs,2019-08-24T11:40:23Z,Carrie & Lowell,2015-03-31,307697,60,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,880421,72,"baroque pop,chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,modern rock,singer-songwriter,stomp and holler",0.571,0.172,7,-20.7,1,0.0318,0.979,0.275,0.124,0.297,90.972,4
Simple Song,70HWRkitkAKfos500LBk0T,2019-08-24T11:40:23Z,The Boy Who Cried Wolf,2017-07-28,228480,60,Passenger,0gadJ2b9A4SKsB1RFkBb66,2270216,76,"neo mellow,pop",0.631,0.402,5,-11.125,1,0.0286,0.616,0.0114,0.0892,0.598,78.0,4
Someone Like You,6QPKYGnAW9QozVz2dSWqRg,2019-08-24T11:40:23Z,21,2011-01-19,285240,76,Adele,4dpARuHxo51G3z768sgnrY,17162486,85,"british soul,pop,uk pop",0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047,4
To Build A Home,54KFQB6N4pn926IUUYZGzK,2019-08-24T11:40:23Z,Ma Fleur,2007-05-07,371320,68,The Cinematic Orchestra,32ogthv0BdaSMPml02X9YB,390149,65,"acid jazz,downtempo,ninja,nu jazz,trip hop",0.264,0.122,9,-15.399,1,0.0349,0.885,0.349,0.094,0.0735,148.658,4
"Welcome Home, Son",13PUJCvdTSCT1dn70tlGdm,2019-08-24T11:40:23Z,Ghost,2007-03-02,285320,13,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,281505,59,"chamber pop,folk-pop,indie folk,indie pop,jacksonville indie,stomp and holler",0.601,0.537,6,-9.464,1,0.0296,0.743,0.732,0.143,0.394,144.994,3
