track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Winter Strokes,1msf6c9MncXujExlc6nns5,2019-07-31T18:08:35Z,Winter Strokes,2018-12-04,194880,25,Bendigo Fletcher,6O8lpJl2nITlA3dJfT95pM,1612,34,roots americana,0.564,0.20800000000000002,6,-14.033,1,0.0491,0.899,0.000229,0.111,0.41,80.02199999999999,4
About You,1MlVHHMk0n2qnaQswM6Gpg,2019-08-04T12:08:14Z,About You,2019-06-28,178964,39,Jay Putty,0XIjLSi3fr8On0Dwq208Lp,2157,33,,0.534,0.504,7,-5.928,1,0.0941,0.588,0.0,0.0901,0.55,204.239,4
Fire,77vmgPYQou4XgynA4Umexa,2019-08-04T12:55:38Z,Fire,2019-07-26,295808,14,Doug Panton,0Qlc8O6a3R4TbdQL3JtENW,175,41,indie anthem-folk,0.546,0.501,8,-5.095,1,0.0251,0.614,7.46e-06,0.252,0.142,95.009,4
"Murder Song (5, 4, 3, 2, 1) - Acoustic",6MM22AtXB7I5gfTErMF0mJ,2019-07-31T18:12:31Z,All My Demons Greeting Me As A Friend (Deluxe),2016-03-11,218666,50,AURORA,1WgXqy2Dd70QQOU7Ay074N,728211,70,"norwegian pop,pop",0.39799999999999996,0.0887,9,-13.683,0,0.0334,0.902,1.76e-06,0.0873,0.35600000000000004,74.791,4
Forest Fires,6AQ3guMjWgetjRpQASwrE5,2019-07-31T18:12:33Z,Forest Fires,2016-01-08,210924,55,Axel Flovent,6jn7W8NuX94FWZyeGlyCaJ,26448,54,"chamber pop,folk-pop,icelandic folk,icelandic indie,indie anthem-folk,indie folk",0.623,0.292,7,-12.26,0,0.0313,0.698,9.86e-06,0.121,0.161,118.007,4
The Night We Met,6mORGLOz79w6VsCRLWYYuK,2019-07-31T18:12:36Z,Strange Trails,2015-04-06,208211,73,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,552174,73,"folk-pop,indie folk,indie pop,new americana,stomp and holler",0.44299999999999995,0.369,9,-9.514,1,0.0441,0.9690000000000001,0.27699999999999997,0.638,0.0989,174.107,3
Say Something,5TvE3pk05pyFIGdSY9j4DJ,2019-07-31T18:13:50Z,Is There Anybody Out There? - Track by Track Commentary,2014-01-13,229400,67,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,344721,69,"neo mellow,piano rock,pop rock",0.40700000000000003,0.147,2,-8.822000000000001,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3
Another Friday Night,3gh9Zn8nAfJyZqZX3pcwzm,2019-07-31T18:12:54Z,Another Friday Night / Hot Heavy Summer / Sister,2018-09-13,276970,45,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,1582739,72,"british singer-songwriter,chamber pop,fingerstyle,folk-pop,indie folk,neo mellow,stomp and holler",0.593,0.318,0,-15.592,0,0.0307,0.873,0.8490000000000001,0.0943,0.115,120.01100000000001,4
Poor Boy / Lucky Man,5vsBCsRlaBxK3LCdq2tvk1,2019-07-31T18:13:19Z,Poor Boy / Lucky Man,2009-04-15,276413,22,Asaf Avidan & the Mojos,2TwepUY7feaTuipStcyzLZ,390929,53,,0.371,0.109,4,-14.539000000000001,0,0.0308,0.363,0.013000000000000001,0.0641,0.0378,142.108,3
For Desire,1JjzjaeF2zY0nf2T2AbFXj,2019-07-31T18:13:44Z,Skin,2016-04-29,189294,33,Carmody,4wdK3zLMWPQK6CD0dpHh8F,10127,52,"british soul,uk alternative pop",0.48100000000000004,0.47600000000000003,9,-9.152999999999999,1,0.29600000000000004,0.5539999999999999,4.55e-06,0.109,0.35,83.134,4
