track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,4gDvg62vG96w0qJaF6wzcd,2019-08-23T22:44:27Z,Diego & Victor Hugo Ao Vivo em Brasília - EP1,2019-03-22,182734,77,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,557675,77,"sertanejo pop,sertanejo universitario",0.542,0.876,6,-3.378,1,0.0972,0.724,0,0.925,0.634,118.777,4
"Para, Pensa e Volta - Ao Vivo",2KyXyTrp3kp1Fsg7B1osYD,2019-08-23T22:44:27Z,Yasmin Santos Ao Vivo em São Paulo - EP 2,2019-06-28,174178,75,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,329645,73,"sertanejo pop,sertanejo universitario",0.611,0.791,2,-3.095,1,0.0436,0.245,0,0.237,0.572,111.928,4
Flor Que Se Cheira,49pu85144Xir6PgWjeyJhG,2019-08-23T22:44:27Z,"Amando, Bebendo e Sofrendo EP 1",2019-03-18,161374,74,Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,7694,66,sertanejo pop,0.68,0.759,2,-5.254,0,0.144,0.637,0,0.556,0.797,117.827,4
Áudio - Ao Vivo em Brasília,4v6SAnzwEr7s2m0gFQnJFJ,2019-08-23T22:44:27Z,Diego & Victor Hugo Ao Vivo em Brasília,2019-07-12,190244,54,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,557675,77,"sertanejo pop,sertanejo universitario",0.605,0.812,11,-4.699,1,0.0403,0.515,0,0.419,0.451,110.081,4
Volta Vai (feat. Simone & Simaria) - Ao Vivo,76A0QqpRJQwn3NCqqlNlqi,2019-08-23T22:44:27Z,Volta Vai (feat. Simone & Simaria) [Ao Vivo],2019-08-02,203494,68,Avine Vinny,4KDxYlnGZEiS60pAnfZf4W,324052,68,"forro,funk carioca,sertanejo pop",0.569,0.908,0,-2.477,0,0.0512,0.0677,0,0.743,0.526,130.142,4
Cara Feio - Ao Vivo,7KqeDL2CLfxSKSxtofrWOI,2019-08-23T22:44:27Z,Cara Feio (Ao Vivo),2019-07-19,164057,70,Fernando & Sorocaba,1oSgjdbgLYULVmEBojPRw8,2131443,71,"pagode,sertanejo,sertanejo pop,sertanejo universitario",0.726,0.881,1,-3.614,0,0.0486,0.377,0,0.35,0.867,120.08,4
Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília,6NgwHmEgfQVIYQBq8QcWMi,2019-08-23T22:44:27Z,Do Copo Eu Vim (feat. Marília Mendonça) [Ao Vivo em Brasília],2019-03-08,144071,72,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,557675,77,"sertanejo pop,sertanejo universitario",0.668,0.884,0,-3.239,1,0.0651,0.663,0,0.45,0.707,116.993,4
Não Planeje Nada,1wWewVITrqZzlbrHnZzqm2,2019-08-23T22:44:27Z,Não Planeje Nada,2019-07-26,177806,62,Marcos & Belutti,0NsJZ5PMjqghGDuMzY7CuT,3006187,68,"pagode,sertanejo,sertanejo pop,sertanejo universitario",0.66,0.778,8,-4.314,1,0.0574,0.348,0,0.723,0.48,147.096,4
Tijolão - Ao Vivo,6QwFUcPc5nhsqZuhXUYtV7,2019-08-23T22:44:27Z,Tijolão (ao Vivo),2019-05-24,175219,81,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,10470124,83,"sertanejo,sertanejo universitario",0.637,0.877,4,-3.68,0,0.198,0.469,0,0.343,0.691,118.889,4
Todo Mundo Vai Sofrer - Ao Vivo,4E6RdcCWMiHTu7zy1VTNDo,2019-08-23T22:44:27Z,"Todos Os Cantos, Vol. 2 (ao Vivo)",2019-05-17,154661,81,Marília Mendonça,1yR65psqiazQpeM79CcGh8,10594333,87,sertanejo,0.621,0.743,3,-3.864,1,0.0738,0.281,0,0.411,0.581,111.454,4
3 Batidas,1uryupl9hqVZYurJwH4G9k,2019-08-23T22:44:27Z,3 Batidas,2019-08-16,157186,60,Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,7694,66,sertanejo pop,0.552,0.709,8,-5.435,1,0.129,0.611,0,0.763,0.528,117.582,4
Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,4pnlRYoaaGu24SuC3et5Pv,2019-08-23T22:44:27Z,Yasmin Santos Ao Vivo em São Paulo - EP 3,2019-08-16,190949,62,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,329645,73,"sertanejo pop,sertanejo universitario",0.716,0.828,11,-4.375,1,0.0727,0.16,0,0.686,0.806,124.895,4
Então Vou Avisar - Ao Vivo,1idjI8gtxgHjy8KyZamY6o,2019-08-23T22:44:27Z,Yasmin Santos Ao Vivo em São Paulo - EP 1,2019-05-17,187801,71,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,329645,73,"sertanejo pop,sertanejo universitario",0.534,0.835,9,-3.477,1,0.0939,0.312,0,0.855,0.433,163.907,4
Joga no Waze,5yzHDb35PuJFm2lz1ywYgX,2019-08-23T22:44:27Z,Joga no Waze,2019-07-12,166759,62,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,1288934,75,"baile pop,brazilian edm,funk carioca,funk das antigas",0.817,0.901,9,-4.503,0,0.108,0.245,0,0.0635,0.678,139.884,4
Sofro Onde Eu Quiser,2Xr33epIjw1fbwOhrng4Pd,2019-08-23T22:44:27Z,Esquenta do DVD,2019-03-18,155661,69,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,329645,73,"sertanejo pop,sertanejo universitario",0.746,0.498,6,-7.237,1,0.0368,0.297,0,0.112,0.691,125.949,4
Posto 24h (feat. Wesley Safadão) - Ao Vivo,3mNmUjoDHYDYj08IaRPtg0,2019-08-23T22:44:27Z,A Origem (Ao Vivo),2018-10-18,153374,74,Lucas Lucco,06cd30Cv9US973Ika84gDw,2026581,71,"funk carioca,sertanejo,sertanejo pop,sertanejo universitario",0.703,0.929,3,-4.021,0,0.0338,0.169,0,0.396,0.626,126.998,4
Maturidade (feat. Matheus & Kauan),3QkKCTSHnJlUag0GG9F1cN,2019-08-23T22:44:27Z,Maturidade (feat. Matheus & Kauan),2018-11-14,194240,69,Avine Vinny,4KDxYlnGZEiS60pAnfZf4W,324052,68,"forro,funk carioca,sertanejo pop",0.604,0.726,7,-8.577,0,0.0494,0.476,0,0.905,0.782,148.007,4
Infarto,0XEJ7eph2IWFYZc73Jm3n2,2019-08-23T22:44:27Z,Querosene e o Violão,2018-11-05,161403,72,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,557675,77,"sertanejo pop,sertanejo universitario",0.613,0.794,10,-4.518,1,0.0347,0.277,0,0.173,0.602,124.743,4
Espelho Meu - Ao Vivo,5vAH9kwRajhfewbqBczqwJ,2019-08-23T22:44:27Z,Espelho Meu (Ao Vivo),2018-10-26,161152,71,Henrique & Diego,1D6vAeVUcgMbSx80IA3Zun,1507661,71,"sertanejo,sertanejo pop,sertanejo universitario",0.521,0.918,6,-3.414,0,0.0867,0.203,0,0.579,0.683,185.995,4
Ah Que Sorte - Ao Vivo,6iTnPxGptXnViVfHoHveSR,2019-08-23T22:44:27Z,Quase Ontem - Parte 1 (Ao Vivo),2019-08-05,184183,54,Bruninho & Davi,5exy2LREZrJ6aRzj1SwXQX,1120968,62,"pagode,sertanejo,sertanejo pop,sertanejo universitario",0.808,0.614,11,-8.988,1,0.0488,0.228,0,0.377,0.756,136.052,4
O Alvo - Ao Vivo,5Vw6ZLNB6Ko7VZM6vmNIbr,2019-08-23T22:44:27Z,O Alvo (Ao Vivo),2017-12-01,164956,65,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,557675,77,"sertanejo pop,sertanejo universitario",0.551,0.808,10,-3.367,1,0.0494,0.543,0,0.742,0.505,126.821,4
