track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Iti Malia,5xvd64mlEppa0ssd7wSsQW,2019-08-07T08:35:21Z,Iti Malia,2019-08-02,155007,47,Enzo Rabelo,7m4l75rnuQbI88PGYVYLkm,189845,61,sertanejo pop,0.8190000000000001,0.79,3,-2.627,1,0.0381,0.34700000000000003,0.0,0.0857,0.7290000000000001,125.103,4
Teste Drive,15jfbpvCxXfwR5eiCnr5L8,2019-08-07T08:35:23Z,Naiara Sunrise,2019-02-28,215797,46,Naiara Azevedo,0jD7VeE1m2SdHbOWeCtB9l,4286779,65,"funk carioca,sertanejo pop,sertanejo universitario",0.831,0.8490000000000001,8,-2.6689999999999996,1,0.0415,0.322,0.0,0.0905,0.664,109.071,4
Cancela a Zona,6cvfKhoa8n3k1U0NZ09frb,2019-08-07T08:35:23Z,Cancela a Zona,2019-07-26,164848,54,Humberto & Ronaldo,1zEo6Fk1iaaOYFlFPBHCFn,777971,61,"sertanejo,sertanejo pop,sertanejo universitario",0.7440000000000001,0.655,11,-3.596,1,0.0344,0.488,0.0,0.249,0.813,98.885,4
Pedaço Meu - Ao Vivo,3pQQwzmxazhfCfXMU9hhou,2019-08-07T08:35:25Z,Pedaço Meu (ao Vivo),2019-07-19,195716,56,Cleber & Cauan,6Y8pfJkEdw4EAST4g9C026,842539,61,"sertanejo,sertanejo pop,sertanejo universitario",0.498,0.823,9,-2.681,1,0.0536,0.5329999999999999,0.0,0.8290000000000001,0.35,103.836,4
Casal Modão - Ao Vivo,1CzywvIGHWkOu5BTLPmIZC,2019-08-07T08:35:26Z,Churrasco do Teló – EP Quintal (ao Vivo),2019-07-26,166662,59,Michel Teló,1sDVuztNhGcetCLChkleDA,1962204,64,"sertanejo,sertanejo pop,sertanejo universitario",0.726,0.8029999999999999,0,-5.595,1,0.0798,0.568,0.0,0.562,0.838,126.14399999999999,4
"Não Te Troquei Por Ela - Ao Vivo Em Sete Lagoas, Brazil / 2019",2r0b4y0fdJabgiULJmrt59,2019-08-07T08:35:28Z,"Origens (Ao Vivo Em Sete Lagoas, Brazil / 2019)",2019-07-26,198591,48,Paula Fernandes,1nca3OA1kKCpP6aPJcBL92,574200,64,"sertanejo,sertanejo universitario",0.636,0.612,2,-9.115,1,0.0459,0.484,0.0,0.9520000000000001,0.489,113.41799999999999,4
Miséra,7wgqNrF37A6Irj23enAbiD,2019-08-07T08:35:29Z,Miséra,2019-06-28,180301,60,Jads & Jadson,3HxTMZ6kZ9OuvFfwcYJwov,392065,62,"sertanejo,sertanejo pop,sertanejo tradicional,sertanejo universitario",0.755,0.65,8,-9.174,1,0.0609,0.552,0.0,0.115,0.855,114.05799999999999,4
É amor que chama né (Participação especial de Lucas Lucco) - Ao vivo,5cq3t2BUXSAQF83qorWEBf,2019-08-07T08:35:30Z,Chão de estrelas (Ao vivo),2019-07-19,193918,53,Ferrugem,5ZfBThYiIIhL7jHMG8gDB2,2039172,77,pagode,0.6920000000000001,0.718,8,-6.017,1,0.0579,0.62,0.0,0.9790000000000001,0.8740000000000001,132.144,4
Vai Doer - Ao Vivo,3ePKt2yDtTfk6LQNQSrGxM,2019-08-07T08:35:30Z,Errejota (ao Vivo),2019-05-03,172783,50,Xand Avião,43DRDu6nLSeIedZ7T1A616,171655,72,"funk carioca,sertanejo pop",0.7859999999999999,0.787,9,-1.631,0,0.0351,0.23,0.0,0.408,0.772,128.014,4
Eu Amo Diferente - Ao Vivo,07GooQrvco2pqLt4ytbh2p,2019-08-07T08:35:31Z,Yasmin Santos Ao Vivo em São Paulo - EP 2,2019-06-28,170726,45,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,306763,72,"sertanejo pop,sertanejo universitario",0.715,0.735,5,-4.361000000000001,0,0.0321,0.424,0.0,0.6970000000000001,0.6659999999999999,115.96600000000001,4
Álcool e Nicotina - Ao Vivo em Brasília,40U4HOvttBFY5jX8j0imRw,2019-08-07T08:35:32Z,Diego & Victor Hugo Ao Vivo em Brasília,2019-07-12,143460,48,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,534506,76,"sertanejo pop,sertanejo universitario",0.5920000000000001,0.887,0,-3.725,1,0.0439,0.451,0.0,0.825,0.5920000000000001,112.706,4
