track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Para, Pensa e Volta - Ao Vivo",2KyXyTrp3kp1Fsg7B1osYD,2019-08-09T07:27:49Z,Yasmin Santos Ao Vivo em São Paulo - EP 2,2019-06-28,174178,74,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,317914,73,"sertanejo pop,sertanejo universitario",0.611,0.7909999999999999,2,-3.095,1,0.0436,0.245,0.0,0.237,0.5720000000000001,111.928,4
Paraquedas,23eLpLRI1NZejKSQfxHGfw,2019-06-07T07:01:52Z,Paraquedas,2017-03-30,168426,61,Gabriel Diniz,3WQ1s2QFvL6crxBvrVhwzj,813321,67,"forro,funk carioca,sertanejo pop",0.589,0.937,1,-2.332,1,0.0383,0.652,0.0,0.179,0.809,171.033,4
Estranho,7m3ciRxLcU3xJbWEDBoThG,2018-03-29T10:16:49Z,Estranho,2018-03-23,157930,2,Marília Mendonça,1yR65psqiazQpeM79CcGh8,10480339,87,sertanejo,0.7390000000000001,0.504,2,-5.925,1,0.0576,0.493,0.0,0.0956,0.391,155.876,4
Propaganda - Ao Vivo,74n5d5M21JnC4WJ6gdkggK,2018-03-14T08:41:45Z,Terra Sem Cep (ao Vivo),2018-02-23,141934,68,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,10432800,82,"sertanejo,sertanejo universitario",0.614,0.782,2,-4.603,1,0.0605,0.381,0.0,0.39899999999999997,0.77,167.95,4
Não To Falando do Bar - Ao Vivo,7r0owqcDeR6YRBqS87xmFj,2019-07-26T07:25:36Z,Yasmin Santos Ao Vivo em São Paulo - EP 2,2019-06-28,170691,52,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,317914,73,"sertanejo pop,sertanejo universitario",0.493,0.863,4,-3.8539999999999996,0,0.122,0.0526,0.0,0.726,0.598,178.29,4
Faz comigo outra vez,1HqUmDKUZr8Sx52DQ2o1fG,2019-05-29T09:59:02Z,Faz comigo outra vez,2019-05-24,186282,56,Day e Lara,0vsVZPe7ziQLQ3eqwUTc4H,389361,52,sertanejo pop,0.86,0.706,11,-3.4610000000000003,0,0.0401,0.36200000000000004,0.0,0.36200000000000004,0.664,127.046,4
Ausência,2UILpaI5fj9x7VoDC13eK0,2018-03-29T10:16:49Z,Ausência,2018-03-14,149995,2,Marília Mendonça,1yR65psqiazQpeM79CcGh8,10480339,87,sertanejo,0.8240000000000001,0.486,5,-5.579,0,0.0458,0.65,0.0,0.135,0.82,97.94,4
Coração Calejado - Ao Vivo,58Kv71AxpWF6ab0Z76jQId,2018-06-30T13:05:06Z,Terra Sem Cep (ao Vivo),2018-02-23,166517,64,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,10432800,82,"sertanejo,sertanejo universitario",0.7909999999999999,0.6579999999999999,11,-5.055,1,0.0368,0.6729999999999999,0.0,0.9159999999999999,0.47,111.943,4
Amor De Cana - Ao Vivo,0fZfE8LEbsQT8eLMxqJBRF,2019-06-19T10:43:56Z,Buteco Raiz (Só As Derramadas) [Ao Vivo],2019-01-18,163090,59,Bruno & Barretto,70x9rYb58QCNNeNxuO3StS,1255790,63,"sertanejo,sertanejo pop,sertanejo universitario",0.81,0.8370000000000001,6,-4.235,1,0.0412,0.314,0.0,0.115,0.914,121.93299999999999,4
Liga E Chora - Ao Vivo Em São Paulo / 2018,0se50cj7ZQ301ECOaX2Q7v,2019-06-07T07:01:58Z,Liga E Chora (Ao Vivo),2018-09-20,207232,51,Lauana Prado,6TYimByryGphZCtwYopH0y,483986,73,"sertanejo pop,sertanejo universitario",0.574,0.8640000000000001,11,-3.023,0,0.0908,0.662,0.0,0.688,0.48100000000000004,125.904,4
