track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
We Got That Cool (feat. Afrojack & Icona Pop),2cFK03sObtI6AK3QKeOT5g,2019-08-02T14:18:25Z,We Got That Cool (feat. Afrojack & Icona Pop),2019-06-28,213000,67,Yves V,47BEc2RoW53owMyxacXWdV,200247,67,"belgian edm,big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.639,0.865,1,-5.01,1,0.0357,0.00462,1.26e-06,0.208,0.611,124.01,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-08-02T14:18:25Z,Magnets EP,2019-05-24,174444,85,Sam Feldt,20gsENnposVs2I4rQ5kvrf,382374,80,"deep tropical house,edm,electro house,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,4
All The Lies,6PqUdUGS4h5aGY7YyEGXr8,2019-08-02T14:18:25Z,All The Lies,2019-03-15,179456,71,Alok,0NGAZxHanS9e0iNHpR8f2W,5963492,80,"electro house,pop nacional",0.611,0.835,6,-4.107,1,0.139,0.167,0,0.107,0.672,102.023,4
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,1ZLrDPgR7mvuTco3rQK8Pk,2019-08-02T14:18:25Z,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],2018-12-21,192452,76,SHAUN,72nLe76yBFSlP6VBzME358,95053,68,k-pop,0.737,0.747,10,-4.818,1,0.0323,0.269,0,0.219,0.447,105.943,4
Whenever (feat. Conor Maynard),3DGar7krWlmrXRFHBcQF6z,2019-08-02T14:18:25Z,Whenever (feat. Conor Maynard),2018-06-22,163636,74,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,84188,74,"dutch house,dutch pop,tropical house",0.734,0.765,7,-5.562,1,0.0621,0.151,0,0.231,0.518,109.989,4
Long Way Home,1zZPjx3m2M604sI7GpI2ZR,2019-08-02T14:18:25Z,Long Way Home,2019-06-13,169781,64,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,245238,71,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.589,0.646,6,-6.782,0,0.0611,0.0512,0,0.0924,0.528,126.303,4
Monster,0YU17F0BlVXvmx5ytsR43w,2019-08-02T14:18:25Z,Monster,2019-04-19,154226,71,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,4071,62,melbourne bounce international,0.83,0.794,8,-6.279,0,0.432,0.0253,0.0248,0.106,0.607,128.16,4
Heaven (feat. Veronica),5ql2mP9FUhB3SgMzv2akuO,2019-08-02T14:18:25Z,Heaven (feat. Veronica),2019-01-04,195000,68,Dzeko,5vQfv3s2Z2SRdPZKr82ABw,29506,73,"big room,canadian electronic,deep big room,edm,electro house,pop edm,progressive electro house",0.657,0.882,0,-3.565,0,0.0456,0.247,0.00202,0.112,0.179,127.994,4
The Beat,3b0cJPguhWOh2hjY6Lu192,2019-08-02T14:18:25Z,The Beat,2018-07-23,162187,67,Mike Williams,3IpvVrP3VLhruTmnququq7,198388,73,"big room,deep big room,edm,electro house,future house,house,pop edm,progressive electro house,progressive house,tropical house",0.563,0.954,7,-1.835,0,0.0283,0.119,0.168,0.27,0.788,128.014,4
Who's Got Your Love,47dABAPyBgKB3iQCrC4Vrv,2019-08-02T14:18:25Z,Who's Got Your Love,2019-03-15,157000,67,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,1252396,80,"dance pop,edm,electro house,electropop,pop,pop edm,post-teen pop,tropical house",0.704,0.888,11,-2.872,1,0.0541,0.00553,0.0011,0.079,0.531,125.027,4
All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,2019-08-02T14:18:25Z,All Around The World (La La La),2019-04-05,147840,83,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1729243,84,"big room,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
I Will Find,2bbfiUnH4CATlekDS1dxNr,2019-08-02T14:18:25Z,I Will Find,2018-09-28,224733,66,Vintage Culture,28uJnu5EsrGml2tBd7y8ts,1041501,73,brazilian edm,0.922,0.535,6,-8.171,0,0.0484,0.144,0.271,0.552,0.382,123.972,4
Freak - Joe Stone 2K18 Edit,2xbRwcylUnX881qaqf5ZZJ,2019-08-02T14:18:25Z,Freak (Joe Stone 2K18 Edit),2018-12-21,177142,67,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1729243,84,"big room,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.666,0.855,11,-5.318,0,0.236,0.222,0,0.502,0.769,125.943,4
Mufasa,6FwvvtAuHIvdeupkTpaTRN,2019-08-02T14:18:25Z,Mufasa,2018-11-26,167142,64,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,490413,74,"australian dance,catstep,edm,melbourne bounce,melbourne bounce international",0.359,0.976,4,-2.285,1,0.0932,0.00845,0.623,0.288,0.0752,139.938,4
Signals,40UsTEcLNqQyrvvwJPpCra,2019-08-02T14:18:25Z,Signals,2019-03-08,163562,63,Todiefor,55SWeOUhlJHrkcuih5J2pQ,4888,54,"belgian hip hop,belgian pop",0.826,0.818,7,-6.057,1,0.12,0.0216,0.00174,0.132,0.429,115.069,4
No Regrets (feat. Krewella),58hjBuGWj43LQ6WjN3ZQAK,2019-08-02T14:18:25Z,No Regrets (feat. Krewella),2019-03-01,184000,63,KSHMR,2wX6xSig4Rig5kZU6ePlWe,1045467,72,"big room,dance pop,deep big room,edm,electro house,indian edm,progressive electro house,tropical house",0.33,0.793,10,-4.628,0,0.155,0.0618,0,0.383,0.279,180.162,4
Only Love,7DSBxP0sGTuEb249LMJSLY,2019-08-02T14:18:25Z,Only Love,2018-11-16,172222,63,Deepend,0uGApGjjFXKwUOAqYBeX7B,19217,67,"deep house,deep tropical house,pop edm,tropical house",0.647,0.81,2,-5.804,1,0.0521,0.0658,0.00236,0.237,0.648,108.011,4
