track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Miss U,0wsflw6A3Qrbrl3YbWK8tx,2019-05-24T08:21:11Z,I Miss U,2018-07-27,196812,63,Alok,0NGAZxHanS9e0iNHpR8f2W,5607430,79,"brazilian edm,electro house,pop nacional",0.59,0.6970000000000001,4,-5.915,0,0.0388,0.00902,0.0,0.10800000000000001,0.212,94.96700000000001,4
Sensational - Zonderling Remix,5ZfmcScnfvdBG2o3CuMWPC,2019-05-24T08:21:11Z,After The Sunset,2018-02-19,173333,63,Sam Feldt,20gsENnposVs2I4rQ5kvrf,352669,77,"dance pop,deep tropical house,edm,pop,pop edm,tropical house",0.813,0.828,9,-3.846,0,0.201,0.0682,0.0566,0.0671,0.7440000000000001,125.87,4
Devil Inside Me (feat. KARRA),6h7MPC2hBJHJQuobsRXqwF,2019-05-24T08:21:11Z,Devil Inside Me (feat. KARRA),2019-05-24,189333,0,KSHMR,2wX6xSig4Rig5kZU6ePlWe,990245,72,"big room,dance pop,deep big room,edm,electro house,indian edm,progressive electro house,tropical house",0.56,0.8690000000000001,6,-4.587,0,0.0622,0.00214,4.06e-06,0.304,0.177,134.934,4
Runaway,541OLGN9Qfp5lizRnGk8fG,2019-05-24T08:21:11Z,Runaway,2019-01-18,187123,59,Mike Perry,6lB8vOoI4DRrrVxXwuV19c,515316,73,"dance pop,edm,pop,pop edm,swedish tropical house,tropical house",0.7140000000000001,0.84,0,-6.141,1,0.15,0.21,0.0,0.0461,0.19399999999999998,125.955,4
Where Do You Go (feat. Lexy Panterra),7o9JaNnV1J9EdTPmWdrXbf,2019-05-24T08:21:11Z,Where Do You Go (feat. Lexy Panterra),2019-05-17,216125,44,Shaun Frank,0BBwlSQvHHtahgYpLj1wJE,38761,58,"canadian electronic,edm,electro house,pop edm",0.688,0.83,8,-5.742000000000001,0,0.0543,0.0030800000000000003,0.0009660000000000001,0.21899999999999997,0.632,122.039,4
Anyway (feat. XERXESBAKKER) - Hard Mix,41GRG2vD1Cr3Ho5voCImq4,2019-05-24T08:21:11Z,Anyway (feat. XERXESBAKKER) [Hard Mix],2019-01-18,170500,58,LNY TNZ,1x0ScxgiyFRQDKT4VwcLHa,37696,61,edm,0.613,0.758,11,-3.785,1,0.0353,0.0578,0.004529999999999999,0.0866,0.56,150.02,4
Say Something,0c8W8aqdrtM67F3JVIt593,2019-05-24T08:21:11Z,Say Something,2019-02-15,163199,58,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,222502,72,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house,uk dance",0.723,0.706,5,-5.593,0,0.14800000000000002,0.114,0.0,0.214,0.698,105.00399999999999,4
La La Light,3mQKWiSQjMKNEgBo20GAOb,2019-05-24T08:21:11Z,La La Light,2019-02-01,178329,55,OLWIK,7z55f4aJkaPR4EF2BXqsq7,10409,47,tracestep,0.72,0.8009999999999999,9,-3.833,0,0.0501,0.0074,7.95e-06,0.725,0.818,125.00299999999999,4
Candy On The Dancefloor,41RSRxdVqnSWlL9Glx95fG,2019-05-24T08:21:11Z,Candy On The Dancefloor,2019-02-22,186666,58,Tujamo,2vVNxGBvKRQMWwI5c8KmYh,125972,68,"big room,dance pop,deep big room,edm,electro house,house,progressive electro house,progressive house,tropical house",0.7090000000000001,0.8140000000000001,8,-4.148,1,0.0466,0.106,0.000229,0.267,0.47700000000000004,126.027,4
Who Cares,7Ipab56QLTyTR54rzQCJLr,2019-05-24T08:21:11Z,Who Cares,2019-01-11,200487,57,EDX,7GMot9WvBYqhhJz92vhBp6,139004,68,"big room,deep groove house,deep house,deep tropical house,edm,electro house,house,pop edm,progressive electro house,progressive house,tech house,tropical house",0.7659999999999999,0.878,3,-3.653,0,0.0572,0.00785,1.8100000000000003e-05,0.166,0.66,123.054,4
Lose My Colours (feat. Sam Martin),6ZT3p9zaO17gyTW6T5UTDW,2019-05-24T08:21:11Z,Magnets EP,2019-05-24,210000,0,Sam Feldt,20gsENnposVs2I4rQ5kvrf,352669,77,"dance pop,deep tropical house,edm,pop,pop edm,tropical house",0.574,0.851,5,-4.748,1,0.036000000000000004,0.0209,0.0,0.14400000000000002,0.19399999999999998,107.994,4
Inception (Ultra Live Anthem 2019),5gGr2RvBtngp6dFgshVbl2,2019-05-24T08:21:11Z,Inception (Ultra Live Anthem 2019),2019-04-26,186549,56,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,222502,72,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house,uk dance",0.5920000000000001,0.7759999999999999,6,-6.6339999999999995,1,0.0312,0.0293,0.188,0.29,0.174,127.993,4
