track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Reckless,45GtpfaI7fg7mSZBQTNJss,2019-07-19T12:25:59Z,Reckless,2019-07-19,148125,42,Hardwell,6BrvowZBreEkXzJQMpL174,2906558,76,"big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house",0.618,0.9740000000000001,6,-3.102,0,0.0994,0.00302,0.267,0.0634,0.11199999999999999,128.028,4
Wild Game (feat. Monique Lawz),0OblbHqdzBaTNHxkRuWBDN,2019-07-19T12:25:59Z,Wild Game (feat. Monique Lawz),2019-07-19,142611,35,Michael Calfan,4CuipEvwcoQggmCV8jpKF9,113631,61,"big room,deep groove house,deep house,deep tropical house,disco house,edm,electro house,house,progressive electro house,progressive house,tropical house",0.7979999999999999,0.636,3,-10.126,1,0.0612,0.152,0.00107,0.11,0.491,124.01299999999999,4
Smoke,0t5eevrq8rZOIvXDkVwN2i,2019-07-19T12:25:59Z,Smoke,2019-06-07,142131,53,Toby Green,7IVgVM49Z4ztdmOqOIxhvP,17310,59,"big room,deep big room,edm,electro house,pop edm,progressive electro house,progressive house",0.68,0.742,7,-7.391,1,0.196,0.000175,0.474,0.265,0.107,121.616,4
Down Under,0K3F6uP4XEmYSAPvpSDx7J,2019-07-19T12:25:59Z,Down Under,2019-07-19,202802,43,LVNDSCAPE,2QlwnS23KrBeshXFyK5U6M,65121,66,"big room,deep house,deep tropical house,edm,electro house,house,pop edm,tropical house",0.7140000000000001,0.7979999999999999,5,-5.937,0,0.0668,0.0663,0.00206,0.145,0.698,106.971,4
Why Boy,2devxXJUTEIFmgt8cXaqmO,2019-07-19T12:25:59Z,Why Boy,2019-06-07,150005,57,Steff da Campo,7Bo6vpAmmhylCRWoHSBkcZ,8653,57,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,sky room",0.49700000000000005,0.924,11,-3.43,0,0.0434,0.149,0.251,0.267,0.28300000000000003,120.01799999999999,4
My Friend,3qeJ84Y6PRS9LtliOuT94Z,2019-07-19T12:25:59Z,My Friend,2019-05-31,170000,56,Yves V,47BEc2RoW53owMyxacXWdV,198445,67,"belgian edm,big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.47100000000000003,0.9109999999999999,2,-4.372,0,0.0594,0.0316,0.00648,0.5710000000000001,0.19699999999999998,126.11200000000001,4
The King (with Dzeko),40UbcJWyWPqOWFvv4Dpvfc,2019-07-19T12:25:59Z,The King (with Dzeko),2019-06-14,209493,56,Dimitri Vangelis & Wyman,10hGPIDZi33LRaYRIq3Bh4,355408,61,"big room,deep big room,edm,electro house,progressive electro house,progressive house",0.655,0.726,9,-4.614,0,0.0324,0.0587,0.0031100000000000004,0.145,0.292,128.001,4
All Of My Life,046lPiPxQIXxyBOO2jpnp4,2019-07-19T12:25:59Z,All Of My Life,2019-06-28,155509,57,Trixxie,5G9jPTXdfaEAHy7HfyVs59,371,50,,0.738,0.92,1,-4.066,1,0.0423,0.0137,0.034,0.146,0.8809999999999999,122.01899999999999,4
Grow Up,5I1K6LJMvIdV5kpHS8tMkr,2019-07-19T12:25:59Z,Grow Up,2018-06-01,169837,55,Bolier,65NscqgsoMPqBtoLbkP3jD,14869,61,"deep tropical house,house,progressive house,tropical house",0.823,0.7,11,-6.587999999999999,0,0.077,0.0733,6.3e-05,0.685,0.537,123.05,4
Le Freak - Oliver Helden's Remix,6pytDoBX1HFvOfhOL5H5hk,2019-07-19T12:25:59Z,Le Freak (Oliver Heldens Remix),2018-11-14,232522,56,CHIC,0Xf8oDAJYd2D0k3NLI19OV,329659,66,"disco,funk,motown,post-disco,quiet storm,soul",0.8590000000000001,0.757,7,-6.005,1,0.0736,0.00942,0.0377,0.105,0.563,124.986,4
Utami,6jU2L6TdZMdGqdCVqvhCg5,2019-07-19T12:25:59Z,Utami,2018-05-07,157500,54,Bougenvilla,1I5pYXplsbqmHaVWlAEhla,31475,54,"big room,deep big room,deep groove house,edm,electro house,house,pop edm,progressive house",0.652,0.924,7,-5.382999999999999,1,0.0418,0.0202,0.8059999999999999,0.308,0.307,128.013,4
Wanderlust,223EftuwZfEBE6v2TnMrOl,2019-07-19T12:25:59Z,Wanderlust,2018-10-12,238048,55,Throttle,6mPZJXtFVaakznkRxdgWtC,36651,63,"big room,deep big room,deep tropical house,edm,electro house,house,pop edm,progressive electro house,tropical house",0.5710000000000001,0.48700000000000004,6,-4.962,0,0.0429,0.0141,0.152,0.243,0.192,123.23,4
Who Cares,7Ipab56QLTyTR54rzQCJLr,2019-07-19T12:25:59Z,Who Cares,2019-01-11,200487,55,EDX,7GMot9WvBYqhhJz92vhBp6,142781,68,"big room,deep groove house,deep house,deep tropical house,edm,electro house,house,pop edm,progressive electro house,progressive house,tech house,tropical house",0.7659999999999999,0.878,3,-3.653,0,0.0572,0.00785,1.8100000000000003e-05,0.166,0.66,123.054,4
Lunar,7BpYNI9XnablrLe83A1UEM,2019-07-19T12:25:59Z,Lunar,2019-01-11,189523,55,Madison Mars,4gJCFxvqKc43Ifk0UIBB42,76868,63,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.609,0.948,2,-2.5069999999999997,1,0.0661,0.0124,1.4300000000000002e-05,0.848,0.11800000000000001,126.001,4
