track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-05-24T11:04:14Z,Piece Of Your Heart,2019-02-01,152913,82,MEDUZA,0xRXCcSX89eobfrshSVdyu,9838,77,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
White Lies,2UkF0EWfh0T90ScJzGqnD1,2019-05-24T11:04:14Z,White Lies,2019-01-25,176377,70,M-22,4WFtYn5RyU8VGPpPyW9Pxw,15002,66,"deep groove house,house,tropical house",0.427,0.916,4,-3.716,0,0.116,0.000156,5.37e-06,0.154,0.688,123.539,4
Don’t Feel Like Crying - MK Remix,7m08259Q5tSlCoHKq0l5AL,2019-05-24T11:04:14Z,Don't Feel Like Crying (MK Remix),2019-02-15,220683,59,Sigrid,4TrraAsitQKl821DQY42cZ,340431,74,"dance pop,electropop,norwegian pop,pop",0.586,0.93,5,-4.085,0,0.0396,0.00199,2.09e-05,0.15,0.212,123.985,4
Say Something - Zac Samuel Remix,67lnQ6r4oWKZcM8VxSwHq2,2019-05-24T11:04:14Z,Say Something,2014-01-01,213135,9,Karen Harding,1QOHbhVRpDoNtRkz79si6b,20675,65,"deep groove house,house,tropical house,uk dance",0.697,0.676,7,-6.134,1,0.0412,0.0101,2.66e-06,0.141,0.707,119.988,4
Make Your Move,4cuJbDiraxt9AsEeevmFuQ,2019-05-24T11:04:14Z,Make Your Move,2019-01-18,168991,67,Anton Powers,7h7ahzbTkbAFsshWJ7fOrc,9463,63,"deep groove house,disco house,house,tropical house,uk dance",0.647,0.992,4,-2.748,0,0.0971,0.0248,0.106,0.156,0.555,124.0,4
Play,29R1IMTTbDDA3VNlk6UEW5,2019-05-24T11:04:14Z,Play,2018-11-28,186240,75,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,475855,79,"dance pop,edm,house,pop,tropical house,uk dance",0.771,0.768,11,-7.773,0,0.0451,0.0266,1.26e-05,0.426,0.607,125.023,4
Someone You Loved - Future Humans Remix,1e8PAfcKUYoKkxPhrHqw4x,2019-05-24T11:04:14Z,Someone You Loved (Future Humans Remix),2019-03-05,189052,63,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,532298,87,"pop,uk pop",0.65,0.833,1,-4.672,1,0.0359,0.0803,0,0.0833,0.725,123.976,4
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,2019-05-24T11:04:14Z,I Found You (with Calvin Harris),2018-11-02,191495,76,benny blanco,5CiGnKThu5ctn9pBxv7DGa,246541,84,"dance pop,pop,tropical house",0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,4
Hold You Tight,3bn8sZpuyDnDt1LmeUlybV,2019-05-24T11:04:14Z,Hold You Tight,2019-03-27,319354,54,Diplo,5fMUXHkw8R8eOP2RNVYEZX,1925353,89,"bmore,edm,moombahton,ninja,pop",0.796,0.826,4,-5.092,0,0.0599,0.00574,0.57,0.0466,0.689,123.99,4
Heaven Let Me In - MEDUZA Remix Edit,4gsc1FcuBr8L8n2WAmq5Gx,2019-05-24T11:04:14Z,Heaven Let Me In (Remixes),2019-04-19,165338,46,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,189554,57,"alternative dance,dance-punk,electronic,indie pop,indie rock,indietronica,modern rock,new rave,nu disco,shimmer pop",0.57,0.912,7,-5.373,0,0.0416,0.00994,0.0027,0.169,0.425,123.997,4
Delicious,5s44daf32Q7yNMqhIn1Jj4,2019-05-24T11:04:14Z,Delicious,2019-03-22,236160,56,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,253580,68,"deep groove house,edm,future garage,house,pop,tropical house,uk dance",0.712,0.88,0,-6.78,1,0.0433,0.0248,0.216,0.0587,0.853,125.015,4
Without You,6v7fQEDcC4rgmvqUvthNgB,2019-05-24T11:04:14Z,Without You,2018-08-24,200318,39,FIX8,5vxujRRFyGnxolzJEacI4v,85,29,,0.706,0.731,5,-6.661,0,0.0694,0.0143,0.224,0.0749,0.461,122.986,4
Late Night Feelings - Jax Jones Midnight Snack Remix,4ufczFF0h8LuINuNchy1fQ,2019-05-24T11:04:14Z,Late Night Feelings (Jax Jones Midnight Snack Remix),2019-05-10,228387,38,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,541103,82,"dance pop,pop",0.697,0.928,5,-4.052,0,0.113,0.0158,0.00723,0.503,0.654,124.023,4
Got To Keep On - Riton Remix,2hE4UBDF2BPc2hlQLfyDFp,2019-05-24T11:04:14Z,Got To Keep On (Riton Remix),2019-03-15,267914,48,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,995628,70,"alternative dance,big beat,breakbeat,electronic,new rave,trip hop",0.77,0.884,6,-5.04,0,0.0588,0.0346,0.531,0.103,0.736,125.018,4
On The Run,1nG25ryMPoS60huue0fy3r,2019-05-24T11:04:14Z,On The Run,2019-03-22,209758,32,J. Worra,4q0N3EI67tVnAeeaXbNQIj,2229,35,bass house,0.872,0.787,11,-7.459,0,0.13,0.0134,0.00715,0.0589,0.749,124.034,4
Be Happy - VIP,0uGziBDjeWrT42RK29cz73,2019-05-24T11:04:14Z,Be Happy (VIP),2019-02-01,166829,43,Deekline,1V9Bmg9gpcQDBfNZBQCWw7,12364,52,"bass house,breakbeat,jungle",0.59,0.983,0,-2.872,0,0.0583,0.449,0.000978,0.129,0.902,122.994,4
