track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Late Night Feelings - Jax Jones Midnight Snack Remix,4ufczFF0h8LuINuNchy1fQ,2019-05-17T14:57:51Z,Late Night Feelings (Jax Jones Midnight Snack Remix),2019-05-10,228387,28,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,538751,82,"dance pop,pop",0.6970000000000001,0.9279999999999999,5,-4.052,0,0.113,0.0158,0.0072299999999999994,0.503,0.654,124.023,4
I Wanna Be Down,6nRNYQiLt3RU06fzHxCnsc,2019-05-17T14:57:51Z,I Wanna Be Down,2019-03-08,183444,53,Majestic,6QMABvTzixnxzsLYyhqRxI,10838,50,"bass house,deep groove house,house,uk garage",0.81,0.7979999999999999,7,-5.797999999999999,1,0.0388,0.00502,3.5100000000000006e-05,0.10400000000000001,0.9159999999999999,121.98700000000001,4
Talk To Me,6zM7Ch5N2ZQOpvPyFrTkh7,2019-05-17T14:57:51Z,Talk To Me,2019-05-17,179048,13,Ten Ven,0ZSLz27xUnI816MMtYfLMI,1813,46,,0.674,0.748,11,-8.45,0,0.0561,0.0515,0.0488,0.131,0.757,120.979,4
I'm Gonna Do,3foXlm7CCmyDZndniXpYVx,2019-05-17T14:57:51Z,I'm Gonna Do,2019-05-10,166000,32,Highness,3ooeKNuwoMlMOiaaPKNVvy,105,31,,0.682,0.8759999999999999,11,-4.0889999999999995,0,0.0383,0.284,2.3e-05,0.6920000000000001,0.639,119.99799999999999,4
Sparking My Fire (feat. ROE),6H4Z4Sl0QYihizCTPzhEZm,2019-05-17T14:57:51Z,Sparking My Fire,2019-05-17,186213,36,SACHI,6kG0WKHsAOfWp5IsizmQxR,8892,47,nz pop,0.63,0.758,0,-6.026,0,0.0419,0.18600000000000003,3.04e-05,0.111,0.466,122.01100000000001,4
Naked in the Cold,0OU3tz95QRv1ValnQInwME,2019-05-17T14:57:51Z,Naked in the Cold,2019-04-24,253563,27,Quiet Man,3iR41vQVaeF8kXhOWjAv3J,297,23,,0.703,0.713,4,-7.146,0,0.14,0.153,0.631,0.113,0.40399999999999997,131.936,4
Café Patron,1iabsTZSsU911qNKnhQjo5,2019-05-17T14:57:51Z,Forrest Gump / Café Patron,2019-04-26,150535,10,Le Cheval,4cndYndJR1qRXVp3zHcVzR,117,31,,0.733,0.925,1,-6.349,1,0.0544,0.0026,0.0626,0.11900000000000001,0.8909999999999999,125.98200000000001,4
I Like The Way,2u8hD8iAJPboMIeJjjLOhk,2019-05-17T14:57:51Z,I Like The Way,2019-05-10,185616,40,Moon Willis,4QsYLEjgSItbA6PI2i8xAU,332,43,,0.7959999999999999,0.649,2,-7.7139999999999995,1,0.10300000000000001,0.185,0.0,0.0739,0.38,118.01299999999999,4
Valley of Peace,1sP05DPJ37h2wC9cuZ0at7,2019-05-17T14:57:51Z,TEYMORI,2018-07-25,290937,37,TEYMORI,5rS3QIZCVJiqURLRhc0KW5,752,28,,0.688,0.753,4,-6.58,0,0.0836,0.226,0.0236,0.0839,0.434,117.99700000000001,4
(G)rave,5Qx4tRDy8RnVxACujLF6Vp,2019-05-17T14:57:51Z,(G)rave,2019-04-25,146333,50,Vladimir Cauchemar,2V5xArcB3BGAHmwsK46tyU,16829,55,,0.768,0.804,7,-5.905,1,0.0436,0.0041600000000000005,0.698,0.273,0.231,123.072,4
Selfish - Radio Edit,3KTAnd7XSgZZp66SOqhZSt,2019-05-17T14:57:51Z,Selfish (Radio Edit),2019-05-10,167612,47,Le Youth,1Zz6NBe8UIZjm88TvehFtx,49588,58,"deep groove house,house,indie poptimism,nu disco,tropical house",0.763,0.594,8,-8.406,1,0.106,0.00489,0.0,0.198,0.531,125.01799999999999,4
Hailey - EMBERS Remix,5MOqU6C7LPuKX4FzEcpXhM,2019-05-17T14:57:51Z,Hailey (EMBERS Remix),2019-05-10,204707,17,James Smith,543ccHFPnZfJMD8tRGPtu7,14938,62,"indie cafe pop,uk pop",0.7979999999999999,0.573,11,-8.472999999999999,0,0.109,0.44299999999999995,2.14e-05,0.18600000000000003,0.659,125.006,4
