track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Together - Junior Sanchez 2gether We Funk Remix,2vKpHqRz67G7ra2dG1lQhF,2019-05-03T13:07:11Z,Together (Junior Sanchez 2gether We Funk Remix),2019-04-05,244870,28,Arno Cost,0BMhfbeiOrNMBzjELzbyNg,16262,51,"big room,edm,electro house,progressive electro house",0.821,0.875,11,-7.0489999999999995,0,0.0838,0.00316,0.15,0.0774,0.128,124.027,4
Between The Lines - Louie Vega Remix,0626tUfl0vK8I7VZRAjtBT,2019-05-03T13:07:11Z,Between The Lines (Louie Vega Remix),2019-04-12,523000,38,Robyn,6UE7nl9mha6s8z0wFQFIZ2,538171,70,"dance pop,electropop,pop,scandipop,swedish electropop,swedish pop",0.804,0.604,0,-9.846,1,0.0705,0.000437,0.48,0.0948,0.354,123.99700000000001,4
Say It,6ry2vpew139OTJUFUkPKpE,2019-05-03T13:07:11Z,Say It,2019-03-01,228572,29,Thandi Phoenix,3PAjYEQ8KpL6u0fNDR0p1v,2668,47,australian electropop,0.6509999999999999,0.7,7,-11.647,0,0.0385,0.0133,2.8000000000000003e-05,0.10800000000000001,0.183,123.961,4
Between The Lines - Preditah Vocal Mix,3E8SwhamBNJiu84aNrNPa4,2019-05-03T13:07:11Z,Between The Lines (Preditah Remix),2019-04-26,257462,19,Robyn,6UE7nl9mha6s8z0wFQFIZ2,538171,70,"dance pop,electropop,pop,scandipop,swedish electropop,swedish pop",0.752,0.87,11,-5.354,0,0.0469,0.000297,0.0874,0.0645,0.653,124.007,4
Tell Me,38HSKMiEks2Nup7NTUrKdN,2019-05-03T13:07:11Z,Tell Me,2019-04-26,175117,47,WATEVA,68D0OoPnJ7buwHp1YGrckH,8863,47,tracestep,0.84,0.7170000000000001,8,-5.4910000000000005,0,0.0888,0.151,0.0,0.22699999999999998,0.774,122.029,4
Red Light Green Light,5D1zGVDJTOqwaGSzYw5TtP,2019-05-03T13:07:11Z,"Red Light Green Light (For Club Play Only, Pt. 6)",2019-02-22,211208,68,Duke Dumont,61lyPtntblHJvA7FMMhi7E,441434,70,"dance pop,deep groove house,destroy techno,disco house,edm,house,pop,progressive house,tropical house,uk dance",0.8109999999999999,0.825,2,-5.48,1,0.0654,0.000646,0.517,0.0689,0.95,124.005,4
King Of My Castle - Don Diablo Edit,6EKWwgARvh7JS1n7nHIVMY,2019-05-03T13:07:11Z,King Of My Castle (Don Diablo Edit),2019-01-11,173257,64,Keanu Silva,1zLMhO4zzzxt5PMV4wMS3y,6106,62,future house,0.7490000000000001,0.8859999999999999,5,-4.421,0,0.13,0.259,0.000172,0.342,0.547,125.045,4
Yah Lave,5Dj6AqbG85UkexXGxY16eE,2019-05-03T13:07:11Z,Funk Me Up,2019-02-05,126991,30,Funkyazz,4cuWwbixK6KsGhmUQJzGAV,0,22,,0.88,0.5539999999999999,5,-10.577,1,0.11900000000000001,0.35600000000000004,0.569,0.109,0.38299999999999995,122.99700000000001,4
Designs for You,3C6mvZs8thvKBSI6v0xmo2,2019-05-03T13:07:11Z,Designs For You,2019-03-22,229360,45,Phantoms,1bJJlRHoc1UVeqzxcrPLIw,17845,50,la pop,0.8079999999999999,0.912,4,-6.4270000000000005,0,0.0697,0.0427,0.603,0.0842,0.188,124.99799999999999,4
Polaroid,1wsLHgXJ4SKIfd5ePSX1hD,2019-05-03T13:07:11Z,Polaroid,2018-10-05,193377,81,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,1890074,84,"dance pop,edm,pop,tropical house,uk dance",0.652,0.897,7,-4.481,0,0.036000000000000004,0.293,0.0,0.0722,0.475,114.03299999999999,4
Deal With It - Just Kiddin Remix,7lDhpT9WUab7GKfE4qxF9P,2019-05-03T13:07:11Z,Deal With It (Just Kiddin Remix),2019-03-01,179439,27,GIRLI,4XX9YjNQrHTZfZz3DCX6DP,33104,48,"electropop,escape room,hyperpop,strut",0.789,0.9229999999999999,1,-3.7089999999999996,1,0.261,0.00954,0.428,0.22,0.861,125.055,4
Move (Time To Get Loose) - Star.One Remix,5qpcYwmmsFxXvLpRrgo1nF,2019-05-03T13:07:11Z,Move (Time To Get Loose) [Remixes],2018-11-09,160826,25,Young Romantic,5WC39BbxTknN8rIumMiVh9,451,37,,0.7859999999999999,0.838,6,-5.406000000000001,0,0.0863,0.0241,0.24600000000000002,0.0868,0.9,129.968,4
