track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Away with the Fairies,6Yp6bCLd4IWur1yL2Xirrk,2019-05-13T14:01:48Z,Away with the Fairies,2018-12-10,166153,63,Philanthrope,13ACz7DIictCpSYGglNTHs,18566,70,"chillhop,lo-fi beats",0.8859999999999999,0.23199999999999998,6,-9.919,0,0.4,0.247,0.9059999999999999,0.114,0.6609999999999999,130.015,4
Cycles,5alnDPrNkacMyjArD0klpF,2019-05-13T14:01:48Z,Chillhop Essentials Fall 2017,2017-10-09,162402,44,Philanthrope,13ACz7DIictCpSYGglNTHs,18566,70,"chillhop,lo-fi beats",0.7659999999999999,0.434,3,-8.158,0,0.233,0.109,0.222,0.114,0.33799999999999997,88.014,4
Nomatter,0IPZAHa5GKt5dmgP91fHZ1,2019-05-13T14:01:48Z,Reflekt,2018-01-24,189677,48,Moose Dawa,4iLyC66mfowfMoMtmbsDUb,2787,48,"chillhop,jazz boom bap,lo-fi beats",0.7879999999999999,0.409,11,-9.666,0,0.149,0.0566,0.257,0.11599999999999999,0.281,92.89,4
Mindfulness,0XTRycTWH8TR2xBEjwByNS,2019-05-13T14:01:48Z,BODY N SOUL,2018-11-07,168000,63,C Y G N,6OgHTWl7y9oeccoxeXXDPn,4206,57,"chillhop,lo-fi beats",0.6659999999999999,0.252,3,-11.555,0,0.0511,0.534,0.6920000000000001,0.121,0.6859999999999999,138.194,4
Stay Puff,6riXpGeW7at75Tltvb2x8L,2019-05-13T14:01:48Z,Koi Pond,2018-07-11,121875,60,Cloudchord,5EjKjFGvMmVUGCfAyDY2lG,3687,59,"chillhop,lo-fi beats",0.6629999999999999,0.369,5,-12.718,1,0.0693,0.762,0.5720000000000001,0.105,0.233,128.214,4
Memories,0kj6O711Tx7YiGPDArG3JD,2019-05-13T14:01:48Z,Chillhop Essentials Fall 2017,2017-10-09,110031,56,Sugi.wa,0XUBVuE1odesNug0oKt9Me,4148,56,"chillhop,lo-fi beats",0.825,0.21,0,-9.129,1,0.12,0.185,0.912,0.109,0.503,80.423,4
Albatros,3XCzyLM9kgBYQsuSg05cos,2019-05-13T14:01:48Z,Chillhop Essentials Summer 2018,2018-06-20,165624,48,Plusma,1BrPtX4urPftXEDWrVTdRH,4864,59,"chillhop,lo-fi beats",0.615,0.48,5,-10.948,0,0.126,0.342,0.564,0.7020000000000001,0.6679999999999999,118.43799999999999,3
Alive,3vU0WH6qHOd3MRFZt5nJJF,2019-05-13T14:01:48Z,Alive,2019-02-04,146976,57,Ouska,1BhytEyR0LxnxXoeQPxGVV,1281,47,,0.674,0.307,2,-11.206,1,0.0327,0.78,0.8340000000000001,0.115,0.38,128.995,4
Birds,4k2oxzFZmfw1KXQAwSGiJe,2019-05-13T14:01:48Z,Chillhop Essentials Spring 2019,2019-03-20,260000,60,Harris Cole,6DnF6PBcTSsEZuEjXpK0gX,13863,63,"chillhop,lo-fi beats",0.529,0.14300000000000002,9,-18.17,1,0.0373,0.8640000000000001,0.9059999999999999,0.0826,0.165,69.956,4
Evening Routine,6JF3ZrokJbnLLuhqi2ueKL,2019-05-13T14:01:48Z,Hometown,2018-10-17,144624,57,Nymano,3BoSEarTgKiw8sHE0ixJNK,17151,61,"chillhop,lo-fi beats",0.667,0.14400000000000002,7,-11.14,0,0.0376,0.252,0.885,0.204,0.469,80.626,4
Spring In La Coruña,5X8soNyJaQyM3ulsbp0P72,2019-05-13T14:01:48Z,Chillhop Essentials Spring 2018,2018-03-21,217931,46,Ruck P,0SIxAAknV8iR2jHcQJ9Sfn,3738,52,"chillhop,lo-fi beats",0.619,0.5870000000000001,2,-8.249,0,0.107,0.654,0.86,0.762,0.7509999999999999,174.122,4
Voyage,42GhletESlrhyhtFkjkf6Q,2019-05-13T14:01:48Z,Mind Garden,2018-09-05,139275,63,Leavv,7sNw4pNLLJNGrU62O80WGE,7376,61,"chillhop,lo-fi beats",0.743,0.204,5,-11.501,0,0.0891,0.102,0.9,0.11199999999999999,0.435,172.137,4
