track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
No He Sido Un Santo,6BsJX1GI5r0guADptCFLKP,2019-05-31T06:45:27Z,No He Sido Un Santo,2019-04-26,199977,61,Maikel Delacalle,2t7vyRN71qtQT18frElAnV,141030,71,"trap espanol,trap latino",0.655,0.6729999999999999,0,-4.752,1,0.271,0.11,1.05e-05,0.235,0.8190000000000001,79.69800000000001,4
Destino,3tOmzBrWaHg97FKgsqhhEd,2019-05-31T06:45:27Z,Destino,2019-03-15,180480,79,Greeicy,5dbaLmK5SHLLg8Z4CcTJpX,900904,79,"colombian pop,latin,latin pop,r&b en espanol",0.708,0.7609999999999999,0,-3.02,1,0.09300000000000001,0.0105,8.51e-06,0.0462,0.71,188.12400000000002,4
La Profesional,3imqKXNUlYzIXTYpMIAInz,2019-05-31T06:45:27Z,La Profesional,2019-03-08,223373,49,El Freaky,4RJBAiwh6dSmqUZzCDMAyT,4710,50,colombian hip hop,0.6920000000000001,0.83,0,-5.742999999999999,1,0.0472,0.00998,0.0214,0.311,0.341,100.973,4
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,2019-05-31T06:45:27Z,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",2019-02-28,158027,86,benny blanco,5CiGnKThu5ctn9pBxv7DGa,261554,84,"dance pop,pop,tropical house",0.541,0.46799999999999997,10,-4.039,0,0.36200000000000004,0.40399999999999997,3.65e-06,0.358,0.69,95.266,4
No Me Conoce,5X7AVd4KvCjRwCHMsaR56I,2019-05-31T06:45:27Z,No Me Conoce,2019-02-22,240320,67,Jhay Cortez,0EFisYRi20PTADoJrifHrz,137925,78,"latin,latin hip hop,reggaeton flow,trap latino,tropical",0.8340000000000001,0.6970000000000001,10,-4.01,0,0.0842,0.0624,0.0,0.0993,0.547,91.962,4
Imposible,3ao3OVxHlb3C08vAaApUlm,2019-05-31T06:45:27Z,Imposible,2018-10-19,163880,79,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,6153492,85,"latin,latin pop,pop,tropical",0.7859999999999999,0.764,11,-2.935,1,0.0798,0.122,0.0,0.102,0.9129999999999999,90.979,4
Nadie Como Yo,6XGfoK5edwViiZlmv7kQcE,2019-05-31T06:45:27Z,Volvió KR,2018-11-30,184253,69,Kevin Roldan,1RBzGO6Nm3uyhUSxP7EDWO,2415684,77,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",0.792,0.37,3,-7.906000000000001,0,0.198,0.226,1.32e-05,0.0917,0.76,80.09899999999999,4
Medellín (with Maluma),3tTV4DYlhkiXRNiiXwIAPf,2019-05-31T06:45:27Z,Medellín (with Maluma),2019-04-17,298164,77,Madonna,6tbjWDEIzxoDsBA1FuhfPW,3085480,82,"dance pop,pop,pop rock",0.82,0.685,1,-7.093,1,0.28800000000000003,0.0603,1.82e-05,0.6709999999999999,0.462,91.98,4
Open The Door,7Ib4HxrkMe8iHweXxMsev5,2019-05-31T06:45:27Z,Open The Door,2018-11-02,223600,56,Bad Gyal,4F4pp8NUW08JuXwnoxglpN,123582,60,"rap catalan,trap espanol",0.735,0.846,8,-4.843,1,0.20800000000000002,0.0783,0.0,0.139,0.478,99.93799999999999,4
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,2019-05-31T06:45:27Z,Te Boté (Remix),2018-04-13,417920,83,Nio Garcia,5hdhHgpxyniooUiQVaPxQ0,601398,76,"latin,latin hip hop,reggaeton flow,tropical",0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,4
Ni Gucci Ni Prada,32lexhcz93AinKK0qLTZaZ,2019-05-31T06:45:27Z,Ni Gucci Ni Prada,2018-09-14,175200,79,Kenny Man,6SGvRyZuaSuWmP6IWUKpGf,42087,71,panamanian pop,0.799,0.6759999999999999,2,-5.644,1,0.16899999999999998,0.41,0.0007769999999999999,0.325,0.91,104.956,4
