track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Instagram,0U6bQIAh6MCGo1xjbIIx2S,2019-07-26T08:48:11Z,Instagram,2019-07-05,184558,80,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2499650,79,"belgian dance,belgian edm,big room,deep big room,edm,electro house,progressive electro house,tropical house",0.765,0.906,8,-2.097,0,0.0965,0.125,0,0.423,0.95,96.071,4
Khaleesi,0uvUzG3kHn48Jqx6o0eUdb,2019-07-26T08:48:11Z,Khaleesi,2019-07-26,165000,44,3 Are Legend,6w0JXd2nT27GXVTbsuQ2II,1013,38,,0.49,0.922,2,-3.149,1,0.0837,0.00555,0.644,0.507,0.155,129.989,4
Takeaway (with ILLENIUM & Lennon Stella),6wo37KVqFJhtuxPTpLCcfe,2019-07-26T08:48:11Z,World War Joy...Takeaway,2019-07-24,209893,71,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13120699,90,"edm,electropop,pop,tropical house",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,1
Lone Wolves,6PyiqfQvFFi3KtbZ91thvH,2019-07-26T08:48:11Z,Lone Wolves,2019-07-19,180748,50,MATTN,1RQ3ZwCNI7KniEKIN5kkio,15864,55,"belgian edm,deep big room,sky room",0.679,0.753,7,-4.894,1,0.0349,0.0225,0,0.129,0.311,102.015,4
Never Be Alone (feat. Aloe Blacc),3GT2CBmJWIEdCpHiB31WYK,2019-07-26T08:48:11Z,Never Be Alone (feat. Aloe Blacc),2019-07-26,178670,60,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19357082,89,"dance pop,edm,pop",0.535,0.906,6,-4.699,0,0.0353,0.0202,0.000715,0.0886,0.732,126.012,4
Something Real,6BwClo5W3VvTzJv8bvZXDD,2019-07-26T08:48:11Z,Something Real,2019-07-12,179531,66,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2949938,81,"edm,progressive house,progressive trance,trance",0.575,0.808,1,-4.578,1,0.0439,0.0446,0,0.0693,0.232,127.922,4
These Are The Times (feat. JRM),5YN0zHycJ0Yxz31A5QsVov,2019-07-26T08:48:11Z,These Are The Times (feat. JRM),2019-07-18,188656,71,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10860142,88,"big room,edm,pop,progressive house,tropical house",0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,4
Turn Up,04ahbsJ3AfLwTOXeIimwdH,2019-07-26T08:48:11Z,Turn Up,2019-07-26,253384,50,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2499650,79,"belgian dance,belgian edm,big room,deep big room,edm,electro house,progressive electro house,tropical house",0.616,0.949,1,-3.986,0,0.0546,0.00694,0.00997,0.368,0.101,130.017,4
It Goes Like,1XJn3e5IG7Nsm2g19KIBBa,2019-07-26T08:48:11Z,It Goes Like,2019-06-07,198611,51,Afrojack,4D75GcNG95ebPtNvoNVXhz,2940899,76,"big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house",0.653,0.916,9,-4.403,1,0.0629,0.00323,0.927,0.0988,0.243,128.016,4
Let The Music Take Control,2ItO4ZVCtwEHuLL6ygajGM,2019-07-26T08:48:11Z,Let The Music Take Control,2019-05-17,156449,56,W&W,2rTo8KIkBTFjQS7VvaKYQ4,594157,70,"big room,deep big room,edm,electro house,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.388,0.971,6,-2.274,0,0.149,0.00143,0.091,0.433,0.175,194.956,3
Selfish - Tomorrowland 2013 Aftermovie Remix,28ywYrZxqUIdX7ctAkGrGi,2019-07-26T08:48:11Z,Selfish (Tomorrowland 2013 Aftermovie Remix),2019-07-19,224368,55,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2499650,79,"belgian dance,belgian edm,big room,deep big room,edm,electro house,progressive electro house,tropical house",0.581,0.961,9,-5.431,1,0.0632,0.266,0.709,0.156,0.111,126.195,4
Warchant,3gfb5gbqqoTgJRRaluJqUp,2019-07-26T08:48:11Z,Warchant,2019-07-22,181846,42,D'Angello & Francis,63YpQAD9YjknZPfMVYqyIK,1534,46,"belgian edm,deep big room,sky room",0.669,0.872,2,-8.304,1,0.607,0.0056,0.857,0.71,0.156,129.993,4
The Rhythm,2gvgq9z1ChRgZUqGlAuptJ,2019-07-26T08:48:11Z,The Rhythm,2019-06-20,187500,62,Don Diablo,1l2ekx5skC4gJH8djERwh1,1384234,76,"big room,deep big room,edm,electro house,future house,house,pop,progressive electro house,progressive house,tropical house",0.741,0.908,4,-3.21,0,0.0913,0.367,0.273,0.115,0.206,123.999,4
Small World,4YywWJE5qX9YnvIrRqGCZr,2019-07-26T08:48:11Z,Small World,2019-07-12,196217,47,Angemi,3q5DAsSH8efMqNxjxbdpGx,64784,48,"deep big room,sky room",0.6,0.699,11,-4.639,1,0.165,0.315,1.45e-05,0.115,0.579,191.995,4
We Got That Cool (feat. Afrojack & Icona Pop),2cFK03sObtI6AK3QKeOT5g,2019-07-26T08:48:11Z,We Got That Cool (feat. Afrojack & Icona Pop),2019-06-28,213000,67,Yves V,47BEc2RoW53owMyxacXWdV,199379,67,"belgian edm,big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.639,0.865,1,-5.01,1,0.0357,0.00462,1.26e-06,0.208,0.611,124.01,4
