track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Let The Music Take Control,2ItO4ZVCtwEHuLL6ygajGM,2019-07-26T08:48:11Z,Let The Music Take Control,2019-05-17,156449,56,W&W,2rTo8KIkBTFjQS7VvaKYQ4,594157,70,"big room,deep big room,edm,electro house,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.38799999999999996,0.971,6,-2.274,0,0.149,0.00143,0.091,0.433,0.175,194.956,3
The Rhythm,2gvgq9z1ChRgZUqGlAuptJ,2019-07-26T08:48:11Z,The Rhythm,2019-06-20,187500,62,Don Diablo,1l2ekx5skC4gJH8djERwh1,1384234,76,"big room,deep big room,edm,electro house,future house,house,pop,progressive electro house,progressive house,tropical house",0.741,0.9079999999999999,4,-3.21,0,0.0913,0.36700000000000005,0.273,0.115,0.20600000000000002,123.999,4
We Got That Cool (feat. Afrojack & Icona Pop),2cFK03sObtI6AK3QKeOT5g,2019-07-26T08:48:11Z,We Got That Cool (feat. Afrojack & Icona Pop),2019-06-28,213000,67,Yves V,47BEc2RoW53owMyxacXWdV,199379,67,"belgian edm,big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.639,0.865,1,-5.01,1,0.0357,0.00462,1.26e-06,0.20800000000000002,0.611,124.01,4
The Lights,2tJhsBdtaaD8SJF6m6xBvX,2019-07-26T08:48:11Z,The Lights,2019-03-22,399101,53,Kölsch,2D9Oe8R9UhbMvFAsMJpXj0,126635,60,"danish electronic,minimal techno,tech house,tropical house",0.63,0.8,2,-10.504000000000001,1,0.0409,0.00312,0.779,0.105,0.159,127.00200000000001,4
Truth Never Lies,6BtAaYYlpZ1UGva4Y5IYcI,2019-07-26T08:48:11Z,Truth Never Lies,2019-06-06,191762,51,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,1375897,76,"belgian edm,edm,pop,tropical house",0.6809999999999999,0.631,6,-8.113,0,0.0368,0.146,0.0,0.18600000000000003,0.435,119.958,4
Skank,2GttAPcD4yCa6LldxDZomx,2019-07-26T08:48:11Z,Skank,2019-07-15,149530,49,Fedde Le Grand,7dc6hUwyuIhrZdh80eaCEE,252141,65,"big room,deep big room,disco house,dutch house,edm,electro house,house,progressive electro house,progressive house,tropical house",0.63,0.898,9,-7.182,1,0.0545,0.00374,0.000587,0.337,0.373,128.032,4
Love You Forever,2gqzTQEn4g5ly0n5ScdMx0,2019-07-26T08:48:11Z,Love You Forever,2019-06-21,234609,64,Nicky Romero,5ChF3i92IPZHduM7jN3dpg,1665734,72,"big room,dance pop,deep big room,edm,electro house,pop,pop edm,progressive electro house,progressive house,tropical house",0.382,0.698,6,-3.409,1,0.0374,0.00236,5.24e-05,0.10800000000000001,0.151,127.816,3
This Groove,6ZvLKwgPKlyZtDPkTWjPI7,2019-07-26T08:48:11Z,This Groove,2019-01-25,188174,70,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,750012,73,"big room,dance pop,edm,electro house,future house,house,progressive electro house,progressive house,tropical house",0.823,0.909,1,-4.508,1,0.0635,0.007790000000000001,0.0407,0.126,0.787,124.025,4
All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,2019-07-26T08:48:11Z,All Around The World (La La La),2019-04-05,147840,83,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1717691,84,"big room,dance pop,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.733,0.8590000000000001,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
Snatch,0yTzy8hWBrN0rLlM7oUF7L,2019-07-26T08:48:11Z,Snatch,2019-07-22,181846,41,Bassjackers,6xQvQwZQQuq9R3TdPNbcR8,536041,66,"bass trap,big room,dance pop,deep big room,dutch house,edm,electro house,progressive electro house,tropical house",0.6970000000000001,0.966,8,-3.3960000000000004,1,0.11900000000000001,0.0006519999999999999,0.0672,0.106,0.353,130.016,4
World At Our Feet,4Bl3vhxLgSmTxbHTFR7eyd,2019-07-26T08:48:11Z,World at Our Feet,2019-05-09,203290,69,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,485377,74,"australian dance,catstep,edm,melbourne bounce,melbourne bounce international",0.456,0.7490000000000001,6,-4.843999999999999,0,0.0834,0.00463,0.0,0.192,0.253,137.958,4
