track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Where We Goin',6HVDEt5JIvH2VAvz0AtB6r,2019-07-26T16:13:30Z,Where We Goin',2019-07-26,240000,24,Jinco,2AsCNMhgUuqhs3Sx9Ko5Vq,21185,49,"bass trap,pop edm,traprun",0.562,0.859,5,-3.29,0,0.411,0.15,0.146,0.0794,0.397,184.059,4
Heart of Mine,0Bf0NxgEZAik7D3AEm8E08,2019-07-19T19:42:37Z,Heart of Mine,2019-07-19,217828,39,WE ARE FURY,44Wi4QHWK4CzACCqCyxo3x,8737,48,"bass trap,pop edm,traprun",0.555,0.803,4,-5.812,0,0.0802,0.00906,0.000129,0.0895,0.135,160.004,4
Trust,3fdaMd9fYSPKsbKVDpjsBr,2019-07-19T23:49:54Z,Trust,2019-07-18,199041,39,Nurko,757FXqX0Osk2pqtgv4E5v4,12466,52,"bass trap,pop edm,traprun",0.458,0.749,2,-6.119,1,0.0599,0.0263,1.6e-05,0.131,0.0895,149.88,4
Supernova,3gK67UURanunYFJvK43D3X,2019-07-19T19:42:48Z,Supernova,2019-07-19,179538,39,Eastern Odyssey,6vd0iw9nRnxUADUos1y3j1,3902,46,,0.331,0.786,9,-6.013,0,0.097,0.00814,0.406,0.116,0.208,187.107,4
Heartbeats,4MHQS0NA1D6vUsepLzi1ox,2019-07-25T16:30:41Z,Heartbeats,2019-07-25,196000,28,Fairlane,3L7JnVovGbYSUmRyqhXMYO,4244,49,"pop edm,traprun",0.527,0.683,8,-5.023,1,0.035,0.407,1.92e-06,0.101,0.114,92.986,4
Ruins,7i8GXvGrReuHsXT37XBQUG,2019-06-19T10:33:19Z,Ruins,2019-06-19,243529,48,William Black,7d5SfGXKpgS3JK8BFIq59h,16028,53,"bass trap,pop edm,traprun",0.444,0.723,5,-6.496,1,0.0467,0.0495,0,0.186,0.241,170.008,4
Exit Alive,6XICw3yD33keSaMNmqN5yY,2019-06-10T04:20:03Z,Exit Alive,2019-06-10,192000,46,KLOUD,24Hb4GKFYquK73R8mTyInu,22754,52,"bass trap,pop edm,traprun",0.542,0.953,7,-1.47,1,0.0754,0.00353,0.00014,0.14,0.114,114.986,4
Critical Mass,3KjTsg8hHFhqD5qw1nZ03r,2019-06-28T15:04:10Z,Critical Mass,2019-06-28,196153,44,Eastern Odyssey,6vd0iw9nRnxUADUos1y3j1,3902,46,,0.287,0.65,7,-6.51,1,0.0416,0.0913,0.000859,0.103,0.129,156.262,4
In Your Head,4Mu51fG067jj9sUT7yxNxf,2019-07-25T16:30:50Z,In Your Head,2019-07-25,193800,23,Vince Johnson,3F06nUwhnESrprceJi8TVb,159,34,,0.502,0.829,7,-6.398,0,0.157,0.067,0.0909,0.233,0.15,75.088,4
Meant for Two,6cuXCyYfeRwy5E2h94x5Vf,2019-07-18T18:52:38Z,Miles Away,2019-07-18,200000,35,Miles Away,3V8H59FqUdudlO1Fl019tg,5222,43,pop edm,0.539,0.846,5,-2.922,1,0.0325,0.162,0,0.0861,0.444,150.115,4
Feel Real Pretty,58L9BLQuOAwAzHhCvTpp3l,2019-07-26T16:59:13Z,Feel Real Pretty,2019-07-26,183127,17,Paper Idol,6dewigIOIcG6m1XGsG4Mc3,207,34,,0.69,0.834,2,-4.155,1,0.0672,0.455,0.00038,0.066,0.313,108.032,4
Desolation,0FbiW4YAlE72qFwMMpkYB1,2019-07-23T23:06:55Z,Desolation,2019-07-23,227005,26,Rizó,7hyFSqlT3o7RdXFnUtJ7C2,25,16,,0.603,0.706,11,-8.739,0,0.14,0.0454,0.00846,0.464,0.0849,120.049,4
No Light,2Po0ewwcbL5Gkm1lDwx1D0,2019-07-26T17:10:40Z,No Light,2019-06-20,157702,36,Local Jane,12Ctg71JhqUZqssvBNzL8Y,430,38,,0.61,0.425,10,-9.258,1,0.0369,0.327,0.000352,0.0739,0.146,83.043,4
Don’t Tame Your Heart,7cHmhajxwXyY8sclA1tKHW,2019-07-10T19:49:39Z,Don’t Tame Your Heart,2019-07-10,203443,38,Akylla,5Ad8YPmqQf2tay2SZ8NxWY,2283,50,,0.492,0.928,5,-3.147,0,0.18,0.0158,0.552,0.112,0.115,75.533,4
Lovely,4rCkOvQzY9ho7lZvRViM0O,2019-05-22T14:48:01Z,Lovely,2019-05-22,187794,50,Midsplit,5FDIxEGRvg8QrMoNr9BoFl,3481,50,pop edm,0.623,0.494,4,-7.521,0,0.0618,0.147,0,0.275,0.26,115.132,5
I Can Explain,3mcONY761EJTp2emSrzPZG,2019-07-26T16:57:19Z,I Can Explain,2019-07-26,198058,15,Dreweybear,5HDqj7lexto9EPJ42uS2dM,1650,39,pop edm,0.562,0.701,6,-5.592,1,0.142,0.0883,0.000256,0.1,0.254,102.978,4
Pins & Needles - Xan Griffin Remix,0HBImKYUH1S14K9WX1JTGI,2019-06-28T16:35:21Z,Pins & Needles (Xan Griffin Remix),2019-06-27,211706,44,888,2KOCXIEmkM6K82nL9fovWf,18928,46,"indie poptimism,modern rock",0.666,0.672,5,-7.373,0,0.0584,0.0227,0.000141,0.316,0.229,100.027,4
What You Promised,4fxeVw0mf5eHVvunUtcVZG,2019-05-24T02:54:13Z,What You Promised,2019-05-23,262400,48,Fairlane,3L7JnVovGbYSUmRyqhXMYO,4244,49,"pop edm,traprun",0.367,0.645,11,-6.432,0,0.0408,0.189,0,0.105,0.0742,149.955,4
Lost in Cosmos,2d4efDrZeAmssmRe0If2To,2019-07-18T02:19:18Z,Lost in Cosmos,2019-07-17,260281,35,Kozah,0g6PJw04eyN85JxQAGGdF4,3972,38,tracestep,0.398,0.358,9,-15.553,0,0.0463,0.0133,0.874,0.0976,0.122,142.031,4
Sad Machine,5aiVLddOSCg7Kfod1pHM3L,2019-06-17T02:41:16Z,Sad Machine,2018-12-17,200388,46,KLOUD,24Hb4GKFYquK73R8mTyInu,22754,52,"bass trap,pop edm,traprun",0.564,0.908,0,-2.596,0,0.0365,0.0622,4.48e-06,0.0546,0.0434,103.058,4
Take Me Away,4LCHdYY8N6Sfr6oATHgvfI,2019-07-18T18:52:31Z,Miles Away,2019-07-18,189333,33,Miles Away,3V8H59FqUdudlO1Fl019tg,5222,43,pop edm,0.554,0.752,10,-5.065,1,0.0314,0.225,2.41e-05,0.108,0.299,89.97,4
My Stranger,3PNWosEIngPV0X6Ed3JcVg,2019-07-12T17:54:23Z,My Stranger,2019-07-12,184562,41,Egzod,3exvMmrLV6o4R42YnG3Id6,14145,51,"bass trap,pop edm,tracestep,traprun",0.379,0.797,5,-2.31,0,0.132,0.154,0,0.149,0.579,79.487,4
Clear,44B4IuFC7wGUA8OtSkmv68,2019-07-18T18:52:51Z,Miles Away,2019-07-18,194877,36,Miles Away,3V8H59FqUdudlO1Fl019tg,5222,43,pop edm,0.582,0.79,10,-3.94,1,0.031,0.484,5.14e-06,0.0703,0.493,122.05,4
Stressed,1tpwqjONs6ZtU4nXkeiFoz,2019-07-25T20:21:04Z,Stressed,2019-04-22,216102,31,Hendrik Joerges,7ukSLS2KWA8iasHfAayR9Y,284,23,south african electronic,0.539,0.72,2,-6.147,1,0.314,0.00812,0.000327,0.117,0.332,170.099,3
Bumpa,5pkvY9fHzQSFFVnbsbAL8D,2019-06-28T16:36:12Z,Bumpa,2019-06-28,150400,39,No ExpressioN,6RNcIa7VcxBBIgW6boctFo,653,37,,0.474,0.905,3,-5.151,0,0.107,0.00142,0.0891,0.119,0.109,74.987,4
Sad City,5PTt9ecypmVvBFP6dFiWMG,2019-07-18T18:53:01Z,Miles Away,2019-07-18,272692,34,Miles Away,3V8H59FqUdudlO1Fl019tg,5222,43,pop edm,0.639,0.571,8,-5.02,0,0.0329,0.25,0,0.0886,0.224,129.96,4
On the Line,7pS9bOFyI75UZNoxPNC94v,2019-06-28T12:14:36Z,On the Line,2019-06-28,185200,44,Coopex,3UV0wVQkft6lKLDGioqnyO,2891,49,traprun,0.456,0.794,11,-4.076,0,0.141,0.266,0.0152,0.119,0.375,75.079,4
Looking For Love,6egF6gwtOJrePFjFpEaes0,2019-05-09T19:58:09Z,Looking For Love,2019-05-09,182210,44,Mickey Valen,2tLI4kPsmsxQQv6zr2jbgt,25390,53,"bass trap,pop edm,traprun",0.626,0.604,10,-8.714,1,0.117,0.352,0,0.158,0.528,94.913,4
Alone Tonight,3OrI4BRxnQpNR6XX99R8GW,2019-06-24T13:07:30Z,Alone Tonight,2019-06-24,224090,41,Miles Away,3V8H59FqUdudlO1Fl019tg,5222,43,pop edm,0.519,0.663,0,-4.932,0,0.0291,0.14,0.000124,0.0976,0.232,82.493,4
Catch You in My Arms,4m4SB61NXgwmfZm37incal,2019-06-26T13:58:48Z,Catch You in My Arms,2019-06-26,201142,40,Serion,1daCx1huhWZa5aLc1KK9hs,717,40,traprun,0.361,0.46,11,-5.656,0,0.029,0.546,8.01e-06,0.112,0.0989,104.517,4
Faded,5yY2lR4QHWL1HYH8OhgyN8,2019-07-17T20:08:22Z,Faded,2019-07-11,163809,39,Vincent Vega,0E12vlkHPo6r1y8gWEkZwL,119,30,,0.87,0.643,1,-5.606,0,0.122,0.0436,0.0254,0.0405,0.229,125.978,4
Take Me,2OhU1KU1cqMi2bKC8dNY2g,2019-07-12T20:40:11Z,Take Me,2018-07-27,192000,51,William Black,7d5SfGXKpgS3JK8BFIq59h,16028,53,"bass trap,pop edm,traprun",0.479,0.746,4,-6.0,1,0.178,0.00914,3.38e-05,0.117,0.322,159.99,4
All This Time,4TuvHqO2eChzq9HfbRyh4o,2019-07-03T00:40:57Z,All This Time,2019-07-02,182465,38,Paapi Muzik,2eAml1qDYCL6t4AoboTe3V,1202,37,traprun,0.481,0.982,7,-2.793,0,0.0661,0.00907,0.656,0.571,0.121,145.838,4
Dark Down Below,39VDXMLHu8Zdezi5P8d6sX,2019-06-17T02:41:12Z,Dark Down Below,2018-02-27,235354,48,KLOUD,24Hb4GKFYquK73R8mTyInu,22754,52,"bass trap,pop edm,traprun",0.473,0.937,10,-2.307,1,0.068,0.0171,0.000338,0.151,0.267,155.019,4
Clouds,3MoXQg8SRIdaA1QKro5H4n,2019-06-11T23:25:48Z,Clouds,2019-06-11,223369,44,Nurko,757FXqX0Osk2pqtgv4E5v4,12466,52,"bass trap,pop edm,traprun",0.569,0.587,7,-6.448,0,0.0378,0.135,5.49e-05,0.0843,0.158,138.034,4
I Want Your Soul,2BHaCW8suuDdHWtY4TRj0g,2019-05-17T16:50:52Z,I Want Your Soul,2019-05-17,169600,41,Mike Hawkins,0eW2N88UpBG0giW7LJOaY2,9427,42,"danish electronic,deep big room",0.415,0.896,1,-3.548,1,0.0779,0.00938,5.99e-05,0.189,0.372,150.083,4
Zombie,73n5x5KXZ2EaEX2FCF0AYt,2019-07-11T19:45:48Z,Zombie,2019-07-11,171789,52,Besomorph,619CzMJPPWrCeZwx5qw6ko,8501,56,"bass trap,traprun",0.578,0.755,8,-3.999,1,0.0373,0.0854,0,0.135,0.127,95.118,4
Take Me To Eterna,69JDa3U7G0hu9v5uExNEbC,2019-07-12T16:57:06Z,Take Me To Eterna,2019-07-12,194000,45,Sweater Beats,62Jfwxon19ZOT9eSL6bvtY,38868,52,"gauze pop,vapor twitch",0.64,0.45,5,-9.784,0,0.0495,0.0437,3.16e-06,0.111,0.215,116.175,3
SOS,3aTLvVNvgMJQEH9FXKSuDo,2019-06-10T18:46:45Z,SOS,2019-06-10,165600,39,Cafe Disko,7x6KEmSwlWNo0d628uyi7W,841,41,,0.621,0.523,9,-6.985,0,0.0563,0.0234,0.000239,0.0771,0.349,99.955,4
Giants - Fairlane Remix,3HnZlQ3AlfsyinzMecBioP,2019-07-02T01:13:09Z,Giants (Fairlane Remix),2019-07-02,199741,43,Jackson Guthy,5n4GpmlM9nTuOiMWpQhHKo,4688,46,,0.425,0.738,10,-5.26,1,0.038,0.205,0,0.115,0.263,154.686,4
Satisfied,7939IqCM95CPnCmEqYnmVQ,2019-06-17T02:41:18Z,Satisfied,2018-03-27,230400,47,KLOUD,24Hb4GKFYquK73R8mTyInu,22754,52,"bass trap,pop edm,traprun",0.479,0.912,0,-1.493,1,0.0418,0.0716,0,0.154,0.111,149.9,4
Feel That Way,3kl8KxcJL3RFXw6olRgvjI,2019-06-22T14:22:34Z,Feel That Way,2019-06-21,158400,40,Ascence,4nE5XDjvi5Gd4XbVnHGjnE,342,41,,0.638,0.876,7,-4.725,1,0.0362,0.0191,0.241,0.364,0.282,150.013,4
By My Side,1HtqhI19YOBclfQvyOO9HQ,2019-05-01T06:03:30Z,By My Side,2019-05-01,234099,47,T-Mass,0M3cZtjQZ8fz3Hbw1A4CwF,25993,56,"bass trap,pop edm,tracestep,traprun",0.477,0.808,6,-4.517,0,0.0561,0.00765,3.41e-05,0.179,0.262,145.07,4
The Real and No Lie,7DjqrrU9jqzFmPY76aBCiu,2019-06-21T13:34:53Z,The Long Way Home,2019-06-20,256000,39,Cozmoe,2krDA9qCEfYKl4QjZcruhy,628,41,,0.673,0.486,8,-9.944,1,0.0642,0.372,0.00909,0.0773,0.42,119.888,4
Haunted,1A9oxSkV70Q1dR49D6sXEz,2019-07-08T20:52:14Z,Chasing Channels,2019-06-28,212783,43,SMLE,1JV42BPeocUJ0EyQh8ug6V,35433,56,"bass trap,electronic trap,indie electro-pop,pop edm,vapor soul,vapor twitch",0.747,0.585,11,-6.376,0,0.048,0.144,0,0.0757,0.713,97.03,4
Need You,37IQfQuHKnLizXpfDAlZ9p,2019-06-24T13:04:45Z,Need You,2019-06-21,175026,37,Adam Pearce,0AhdWP01wLAKxDfhsKMEKf,1944,37,canadian electronic,0.553,0.823,1,-6.066,1,0.0346,0.00161,0.814,0.18,0.255,154.057,4
Even LA,0YJAIuYxABIhVNlZIWcnrW,2019-06-07T21:46:17Z,Even LA,2019-06-07,180326,40,Snareskin,5sDdzMVQgnGZ0nND3WvByB,2975,39,,0.699,0.602,4,-6.684,0,0.041,0.351,0.000159,0.44,0.499,91.996,4
Rise,7hv61N4rjK2jE1UZImi00Y,2019-07-26T16:54:21Z,Rise,2019-07-12,154285,49,Project North,62jASYmQeTEGVbi15HNzrW,710,47,,0.567,0.797,3,-5.44,0,0.0599,0.311,0,0.119,0.37,139.979,4
Together - Mind Boi Remix,16ZXKCiZBtOpb7suT06Z8l,2019-06-24T17:56:38Z,Together (Mind Boi Remix),2019-06-20,217562,36,Coopex,3UV0wVQkft6lKLDGioqnyO,2891,49,traprun,0.829,0.798,10,-8.324,0,0.0562,0.0312,0.13,0.108,0.0916,127.977,4
Save Me,17HlB609ZIctqF7IreLSZm,2019-06-17T12:13:57Z,Save Me,2019-06-17,180703,38,Alson,0AvfGsk9Lpig9OlExb4AGy,4450,31,,0.379,0.705,4,-4.78,0,0.0581,0.263,1.58e-05,0.381,0.185,144.161,4
Raise Your Weapon,3SqWoSoUaMH6knKwppoo9D,2019-06-17T02:41:21Z,Raise Your Weapon,2019-02-26,264827,47,KLOUD,24Hb4GKFYquK73R8mTyInu,22754,52,"bass trap,pop edm,traprun",0.394,0.864,1,-2.8,1,0.0551,0.0549,0.000106,0.127,0.106,116.276,4
Talking Backwards,6CBYzl0JHFFw3AQ21k5y8s,2019-06-11T23:25:39Z,Talking Backwards,2019-06-11,250125,39,S1LVA,4X24y3TKr7zo6fABP7eUwo,121,29,,0.452,0.627,6,-8.017,1,0.0814,0.104,0,0.112,0.458,80.045,4
Atlas,32yiIetEKIhKAUOCEjIJBp,2019-06-04T16:21:44Z,Atlas,2019-06-04,195314,38,LBLVNC,7vAi1lm9yxFrqh15TrhxcH,2343,47,traprun,0.551,0.884,2,-7.652,0,0.0491,0.109,0.926,0.12,0.247,145.053,4
Back to You,6K70qpQ6aBI9L36hxJEUgH,2019-06-19T00:39:13Z,Back to You,2019-06-12,246896,38,Matt Melody,4PdLhA2Moi2yFREzce8Efn,20,29,,0.481,0.833,2,-3.177,0,0.348,0.171,0,0.129,0.297,174.354,4
Like A Ghost,7vQ572vjXHlBS8rW5IlNHZ,2019-04-24T22:49:24Z,Like A Ghost,2019-04-23,155520,37,Hahlweg,6rTFfPwNNFIpBOdBShd47e,225,32,,0.35,0.48,9,-10.133,0,0.0564,0.15,0,0.111,0.223,120.661,5
