track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Santeria (feat. DIVMOND),1R1JeXOpEA9EpKr76ucscT,2019-05-28T14:35:55Z,Santeria (feat. DIVMOND),2019-04-19,169756,46,Cafe Disko,7x6KEmSwlWNo0d628uyi7W,729,43,,0.67,0.643,9,-6.347,0,0.11199999999999999,0.0654,1.15e-05,0.115,0.0938,163.989,4
Hate You,71DLxb3S41hqGW9Z6XPb9g,2019-04-15T15:56:04Z,You,2019-03-18,164477,42,EBEN,02J7bo06ZZ1XmSGochlWak,5796,50,"bass trap,traprun",0.546,0.889,9,-4.648,0,0.0903,0.0933,0.0,0.0601,0.395,85.015,4
Lost On You,7vxmoztzvIvdoHUIbLlXdS,2019-03-27T14:40:49Z,Lost On You,2019-03-27,246007,39,Levianth,1kTBGIBgFuqaxbdeXX3L6H,5071,45,traprun,0.27,0.797,3,-4.752,0,0.109,0.0738,9.67e-05,0.0618,0.32299999999999995,159.561,4
Arrival,5UN12ykWrk2wIIlfNGSVbp,2019-05-07T00:01:29Z,Arrival,2017-03-29,192000,38,temi vila,12sRkliUUHprIE3TBEeRFk,8,26,,0.35700000000000004,0.857,3,-4.928999999999999,0,0.133,0.27899999999999997,0.00028700000000000004,0.10400000000000001,0.0398,139.997,4
6 Years,6fIyKcBK4P0Ajki4h4cjtL,2019-03-22T22:19:44Z,6 Years,2019-03-13,239777,39,Ryan Exley,6QKIFtoqBYaNigkPHIk5x2,587,42,,0.484,0.7240000000000001,1,-5.184,0,0.0479,0.0512,0.0,0.298,0.302,134.91899999999998,4
Êta,7ve5Vmmsoz8LWLmykIrjur,2019-03-04T19:17:55Z,Êta,2019-02-21,210900,40,TOMYGONE,26eFErXoXd0kvaoJ9jxRzH,1932,45,"bass trap,traprun",0.5,0.867,10,-5.297000000000001,0,0.0913,0.00615,0.000155,0.693,0.324,149.963,4
Hummingbird,6UxHlaBmO3Qt6rZ6pAzsAU,2019-02-21T16:59:31Z,Hummingbird,2019-02-21,176250,40,Calidora,7IPWzM9aTlKXBE2o8Hl4Fj,182,30,,0.527,0.7809999999999999,8,-5.001,0,0.0618,0.0894,0.0,0.0988,0.488,160.08700000000002,4
Burning Alive,5FN1qN680GO9MJ7rs5wyb7,2019-03-01T19:38:50Z,Black,2019-02-22,202880,50,8 Graves,1YznSk5tLLp9BnzuNgghrZ,10909,52,bass trap,0.595,0.6729999999999999,4,-5.222,1,0.0295,0.013000000000000001,0.0,0.292,0.315,90.009,4
Taintless,3bxGrw7wcuxccqEKZwOYff,2019-02-18T18:26:36Z,Taintless,2019-02-13,159857,41,Besomorph,619CzMJPPWrCeZwx5qw6ko,6835,54,"bass trap,traprun",0.609,0.698,4,-6.7010000000000005,0,0.0734,0.0335,0.312,0.106,0.133,139.873,4
Surrender,0tr1XmZVq8zOwzQwFcMzwH,2019-02-21T17:38:48Z,Surrender,2019-02-19,225883,40,Nick Ledesma,14TpyioQvZ03yjHmfzAjoY,249,31,,0.474,0.777,9,-2.497,1,0.0513,0.207,3.11e-06,0.319,0.251,80.021,4
Fall Again,2tG9WAR5Snlgu2I5s5WxSO,2019-02-08T21:12:48Z,Fall Again,2019-02-06,198399,45,Gidexen,1AEAseKJB04qThZcGi1NgT,1502,47,"bass trap,traprun",0.508,0.89,5,-4.375,0,0.0345,0.00037,0.705,0.265,0.115,150.0,4
You,2fZyOX136giAeHaHdJFRKL,2019-01-25T20:37:30Z,You,2019-01-23,138234,43,Besomorph,619CzMJPPWrCeZwx5qw6ko,6835,54,"bass trap,traprun",0.521,0.715,10,-7.377999999999999,0,0.121,0.133,4.07e-05,0.129,0.233,80.08,4
