track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I’m Fine,53OLyqsuHE2Kzhex8FdBQu,2019-08-22T14:52:32Z,Pages,2019-08-22,210434,35,William Black,7d5SfGXKpgS3JK8BFIq59h,17577,55,"bass trap,edm,pop edm,traprun",0.662,0.653,2,-6.152,1,0.0526,0.19,2.65e-05,0.11699999999999999,0.159,137.985,4
Never Be the Same,73Jh8C0GJnbzQJyuH4gVI1,2019-08-22T14:52:46Z,Pages,2019-08-22,222857,31,William Black,7d5SfGXKpgS3JK8BFIq59h,17577,55,"bass trap,edm,pop edm,traprun",0.534,0.805,11,-4.543,0,0.0396,0.0676,1.72e-06,0.27699999999999997,0.332,140.07299999999998,4
Searching,7aeqJxen6FVx2kg2kXIMsn,2019-08-21T21:53:41Z,Searching,2019-08-21,202285,28,ATLAST,71PKfAxQ0TtvYl2dzZZsUI,3180,35,,0.5379999999999999,0.7879999999999999,3,-5.207999999999999,0,0.0453,0.0044399999999999995,0.000709,0.581,0.0399,139.876,4
Mistakes of My Youth,6iguwEh9zLJ8hSqwlku4I2,2019-08-22T14:52:01Z,Mistakes of My Youth,2019-08-22,163200,25,Kwesi,320LkiSxenwJtoxQ9SZ1eV,1028,53,,0.78,0.49200000000000005,0,-6.7829999999999995,1,0.29100000000000004,0.261,3.18e-06,0.13,0.331,149.856,4
Choked,6Q1p426rWzMFP1cpv2mpCP,2019-08-23T23:24:14Z,Into the Void,2019-08-23,164583,3,Kozah,0g6PJw04eyN85JxQAGGdF4,4091,41,tracestep,0.493,0.77,9,-7.645,0,0.0391,0.00046399999999999995,0.0,0.257,0.0668,138.006,4
i h8 u,31elSW7245PVHWSUFNhGT8,2019-08-19T10:48:12Z,i h8 u,2019-08-19,202036,34,PHYNX,4zNlJjr1naTHNEygEACgD5,120,29,,0.58,0.72,11,-4.296,1,0.0836,0.0381,0.0,0.107,0.298,170.03900000000002,4
Skydive,4lHHPkgAx0zrDJIqiNf3Ot,2019-08-23T23:24:52Z,Into the Void,2019-08-23,246000,3,Kozah,0g6PJw04eyN85JxQAGGdF4,4091,41,tracestep,0.5529999999999999,0.635,6,-8.56,0,0.064,0.0147,0.0105,0.15,0.33399999999999996,179.90400000000002,4
Dying Day,4Hl8ic3yZFBcZXaWLfzRO0,2019-08-22T14:52:39Z,Pages,2019-08-22,188800,30,William Black,7d5SfGXKpgS3JK8BFIq59h,17577,55,"bass trap,edm,pop edm,traprun",0.597,0.6809999999999999,7,-7.212000000000001,0,0.105,0.25,0.0,0.0817,0.24600000000000002,149.982,4
Try,073XTJ9yGyIZIlQ7OEigRu,2019-08-21T21:52:53Z,Try,2019-08-21,187272,25,Snareskin,5sDdzMVQgnGZ0nND3WvByB,3042,40,,0.753,0.807,0,-6.428,0,0.11199999999999999,0.0652,0.000153,0.209,0.544,131.895,4
Breathe,1lhW7l3MlAmIfZN1Mz7Dt9,2019-08-20T14:31:16Z,Breathe,2019-08-20,212615,28,dabl,5fk3KGv5y9AzvEZJG4yZW9,71,36,,0.498,0.623,8,-8.812999999999999,0,0.11800000000000001,0.384,0.000241,0.0742,0.0864,156.984,4
Miss It,1tlnuUy7l9iA2tFxPCueJT,2019-08-22T14:53:17Z,Pages,2019-08-22,198400,30,William Black,7d5SfGXKpgS3JK8BFIq59h,17577,55,"bass trap,edm,pop edm,traprun",0.555,0.722,0,-4.971,0,0.0393,0.0523,0.0,0.114,0.265,150.056,4
Deep Blue,5v51fJZB0MEfhdg4RBR7jK,2019-08-22T14:53:11Z,Pages,2019-08-22,201600,30,William Black,7d5SfGXKpgS3JK8BFIq59h,17577,55,"bass trap,edm,pop edm,traprun",0.564,0.722,11,-5.452999999999999,1,0.0444,0.5660000000000001,1.26e-06,0.32299999999999995,0.244,150.04,4
Drown the Sky,5z7G4XEvYV76LCymt9xg1N,2019-08-22T14:52:57Z,Pages,2019-08-22,221793,28,William Black,7d5SfGXKpgS3JK8BFIq59h,17577,55,"bass trap,edm,pop edm,traprun",0.495,0.7140000000000001,5,-5.058,1,0.0369,0.257,0.0,0.105,0.242,144.882,4
BODY,2NjljSTMMopdS3rYsJxGAa,2019-08-21T23:46:32Z,DARK VIBE ORDER,2019-08-02,208941,42,LICK,62R6OE0R9RB43aSCyzVOxs,6171,45,experimental bass,0.488,0.674,9,-6.343999999999999,0,0.0729,0.0129,0.00785,0.125,0.37,170.046,4
Back Together,7MD5qMLhP1Xll1yACGFR2h,2019-08-22T14:53:05Z,Pages,2019-08-22,211666,27,William Black,7d5SfGXKpgS3JK8BFIq59h,17577,55,"bass trap,edm,pop edm,traprun",0.537,0.6970000000000001,1,-4.58,0,0.0385,0.132,0.0,0.10400000000000001,0.228,144.009,4
Ruins,29a1MGb3WfxfPUUQl40gYA,2019-08-22T14:52:18Z,Pages,2019-08-22,243529,27,William Black,7d5SfGXKpgS3JK8BFIq59h,17577,55,"bass trap,edm,pop edm,traprun",0.444,0.723,5,-6.496,1,0.0467,0.0495,0.0,0.18600000000000003,0.24100000000000002,170.00799999999998,4
