track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,2019-05-23T13:12:31Z,Not Ok,2019-05-23,210943,0,Kygo,23fqKkggKUBHNkbKtXEls4,4871863,88,"edm,pop,tropical house",0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,4
'74 - '75 (feat. Susan Tyler) - Radio Edit,1VpoazEusm1ki8hoSK49ua,2019-05-15T12:13:58Z,'74 - '75 (feat. Susan Tyler),2019-02-08,197000,57,Paolo Pellegrino,3ewQZ4iDkC9CQzceitueXe,182,47,,0.635,0.815,11,-4.303,0,0.0351,0.185,0.000125,0.322,0.522,99.979,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-05-15T12:13:58Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,88,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10105951,87,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
On My Way,4n7jnSxVLd8QioibtTDBDq,2019-05-15T12:13:58Z,On My Way,2019-03-21,193797,90,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,9582077,89,tropical house,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,2019-05-15T12:13:58Z,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215315,89,Kygo,23fqKkggKUBHNkbKtXEls4,4871863,88,"edm,pop,tropical house",0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,4
Think About You,3Kuu5vASpXK8oRsxOvau6P,2019-05-15T12:13:58Z,Think About You,2019-02-14,208566,79,Kygo,23fqKkggKUBHNkbKtXEls4,4871863,88,"edm,pop,tropical house",0.673,0.596,10,-7.891,1,0.0354,0.166,0,0.11,0.19,123.969,4
We Got It All (feat. MPH),3GE52DOmiSQ2R3FHGmYSif,2019-05-15T12:13:58Z,We Got It All (feat. MPH),2019-05-03,166266,55,Sick Individuals,0XqFDQJjqW5PfhfBCb53LR,112154,62,"big room,deep big room,dutch house,edm,electro house,pop edm,progressive electro house,progressive house,sky room,tropical house",0.712,0.744,4,-5.496,1,0.0447,0.017,1.25e-05,0.532,0.615,107.968,4
What It Is,4KO0QD8sEFfn8hgwnqOyjU,2019-05-15T12:13:58Z,What It Is,2019-03-22,186285,55,Roman Müller,3nFw6mPGG5Uj2YS7IyaGEF,1043,50,beach house,0.597,0.722,1,-6.434,1,0.111,0.0169,0,0.0742,0.428,104.951,4
Comfort Zone (feat. Quarterhead),4tvULOtQiimA3XkmRl9xVn,2019-05-17T12:16:49Z,Comfort Zone (feat. Quarterhead),2019-05-17,180133,54,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,210507,73,"deep euro house,german dance,tropical house",0.719,0.627,1,-7.286,0,0.0311,0.00252,0.0536,0.262,0.567,119.913,4
Happy Now,14sOS5L36385FJ3OL8hew4,2019-05-15T12:13:58Z,Happy Now,2018-10-26,211362,83,Kygo,23fqKkggKUBHNkbKtXEls4,4871863,88,"edm,pop,tropical house",0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,4
Talk - Alle Farben Remix,06BrHnTVDOydsfg0LZ6mQb,2019-05-15T12:13:58Z,Talk (Alle Farben Remix),2019-04-04,167990,57,Khalid,6LuN9FCkKOj5PcnpouEgny,6444858,97,pop,0.638,0.818,9,-4.517,0,0.05,0.131,1.78e-05,0.107,0.489,126.015,4
When I Needed You,384cCGcuBBTfOFDRdxGppm,2019-05-24T14:26:37Z,When I Needed You,2019-05-24,152542,0,Hayes,5YeNR0H8X50Z8ui66jFAUD,68,38,,0.763,0.755,0,-3.43,0,0.0437,0.171,1.9e-05,0.0984,0.64,117.923,4
Somebody Like Me (feat. ORKID),1qxGBjpZ7syYNTDiXStNAL,2019-05-15T12:13:58Z,Somebody Like Me (feat. ORKID),2019-03-01,196515,55,State of Sound,05o1zW8b6PV6rEquXr74sB,25834,58,"deep tropical house,swedish tropical house,tropical house",0.692,0.724,7,-6.669,0,0.0294,0.0277,0.000861,0.0852,0.534,125.974,4
They Say,4qdLJjmRXMWKobi1xRJ4zT,2019-05-17T12:17:28Z,They Say,2019-05-17,208500,37,Alex Fosse,17BO6YsrjL8HHULcAmIH1E,71,28,,0.736,0.704,6,-6.534,0,0.0565,0.00818,0,0.137,0.235,100.01,4
Broken Hearts,1oXyjAY4Zxl3oABikQmL6c,2019-05-15T12:13:58Z,Broken Hearts,2019-04-19,150041,56,Davai,0xZvYTiM5QT94j1abOm0nC,3319,58,norwegian pop,0.861,0.801,11,-4.737,0,0.0673,0.183,2.23e-06,0.19,0.866,101.998,4
