track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,2019-07-26T09:10:16Z,No.6 Collaborations Project,2019-07-12,197866,84,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010718,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
Señorita,0TK2YIli7K1leLovkQiNik,2019-07-26T09:10:16Z,Señorita,2019-06-21,190960,100,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,18463496,95,"canadian pop,dance pop,pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,2019-07-26T09:10:16Z,No.6 Collaborations Project,2019-07-12,219946,83,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010718,100,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,2019-07-26T09:10:16Z,Divinely Uninspired To A Hellish Extent,2019-05-17,205686,77,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,844508,87,pop,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,4
Cross Me (feat. Chance the Rapper & PnB Rock),4wuCQX7JvAZLlrcmH4AeZF,2019-07-26T09:10:16Z,No.6 Collaborations Project,2019-07-12,206186,81,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010718,100,"pop,uk pop",0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,4
Sorry,6y1UtRcHQU07aUs3oxZ8Yn,2019-07-26T09:10:16Z,Sorry,2019-04-05,188640,65,Joel Corry,6DgP9otnZw5z6daOntINxp,8922,59,"deep groove house,house,uk dance",0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,4
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-07-26T09:10:16Z,Wish You Well,2019-05-24,205653,78,Sigala,1IueXOQyABrMOprrzwQJWN,872800,78,"dance pop,edm,pop,tropical house",0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964,4
So High (feat. Fredo),5aubXDnDNVKA5pS7EnR0mp,2019-07-26T09:10:16Z,So High (feat. Fredo),2019-07-04,163142,73,MIST,63X1WKthLQidtqxxO2sgeq,166719,67,"birmingham grime,birmingham indie,grime,uk hip hop",0.866,0.714,6,-6.107,1,0.22,0.00612,1.88e-05,0.0787,0.384,108.005,4
Ladbroke Grove,7b4ky1LlQLFhXHmhZkFgqV,2019-07-26T09:10:16Z,AJ Tracey,2019-02-08,190537,76,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,289487,77,"grime,uk drill,uk hip hop",0.903,0.839,11,-9.447,0,0.208,0.0939,0,0.102,0.727,133.986,4
Lalala,51Fjme0JiitpyXKuyQiCDo,2019-07-26T09:10:16Z,Lalala,2019-06-28,160626,85,Y2K,6USMTwO0MNDnKte5a5h0xx,24948,78,,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,4
Crown,1hxE8xAp7CrBsdpiRpiWFy,2019-07-26T09:10:16Z,Crown,2019-06-21,213463,77,Stormzy,2SrSdSvpminqmStGELCSNd,925337,82,,0.542,0.581,9,-5.687,1,0.159,0.701,1.02e-06,0.0741,0.0857,108.909,4
Simmer (feat. Burna Boy),4JSEMSiKPVcIEBQIlmGuI3,2019-07-26T09:10:16Z,Simmer (feat. Burna Boy),2019-07-03,167680,66,Mahalia,16rCzZOMQX7P8Kmn5YKexI,194096,68,"alternative r&b,indie anthem-folk,indie r&b,r&b,uk contemporary r&b",0.695,0.746,5,-3.952,0,0.0482,0.227,0,0.254,0.576,91.698,4
Mad Love,79JBjIq90BrQ8Ws0pUhlzD,2019-07-26T09:10:16Z,Mad Love,2019-06-07,169813,85,Mabel,1MIVXf74SZHmTIp4V4paH4,322849,82,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.622,0.796,0,-2.999,0,0.172,0.667,0,0.106,0.62,197.705,4
Naked Alone,2C1V8JFnm2OqZVkHhNu4qe,2019-07-26T09:10:16Z,Naked Alone,2019-05-17,217565,57,L Devine,5dhyUSoGhz79WTzP39vKs4,27985,52,"electropop,indie cafe pop,indie electro-pop,indie poptimism,uk pop",0.9,0.527,7,-5.445,1,0.0449,0.0291,0.000536,0.31,0.702,104.978,4
One Touch,5EKiBMhzRLALeGDPdoAKkQ,2019-07-26T09:10:16Z,One Touch,2019-05-24,197875,76,Jess Glynne,4ScCswdRlyA23odg9thgIO,1668348,82,"dance pop,pop,post-teen pop,tropical house,uk pop",0.686,0.693,0,-6.245,0,0.131,0.329,0,0.136,0.699,124.206,4
It's You,6moU77g9RQyMzHNuKEaQKq,2019-07-26T09:10:16Z,It's You,2019-06-14,212606,88,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,170633,80,"canadian hip hop,pop",0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-07-26T09:10:16Z,"Don't Forget About Me, Demos",2018-10-16,177666,85,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,118466,77,alternative pop rock,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-07-26T09:10:16Z,Magnets EP,2019-05-24,174444,85,Sam Feldt,20gsENnposVs2I4rQ5kvrf,379029,80,"deep tropical house,edm,electro house,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-07-26T09:10:16Z,Higher Love,2019-06-28,228267,87,Kygo,23fqKkggKUBHNkbKtXEls4,5208109,89,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
Vossi Bop,44ZJ4hLD5onikKsVLQaILr,2019-07-26T09:10:16Z,Vossi Bop,2019-04-26,196266,82,Stormzy,2SrSdSvpminqmStGELCSNd,925337,82,,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,4
Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,2019-07-26T09:10:16Z,PSYCHODRAMA,2019-03-08,241293,77,Dave,6Ip8FS7vWT1uKkJSweANQK,440468,80,uk hip hop,0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979,4
