track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Antisocial (with Travis Scott),1DhRbox3xkceP64k3JeYfW,2019-07-12T07:54:15Z,No.6 Collaborations Project,2019-07-12,161746,72,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,47158738,99,"pop,uk pop",0.715,0.823,5.0,-5.313,0.0,0.0495,0.133,0.0,0.361,0.91,151.95600000000002,4.0
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-07-12T07:54:15Z,Old Town Road,2019-04-05,157066,97,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,581621,94,country rap,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0
Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,2019-07-12T07:54:15Z,Best Part of Me (feat. YEBBA),2019-07-05,243266,81,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,47158738,99,"pop,uk pop",,,,,,,,,,,,
Put It All on Me (feat. Ella Mai),5T03itPFOPGGkvVPvPiyla,2019-07-12T07:54:15Z,No.6 Collaborations Project,2019-07-12,197093,68,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,47158738,99,"pop,uk pop",0.627,0.594,7.0,-8.306000000000001,1.0,0.0478,0.253,0.0,0.373,0.389,101.008,4.0
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-07-12T07:54:15Z,So Am I,2019-03-07,183026,87,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,468173,85,"dance pop,pop,post-teen pop",0.682,0.6559999999999999,6.0,-4.67,1.0,0.0435,0.0737,0.0,0.353,0.607,130.089,4.0
Bounce Back,5KPKjcE2trO2hBWRzkb2Mo,2019-07-12T07:54:15Z,Bounce Back,2019-06-14,160551,78,Little Mix,3e7awlrlDSwF3iM0WBjGMp,6102659,85,"dance pop,girl group,pop,post-teen pop,r&b,talent show,uk pop",0.7809999999999999,0.8540000000000001,10.0,-4.115,0.0,0.07400000000000001,0.0263,0.00021600000000000002,0.344,0.41,103.021,4.0
Have You Had Enough Wine?,0HYbvIaLKFmIcyYYhtnWZE,2019-07-12T07:54:15Z,Have You Had Enough Wine?,2019-05-31,156737,54,JC Stewart,2TAqN8fwfaKauvviN4pOsv,8953,52,"indie anthem-folk,indie cafe pop",0.659,0.669,6.0,-5.643,0.0,0.0415,0.542,5.94e-06,0.11599999999999999,0.321,145.866,4.0
Sanctuary,3xaugmCyXrVkrDTXbFkMW3,2019-07-12T07:54:15Z,Sanctuary,2019-06-14,180018,84,Joji,3MZsBdqDrRTJihTHQrO6Dq,1439841,86,"alternative r&b,viral pop",0.552,0.65,1.0,-7.199,1.0,0.128,0.42200000000000004,0.000275,0.37200000000000005,0.316,167.78799999999998,4.0
Boasty (feat. Idris Elba),7cz506PyIgh2bMN90Mc8Tn,2019-07-12T07:54:15Z,Boasty (feat. Idris Elba),2019-01-22,177185,76,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,249877,72,"grime,house,uk dancehall,uk garage,uk hip hop",0.887,0.765,2.0,-5.207000000000001,1.0,0.0669,0.00915,0.000872,0.0907,0.456,102.958,4.0
Sixteen,4PkIDTPGedm0enzdvilLNd,2019-07-12T07:54:15Z,Sixteen,2019-04-12,201072,84,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6689232,87,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.669,0.8009999999999999,8.0,-5.445,1.0,0.136,0.268,0.0,0.0594,0.541,109.919,4.0
2002,2BgEsaKNfHUdlh97KmvFyo,2019-07-12T07:54:15Z,Speak Your Mind (Deluxe),2018-04-27,186986,82,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,4001043,86,"dance pop,pop,post-teen pop,tropical house,uk pop",0.6970000000000001,0.6829999999999999,1.0,-2.8810000000000002,0.0,0.11699999999999999,0.0372,0.0,0.13699999999999998,0.603,96.133,4.0
