track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Talk To Me,6zM7Ch5N2ZQOpvPyFrTkh7,2019-06-14T11:35:45Z,Talk To Me,2019-05-17,179048,37,Ten Ven,0ZSLz27xUnI816MMtYfLMI,1908,47,,0.674,0.748,11,-8.45,0,0.0561,0.0515,0.0488,0.131,0.757,120.979,4
Naked in the Cold,0OU3tz95QRv1ValnQInwME,2019-06-14T11:35:45Z,Naked in the Cold,2019-04-24,253563,34,Quiet Man,3iR41vQVaeF8kXhOWjAv3J,327,27,,0.703,0.713,4,-7.146,0,0.14,0.153,0.631,0.113,0.40399999999999997,131.936,4
Sad Song (feat. TINI),2JoIjuzRplpYGvvLpSW2on,2019-06-14T11:35:45Z,Sad Song (feat. TINI),2019-06-14,154024,65,Alesso,4AVFqumd2ogHFlRbKIjp1t,2812494,82,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.7340000000000001,0.693,0,-6.474,1,0.0361,0.0878,0.0,0.341,0.55,110.021,4
Sing It With Me - Just Kiddin' Remix Radio Edit,00hkxfOHotGvtjlyouebGE,2019-06-14T11:35:45Z,Sing It With Me (Remixes),2019-06-14,180759,38,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,361525,79,"australian pop,dance pop,neo mellow,pop,r&b,tropical house",0.65,0.831,0,-5.312,1,0.0421,0.00542,0.00329,0.0646,0.18899999999999997,124.995,4
After Hours,6qLkMLUIkdtX34gHF9sPFL,2019-06-14T11:35:45Z,After Hours,2019-06-14,164975,41,M-22,4WFtYn5RyU8VGPpPyW9Pxw,16044,66,"deep groove house,house,tropical house",0.748,0.84,11,-4.537,0,0.054000000000000006,0.0225,5.41e-06,0.139,0.68,123.97399999999999,4
Read Between the Lines - Radio edit,4Uf1gRJKDrrgGouS6lXuAm,2019-06-14T11:35:45Z,Read Between the Lines,2019-05-17,193000,30,Zurra,2NqTMxpFwTe8BQlCCeiZPW,614,20,,0.706,0.848,11,-7.251,1,0.11599999999999999,0.00935,0.14300000000000002,0.31,0.27399999999999997,125.009,4
Take You Home,6r4GnXYqnhQGf53LYnS8nA,2019-06-14T11:35:45Z,Take You Home,2019-06-14,214354,20,Alphalove,4G59kHVfufDsMkwVr5pb2R,1653,50,uk dance,0.672,0.868,0,-4.925,0,0.0465,0.0288,4.98e-06,0.33299999999999996,0.374,123.98899999999999,4
Sucker,22vgEDb5hykfaTwLuskFGD,2019-06-14T11:35:45Z,Happiness Begins,2019-06-07,181026,77,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2357725,90,"boy band,dance pop,pop,post-teen pop",0.843,0.725,1,-5.044,0,0.0616,0.049,0.0,0.0993,0.945,137.952,4
Walk Away - Sebastian Perez Remix,25catMnyWzZr4Rh13gjRyH,2019-06-14T11:35:45Z,Walk Away (Sebastian Perez Remix),2019-06-14,233500,12,Four of Diamonds,42qq1SQuTH1AT2daN3fLMt,10893,40,uk pop,0.588,0.9470000000000001,7,-3.242,1,0.28,0.00199,3.79e-05,0.0868,0.426,127.92200000000001,4
Number One Fan,01fQmcA7x6PbSmXtdaAoJ4,2019-06-14T11:35:45Z,Number One Fan,2019-06-07,206228,59,MUNA,6xdRb2GypJ7DqnWAI2mHGn,68426,57,"dance pop,electropop,indie electro-pop,indie poptimism,indietronica,la pop,metropopolis,shimmer pop,uk pop,vapor soul",0.746,0.575,9,-4.887,1,0.0363,0.004529999999999999,0.000637,0.36200000000000004,0.539,124.015,4
