track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Know You Better,5VrSVEkPSHpWOn3stPrGWE,2019-08-15T18:54:34Z,Know You Better,2019-07-18,216393,47,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,60182,61,"big room,deep big room,edm,electro house,pop edm,progressive electro house,progressive house,sky room",0.588,0.83,2,-5.206,1,0.0423,0.0685,0.0,0.11599999999999999,0.225,122.00200000000001,4
Hold On (with Georgia Ku),5Cevkgj9FyNRFIwY3xSCn8,2019-08-16T15:35:01Z,ASCEND,2019-08-16,235263,56,ILLENIUM,45eNHdiiabvmbp4erw26rg,628849,83,"edm,electropop,pop,tropical house",0.5,0.7490000000000001,6,-3.575,0,0.0437,0.0692,5.85e-06,0.5,0.423,75.991,4
Hate Me - R3HAB Remix,3iJeF2izF1QcpCgUc97BLl,2019-08-16T15:34:44Z,Hate Me (R3HAB Remix),2019-08-16,203733,58,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6825021,86,"dance pop,electropop,metropopolis,pop,post-teen pop,tropical house,uk pop",0.43700000000000006,0.774,8,-4.918,1,0.0554,0.14800000000000002,0.0,0.133,0.32899999999999996,123.125,4
Hope,7u04ap1LQoHVJ5N1zs8CRE,2019-08-15T18:54:34Z,Hope,2019-07-19,203711,52,DubVision,3XINWZaloea97SIRiyTJxX,197164,63,"big room,deep big room,edm,electro house,pop edm,progressive electro house,progressive house,sky room,tropical house",0.586,0.7190000000000001,0,-6.142,1,0.042,0.00418,6.23e-06,0.134,0.344,124.912,4
Never Really Over - R3HAB Remix,2OAylPUDDfwRGfe0lYqlCQ,2019-08-15T18:54:34Z,Never Really Over (R3HAB Remix),2019-07-26,187675,63,Katy Perry,6jJ0s89eD6GaHleKKya26X,13554244,89,"dance pop,pop,post-teen pop",0.449,0.856,5,-4.788,0,0.0623,0.187,0.0,0.17600000000000002,0.152,112.648,4
Superpowers,5ytKlhBlWAiLjP9UmYI9uf,2019-08-15T18:54:34Z,Superpowers,2019-07-12,162166,32,TaylorX,5hjo6YYIcD2QCMtH4g84gw,138,25,,0.6779999999999999,0.879,2,-5.456,1,0.0366,0.0167,0.00743,0.204,0.55,121.988,4
One Question (feat. Yeah Boy),5h2OpBRVnScvf2hlvPSiQt,2019-08-15T18:54:34Z,One Question (feat. Yeah Boy),2019-07-26,209176,28,Go Freek,2aRd7rRSUjtZ6WPG5GsBO6,3432,52,australian house,0.586,0.742,6,-6.354,0,0.083,0.0205,0.00336,0.1,0.44,121.946,4
My Way,5kpE4a3DsUeFcQIEdnYDDl,2019-08-15T18:54:34Z,My Way,2019-07-26,199265,32,Sonny Bass,3M6DDMNuxoccVfUSPgbupI,3711,38,future house,0.579,0.8540000000000001,1,-5.43,0,0.0721,0.0183,0.00295,0.0818,0.349,127.96600000000001,4
Take All Of Me,2pxmeFANbPzx0PnUGmC63l,2019-08-15T18:54:34Z,Take All Of Me,2019-07-19,220034,48,Andrew Rayel,1UtBjqMZBAmqIPlDrKu7Tr,102436,59,"big room,edm,progressive house,progressive trance,trance,uplifting trance",0.414,0.833,6,-2.378,1,0.0678,0.00307,2.09e-05,0.248,0.0441,132.05100000000002,4
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,5mYNWSc1AE7pWS3Ax4e8Dl,2019-08-15T18:54:34Z,Close To Me (Remixes),2019-02-01,223533,62,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6825021,86,"dance pop,electropop,metropopolis,pop,post-teen pop,tropical house,uk pop",0.733,0.8390000000000001,1,-2.84,0,0.0335,0.0145,0.00018700000000000002,0.162,0.47100000000000003,126.009,4
