track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
The Finish Line,0GKi4sPErVwTzruhuqoDvb,2019-07-03T14:10:10Z,The Finish Line,2019-07-01,195096,44,Middle School,6AjXxPL8C44rc1yJdi6RZB,3279,51,
Action,4ioIoCW5zpdqHM1HUiZvJ3,2019-07-03T14:10:09Z,Notes,2019-05-27,154450,56,Allem Iversom,6RaUtVLO8R5TsVdJIxSrq1,2375,57,"chillhop,lo-fi beats",0.663,0.119,1,-20.115,1,0.0435,0.934,0.954,0.0861,0.276,77.098,4
Driftwood,18NBwccM1sFW7t1lixlBHN,2019-07-03T14:10:07Z,Chillhop Essentials Summer 2019,2019-06-12,163571,53,Leavv,7sNw4pNLLJNGrU62O80WGE,8125,63,"chillhop,lo-fi beats",0.519,0.13,4,-13.054,0,0.0678,0.828,0.922,0.12,0.405,88.984,4
Illusion,4gLcm9NtB514Ct8EZq4j9B,2019-07-03T14:10:05Z,Lost Tape,2019-06-17,210184,52,Evil Needle,37nE9g0LRDhDSIejDuPKPS,23510,53,"chillhop,vapor twitch",0.713,0.197,11,-6.304,0,0.0554,0.0776,0.836,0.253,0.405,169.989,4
Memories,6IvGEC1RlW9adLLuWKpTdy,2019-07-03T14:10:03Z,Migration,2019-06-03,148732,54,goosetaf,46NCqFl8vhQZD77y7XkvJs,3273,62,"chillhop,lo-fi beats",0.57,0.264,1,-18.595,1,0.398,0.776,0.917,0.181,0.117,71.043,4
for when it's warmer,1k5E9ztZXfO2pY5ly73shO,2019-07-03T14:10:02Z,Chillhop Essentials Summer 2019,2019-06-12,216428,54,Sleepy Fish,1IJe80moz409PtxW4llPFw,2263,61,chillhop,0.713,0.39,9,-12.229,1,0.0395,0.868,0.942,0.0884,0.288,86.999,4
Rainforest,086QQrq148XbaGFlRsglTG,2019-07-03T14:10:00Z,Mangroves,2019-05-20,323453,56,Saib,6N4HlHINMvoTyAL0yhBUCk,41597,64,"chillhop,lo-fi beats",0.432,0.206,6,-9.318,0,0.0541,0.792,0.593,0.475,0.158,72.477,1
be here now,0xOlVRUewjWRZqyYFdOr7W,2019-07-03T14:09:59Z,Chillhop Essentials Summer 2019,2019-06-12,130178,53,chief.,0HCAzT0cSCpiNje7AcAQaD,10284,65,"chillhop,lo-fi beats",0.664,0.116,5,-17.59,0,0.0317,0.255,0.794,0.155,0.125,77.061,4
Plush Pocket,24FBaamERJF17f0v0Xfgfn,2019-07-03T14:09:58Z,The Finish Line,2019-07-01,148013,42,Middle School,6AjXxPL8C44rc1yJdi6RZB,3279,51,
Quietly,6YNgJyZedfd8t0fTZ0K2Pg,2019-07-03T14:09:56Z,Quietly,2019-04-29,157601,57,blnkspc_,3hZaebXqrD5crmyMP2x1qa,908,50,,0.676,0.0637,5,-14.014,0,0.0414,0.455,0.871,0.112,0.397,86.04,4
Sand Under My Feet,0MDxi9pB8WhAN0CowRHxOf,2019-07-03T14:09:53Z,Chillhop Essentials Summer 2019,2019-06-12,231428,52,SAINT WKND,4vO1cl2ndGrUPSl6IYTHs6,11110,51,deep tropical house,0.637,0.41,6,-16.681,0,0.0819,0.774,0.883,0.474,0.268,84.009,4
Clocks Forward,3DXOgShDK2FK1nUM6NeGnL,2019-07-03T14:09:53Z,Clocks Forward,2019-05-06,141176,60,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,4822,62,"chillhop,lo-fi beats",0.737,0.116,0,-16.45,1,0.0485,0.569,0.817,0.0893,0.387,85.026,4
Ish Happens,45jXhL35Vpy8tqQmx9r68x,2019-07-03T14:09:53Z,Chillhop Essentials Spring 2019,2019-03-20,84000,59,Masked Man,4au9pcYGXtv2fPYbMa6wg5,4775,58,"chillhop,lo-fi beats",0.874,0.199,0,-11.842,1,0.308,0.66,0.0749,0.0722,0.203,79.982,4
Lxshlxve,3S23vmS0Pc9joddaPCydW3,2019-07-03T14:09:53Z,YEAR OF THE ZOD1AC,2018-12-15,112325,40,ZOD1AC,3MxpxI4drHYS9tD3P2QX3L,658,37,lo-fi beats,0.676,0.484,11,-12.06,0,0.0481,0.492,0.859,0.0975,0.0671,85.973,4
Do You Want To Pretend We're In Love Sometime?,21m9xganQlcWga6rOQ8dhp,2019-07-03T14:09:53Z,The Finish Line,2019-07-01,143621,42,Middle School,6AjXxPL8C44rc1yJdi6RZB,3279,51,
Both Hands Free,6mDSaZdhciXyONzlRlnbUI,2019-07-03T14:09:53Z,Breathe,2014-02-08,146103,40,Fredfades,4PgpbgDjHJJ0jsBYOcV5q1,3659,46,jazz rap,0.826,0.3,0,-11.662,0,0.0538,0.462,0.62,0.0941,0.866,92.024,4
Interstellar,7BEA0aIXF1nTvOK9zVcVkm,2019-07-03T14:09:53Z,Interstellar,2019-01-14,164800,65,Arbour,3pSfwb3p6BVPTYDkNdgxS2,7603,62,"chillhop,lo-fi beats",0.621,0.157,11,-15.226,1,0.1,0.525,0.82,0.11,0.124,74.992,4
Affection,7MdZQXUBijQxcBkYz4G1Z5,2019-07-03T14:09:53Z,Life,2016-12-23,117495,65,Jinsang,5FsfZj0Mp6YwEWytuJUcWt,115882,69,"chillhop,korean r&b,lo-fi beats",0.698,0.193,1,-15.01,1,0.0902,0.914,0.937,0.0882,0.607,84.03,4
Je T'aime,7uqRFlTZQ7vL1YKGSWmu7h,2019-07-03T14:09:53Z,Chillhop Raw Cuts 2,2017-07-31,76500,54,Sugi.wa,0XUBVuE1odesNug0oKt9Me,4488,56,"chillhop,lo-fi beats",0.591,0.419,6,-15.445,0,0.105,0.598,0.909,0.0916,0.797,75.927,4
rosemary whispers,6LlcmcTC1gJZLUZjnO3ERN,2019-07-03T14:09:53Z,Chillhop Essentials Spring 2019,2019-03-20,136500,61,santpoort,7KtVS0f2RQoEhjxDcSGBtJ,3734,59,"chillhop,lo-fi beats",0.782,0.265,8,-17.638,1,0.0544,0.671,0.859,0.111,0.425,116.06,4
Eternal now,3PkdEonFoH2KBFzZcOodB0,2019-07-03T14:09:53Z,self reflection,2019-03-25,183581,57,less.people,0QmdasntOdQpEwRd40wyp3,2268,57,lo-fi beats,0.655,0.163,5,-16.656,0,0.0435,0.934,0.885,0.101,0.0493,95.877,3
Faces,5n16dEoZ1OwdpqOIK13m1X,2019-07-03T14:09:53Z,Faces,2019-01-07,133165,65,Knowmadic,0HcyeAioEKhfwVcJAoyN36,17256,62,"chillhop,lo-fi beats",0.615,0.424,11,-12.324,0,0.114,0.968,0.809,0.106,0.178,159.033,4
Voyage,3dHfGt9waWNpaAoNSS1niW,2019-07-03T14:09:53Z,Blossoms,2019-06-20,141000,48,SwuM,2Fc1UZXKRmPpWWx1sxcb9m,32512,66,"chillhop,lo-fi beats",0.373,0.71,1,-9.056,0,0.0765,0.194,0.962,0.149,0.111,80.09,4
