track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Driftwood,18NBwccM1sFW7t1lixlBHN,2019-06-15T11:34:33Z,Chillhop Essentials Summer 2019,2019-06-12,163571,41,Leavv,7sNw4pNLLJNGrU62O80WGE,7760,63,"chillhop,lo-fi beats",0.519,0.13,4,-13.054,0,0.0678,0.828,0.922,0.12,0.405,88.984,4
for when it's warmer,1k5E9ztZXfO2pY5ly73shO,2019-06-15T11:34:30Z,Chillhop Essentials Summer 2019,2019-06-12,216428,42,Sleepy Fish,1IJe80moz409PtxW4llPFw,1949,61,chillhop,0.713,0.39,9,-12.229000000000001,1,0.0395,0.868,0.9420000000000001,0.0884,0.28800000000000003,86.999,4
be here now,0xOlVRUewjWRZqyYFdOr7W,2019-06-15T11:34:26Z,Chillhop Essentials Summer 2019,2019-06-12,130178,41,chief.,0HCAzT0cSCpiNje7AcAQaD,9834,65,"chillhop,lo-fi beats",0.664,0.11599999999999999,5,-17.59,0,0.0317,0.255,0.794,0.155,0.125,77.061,4
Sand Under My Feet,0MDxi9pB8WhAN0CowRHxOf,2019-06-15T11:34:22Z,Chillhop Essentials Summer 2019,2019-06-12,231428,41,SAINT WKND,4vO1cl2ndGrUPSl6IYTHs6,10858,48,deep tropical house,0.637,0.41,6,-16.680999999999997,0,0.0819,0.774,0.883,0.474,0.268,84.009,4
Candlelight,1LJyGfF63VK86Ng51Ls3MQ,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,164709,41,Evil Needle,37nE9g0LRDhDSIejDuPKPS,23056,46,vapor twitch,0.887,0.217,8,-12.218,0,0.12,0.10400000000000001,0.8959999999999999,0.121,0.9009999999999999,102.01,4
Iced Tea,3YSK0GO3702wPvTfPEl6ZM,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,167142,41,Toonorth,5cnRXRa8otbppSiXvfdmo3,5461,62,"chillhop,lo-fi beats",0.8340000000000001,0.12,11,-12.404000000000002,0,0.363,0.314,0.8590000000000001,0.10099999999999999,0.44299999999999995,77.01899999999999,4
tonite,65geyAyEzVsvrZLTdDpJi9,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,158214,40,blnkspc_,3hZaebXqrD5crmyMP2x1qa,862,50,,0.677,0.31,1,-17.58,0,0.0672,0.871,0.76,0.18,0.684,151.989,4
sleeping til 12,52MajrM7jHUGd6q9i2Sy9O,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,104285,40,"quickly, quickly",5XTn5Az9AcSKu0oaauC5ES,26873,64,"chillhop,lo-fi beats,portland hip hop,vapor twitch",0.5760000000000001,0.306,6,-13.377,0,0.424,0.813,0.0433,0.142,0.374,79.08,4
It's A Vibe,09aAgmQlXWISNdCuGgCdzg,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,113839,40,Cap Kendricks,3Nc3vycu3NLmfOLxGKPXLj,2305,58,"chillhop,indie deutschrap",0.8640000000000001,0.32,7,-12.777999999999999,0,0.38,0.295,0.8370000000000001,0.0526,0.826,87.023,4
Green Flash,70wXXk4KzYz0g28kJcFSIz,2019-06-15T11:34:13Z,Green Flash,2019-06-04,106055,51,FloFilz,39ZQx0618UYVBgGTDOJ2ds,30382,60,"chillhop,jazz boom bap,lo-fi beats",0.792,0.478,4,-11.300999999999998,0,0.389,0.782,0.6609999999999999,0.179,0.266,83.00299999999999,4
MPC Jazz,7A3fWRRElChkhsGAmnSi78,2019-06-15T11:34:13Z,Random Beats 3,2018-10-17,169552,50,Emapea,3BiFZY6zbND5L3MEM6niE6,10259,53,"chillhop,jazz boom bap,lo-fi beats",0.757,0.502,0,-7.501,0,0.078,0.069,0.895,0.0878,0.382,82.03299999999999,4
Overseas and Alone,72G2dVEkSZnOucLcbp6EAa,2019-06-15T11:34:13Z,Mellow Head,2019-04-05,128750,49,Ambulo,6sPQwc6lix6K1Gv64v91Ml,280,52,lo-fi beats,0.475,0.39899999999999997,7,-12.251,1,0.25,0.895,0.8320000000000001,0.10099999999999999,0.128,168.34,4
No Lies,6SZPAffx8bjZw8klFDnhnk,2019-06-15T11:34:13Z,Dreams from the Shore,2019-06-10,128780,38,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,4504,63,"chillhop,lo-fi beats",0.551,0.316,3,-10.14,0,0.0291,0.777,0.909,0.0797,0.337,82.014,4
Birthday Girl,0UgHTPXcW728KHbr7JbKr7,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,169345,39,Blue Wednesday,7185Q95lPFld0aoPqO6e0U,7298,55,chillhop,0.8190000000000001,0.185,6,-19.975,1,0.11,0.9079999999999999,0.612,0.387,0.705,153.045,4
Supergloom,5tGeAAPLyMOvV6sDc0RCSJ,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,125535,39,Osvaldo,1cF9THe9zDQOEEBFuiRcJ2,230,36,,0.455,0.439,5,-14.731,1,0.04,0.155,0.0426,0.146,0.569,83.86200000000001,3
Pulse,13EYhGX66vGoIjcbY95G8t,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,158214,39,Hanz,1eL4DVwObeAZjGOVjASAXd,3443,54,lo-fi beats,0.382,0.155,7,-21.171999999999997,0,0.0372,0.821,0.8859999999999999,0.11199999999999999,0.0359,173.90900000000002,4
wannabe,1zHXsP69ulvwOM9tcChePo,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,141071,39,Middle School,6AjXxPL8C44rc1yJdi6RZB,3093,47,,0.795,0.165,2,-14.585,1,0.0644,0.742,0.861,0.107,0.501,136.81,4
polaroid,26opcHX65P9zPQtE9jLWZi,2019-06-15T11:34:13Z,Chillhop Essentials Summer 2019,2019-06-12,154642,39,Sebastian Kamae,7GsvnIE0bUBu6WZXO3ryJe,691,57,lo-fi beats,0.446,0.263,6,-16.252,0,0.14800000000000002,0.7170000000000001,0.679,0.08199999999999999,0.466,75.078,4
